0--6,0--10,0--27,0--52,1--37,1--38,1--42,1--56,2--14,2--15,2--18,2--56,3--6,3--8,3--14,3--41,4--20,4--29,4--31,4--37,5--34,5--41,5--51,5--55,6--10,6--48,7--26,7--35,7--36,7--51,8--10,8--44,8--49,9--16,9--30,9--31,9--57,10--20,11--22,11--23,11--38,11--41,12--29,12--38,12--42,12--53,13--17,13--27,13--45,13--54,14--18,14--30,15--24,15--26,15--54,16--25,16--35,16--44,17--19,17--31,17--42,18--42,18--46,19--39,19--43,19--57,20--24,20--53,21--22,21--27,21--29,21--45,22--28,22--38,23--26,23--36,23--44,24--48,24--52,25--47,25--49,25--50,26--34,27--43,28--36,28--51,28--57,29--46,30--32,30--47,31--36,32--33,32--34,32--49,33--39,33--40,33--56,34--50,35--53,35--56,37--40,37--54,39--45,39--54,40--45,40--52,41--50,43--51,43--57,44--55,46--47,46--55,47--48,48--52,49--55,50--53
0--4,0--6,0--9,0--31,1--11,1--18,1--24,1--26,2--24,2--32,2--38,2--48,3--7,3--8,3--35,3--39,4--33,4--34,4--50,5--21,5--35,5--50,5--54,6--15,6--20,6--37,7--31,7--40,7--45,8--22,8--47,8--53,9--32,9--42,9--47,10--17,10--41,10--42,10--52,11--17,11--48,11--51,12--15,12--34,12--54,12--56,13--22,13--26,13--52,13--57,14--18,14--21,14--28,14--34,15--25,15--48,16--25,16--30,16--41,16--44,17--18,17--46,18--43,19--26,19--27,19--44,19--49,20--27,20--39,20--46,21--43,21--55,22--28,22--34,23--25,23--44,23--45,23--55,24--50,24--51,25--36,26--48,27--42,27--49,28--49,28--55,29--30,29--35,29--43,29--47,30--32,30--56,31--39,31--49,32--38,33--38,33--52,33--56,35--40,36--51,36--54,36--56,37--43,37--50,37--57,38--55,39--53,40--51,40--52,41--45,41--46,42--57,44--46,45--53,47--57,53--54
0--16,0--25,0--35,0--54,1--8,1--12,1--47,1--50,2--10,2--24,2--25,2--33,3--9,3--14,3--45,3--53,4--6,4--17,4--21,4--28,5--33,5--37,5--46,5--49,6--23,6--24,6--39,7--15,7--17,7--48,7--55,8--11,8--42,8--45,9--21,9--23,9--26,10--30,10--35,10--56,11--17,11--29,11--53,12--24,12--29,12--35,13--16,13--19,13--28,13--38,14--37,14--40,14--41,15--25,15--38,15--44,16--32,16--50,17--40,18--20,18--38,18--39,18--54,19--33,19--41,19--52,20--22,20--53,20--57,21--28,21--47,22--29,22--33,22--39,23--42,23--48,24--34,25--44,26--42,26--49,26--54,27--29,27--31,27--34,27--50,28--44,30--37,30--55,30--56,31--36,31--51,31--55,32--34,32--37,32--57,34--57,35--56,36--39,36--41,36--57,38--46,40--51,40--56,41--48,42--43,43--44,43--45,43--54,45--47,46--48,46--52,47--53,49--50,49--51,51--52,52--55
0--15,0--30,0--38,0--49,1--5,1--7,1--26,1--57,2--4,2--14,2--29,2--36,3--9,3--18,3--27,3--34,4--13,4--15,4--19,5--16,5--28,5--45,6--8,6--11,6--26,6--56,7--14,7--17,7--50,8--10,8--22,8--34,9--16,9--40,9--47,10--18,10--29,10--30,11--30,11--45,11--49,12--16,12--20,12--53,12--57,13--31,13--40,13--56,14--24,14--27,15--19,15--52,16--54,17--21,17--23,17--39,18--20,18--28,19--35,19--55,20--31,20--37,21--25,21--37,21--43,22--25,22--39,22--44,23--43,23--50,23--53,24--28,24--31,24--32,25--27,25--44,26--48,26--51,27--39,28--42,29--34,29--37,30--46,31--43,32--38,32--44,32--47,33--42,33--48,33--49,33--51,34--38,35--41,35--44,35--52,36--41,36--45,36--50,37--53,38--51,39--53,40--48,40--57,41--45,41--55,42--46,42--47,43--54,46--51,46--54,47--54,48--56,49--52,50--57,52--55,55--56
0--10,0--15,0--40,0--43,1--13,1--33,1--39,1--54,2--15,2--30,2--39,2--51,3--18,3--25,3--32,3--37,4--12,4--13,4--27,4--35,5--6,5--9,5--16,5--46,6--12,6--23,6--34,7--21,7--29,7--34,7--50,8--14,8--43,8--56,8--57,9--30,9--31,9--46,10--16,10--23,10--51,11--12,11--35,11--39,11--48,12--43,13--19,13--31,14--38,14--44,14--57,15--16,15--25,16--50,17--20,17--44,17--47,17--54,18--25,18--46,18--47,19--22,19--50,19--51,20--37,20--42,20--44,21--28,21--38,21--47,22--31,22--37,22--41,23--40,23--44,24--26,24--36,24--43,24--51,25--39,26--41,26--42,26--48,27--33,27--34,27--57,28--35,28--52,28--56,29--49,29--50,29--55,30--32,30--45,31--57,32--38,32--52,33--45,33--49,34--45,35--55,36--40,36--46,36--56,37--48,38--56,40--53,41--49,41--54,42--53,42--55,45--52,47--55,48--53,49--54,52--53
0--23,0--29,0--30,0--54,1--7,1--22,1--32,1--56,2--4,2--20,2--48,2--51,3--33,3--40,3--50,3--52,4--14,4--24,4--48,5--17,5--19,5--40,5--43,6--22,6--44,6--50,6--55,7--8,7--11,7--42,8--12,8--30,8--50,9--14,9--16,9--19,9--28,10--29,10--34,10--37,10--53,11--19,11--46,11--49,12--37,12--43,12--46,13--15,13--16,13--42,13--51,14--22,14--57,15--27,15--45,15--46,16--24,16--32,17--41,17--55,17--56,18--32,18--35,18--42,18--43,19--39,20--25,20--26,20--38,21--27,21--44,21--50,21--52,22--28,23--26,23--36,23--37,24--25,24--45,25--31,25--45,26--38,26--52,27--36,27--54,28--39,28--41,29--33,29--57,30--47,30--49,31--48,31--56,31--57,32--34,33--36,33--55,34--40,34--51,35--41,35--49,35--56,36--47,37--49,38--44,38--54,39--47,39--55,40--45,41--53,42--53,43--48,44--54,46--57,47--52,51--53
0--1,0--4,0--16,0--27,1--11,1--20,1--30,2--21,2--37,2--40,2--57,3--5,3--19,3--20,3--35,4--38,4--45,4--51,5--16,5--41,5--49,6--27,6--34,6--40,6--55,7--9,7--23,7--27,7--29,8--10,8--16,8--22,8--35,9--15,9--39,9--47,10--19,10--25,10--38,11--16,11--21,11--35,12--39,12--40,12--41,12--50,13--47,13--50,13--53,13--55,14--22,14--25,14--31,14--46,15--18,15--50,15--57,17--19,17--24,17--30,17--36,18--20,18--34,18--56,19--57,20--29,21--23,21--54,22--33,22--52,23--31,23--46,24--28,24--33,24--39,25--46,25--53,26--32,26--37,26--51,26--55,27--44,28--37,28--49,28--51,29--48,29--54,30--36,30--40,31--41,31--53,32--33,32--39,32--47,33--52,34--36,34--37,35--53,36--54,38--42,38--43,41--52,42--43,42--52,42--56,43--44,43--55,44--45,44--54,45--47,45--56,46--48,48--49,48--51,49--50,56--57
0--37,0--49,0--53,0--56,1--7,1--20,1--22,1--54,2--10,2--26,2--54,2--57,3--6,3--16,3--17,3--28,4--13,4--20,4--45,4--55,5--7,5--17,5--18,5--50,6--9,6--15,6--50,7--32,7--53,8--13,8--31,8--47,8--49,9--13,9--28,9--53,10--42,10--45,10--52,11--28,11--34,11--39,11--54,12--16,12--27,12--52,12--55,13--42,14--23,14--41,14--51,14--57,15--16,15--21,15--34,16--29,17--24,17--38,18--26,18--46,18--48,19--22,19--27,19--40,19--48,20--28,20--35,21--29,21--47,21--51,22--26,22--37,23--30,23--33,23--40,24--45,24--52,24--56,25--31,25--37,25--52,25--55,26--39,27--54,27--56,29--44,29--48,30--32,30--36,30--40,31--32,31--43,32--36,33--39,33--53,33--56,34--35,34--45,35--37,35--49,36--41,36--43,38--39,38--41,38--50,40--44,41--46,42--46,42--47,43--44,43--51,44--48,46--57,47--57,49--50,51--55
0--11,0--21,0--43,0--56,1--10,1--12,1--26,1--29,2--8,2--18,2--19,2--53,3--20,3--38,3--44,3--50,4--28,4--36,4--38,4--45,5--8,5--30,5--42,5--48,6--15,6--25,6--44,6--52,7--17,7--23,7--27,7--51,8--13,8--20,9--14,9--25,9--28,9--51,10--23,10--32,10--43,11--25,11--29,11--54,12--19,12--35,12--43,13--24,13--26,13--49,14--40,14--50,14--52,15--22,15--42,15--56,16--22,16--25,16--34,16--41,17--21,17--33,17--47,18--36,18--53,18--57,19--22,19--35,20--37,20--48,21--22,21--27,23--31,23--54,24--39,24--46,24--53,26--37,26--51,27--28,27--41,28--32,29--31,29--33,30--40,30--48,30--52,31--36,31--41,32--39,32--54,33--43,33--53,34--37,34--47,34--49,35--39,35--57,36--39,37--55,38--51,38--55,40--46,40--49,41--45,42--46,42--48,44--50,44--57,45--47,45--56,46--49,47--56,50--55,52--55,54--57
0--17,0--34,0--46,0--52,1--7,1--12,1--42,1--49,2--3,2--27,2--47,2--56,3--29,3--43,3--51,4--22,4--29,4--36,4--53,5--28,5--33,5--40,5--41,6--11,6--15,6--26,6--54,7--13,7--19,7--47,8--14,8--17,8--25,8--47,9--12,9--25,9--54,9--56,10--15,10--20,10--24,10--39,11--36,11--38,11--48,12--13,12--45,13--20,13--23,14--17,14--40,14--50,15--31,15--36,16--21,16--22,16--34,16--39,17--41,18--22,18--30,18--32,18--44,19--48,19--49,19--52,20--24,20--50,21--23,21--33,21--44,22--30,23--37,23--55,24--31,24--43,25--46,25--55,26--38,26--42,26--48,27--34,27--50,27--57,28--30,28--36,28--39,29--31,29--57,30--44,31--51,32--42,32--48,32--51,33--38,33--46,34--44,35--37,35--43,35--47,35--54,37--40,37--54,38--42,39--45,40--45,41--46,41--52,43--57,45--52,49--51,49--56,50--55,53--55,53--56,53--57
0--8,0--12,0--33,0--34,1--4,1--27,1--35,1--57,2--11,2--21,2--25,2--46,3--10,3--12,3--29,3--48,4--12,4--35,4--41,5--7,5--15,5--51,5--57,6--22,6--31,6--35,6--56,7--32,7--39,7--51,8--31,8--33,8--45,9--17,9--24,9--27,9--38,10--49,10--50,10--55,11--25,11--32,11--47,12--20,13--26,13--28,13--41,13--44,14--36,14--37,14--47,14--52,15--25,15--53,15--56,16--26,16--30,16--43,16--50,17--18,17--23,17--51,18--23,18--54,18--57,19--29,19--34,19--43,19--55,20--22,20--26,20--33,21--38,21--40,21--48,22--28,22--35,23--44,23--47,24--39,24--47,24--54,25--28,26--52,27--29,27--36,28--36,29--45,30--38,30--41,30--45,31--40,31--49,32--49,32--53,33--46,34--37,34--54,36--40,37--40,37--48,38--42,39--42,39--54,41--53,42--49,42--52,43--46,43--55,44--52,44--53,45--51,46--56,48--56,50--55,50--57
0--9,0--14,0--20,0--35,1--6,1--8,1--23,1--43,2--10,2--11,2--41,2--43,3--9,3--39,3--53,3--56,4--33,4--34,4--39,4--52,5--16,5--21,5--44,5--51,6--14,6--16,6--46,7--11,7--25,7--30,7--45,8--18,8--26,8--56,9--11,9--57,10--12,10--41,10--52,11--39,12--24,12--30,12--54,13--17,13--23,13--35,13--52,14--50,14--54,15--22,15--30,15--32,15--46,16--28,16--31,17--46,17--47,17--56,18--23,18--30,18--37,19--27,19--28,19--43,19--47,20--27,20--42,20--46,21--24,21--26,21--38,22--26,22--37,22--40,23--48,24--32,24--50,25--31,25--40,25--44,26--32,27--37,27--53,28--38,28--57,29--40,29--48,29--49,29--57,31--45,31--48,32--50,33--36,33--49,33--54,34--36,34--37,34--51,35--42,35--54,36--38,36--55,38--47,39--49,40--41,41--55,42--45,42--55,43--44,44--47,45--49,48--51,50--53,51--56,52--53,55--57
0--16,0--32,0--44,0--48,1--24,1--25,1--45,1--53,2--11,2--20,2--40,2--57,3--9,3--28,3--46,3--57,4--10,4--37,4--38,4--49,5--20,5--36,5--41,5--55,6--22,6--23,6--35,6--54,7--8,7--38,7--43,7--50,8--11,8--12,8--26,9--30,9--48,9--54,10--15,10--29,10--39,11--17,11--48,12--35,12--52,12--55,13--33,13--44,13--47,13--51,14--27,14--44,14--47,14--53,15--18,15--38,15--49,16--17,16--36,16--42,17--31,17--34,18--22,18--30,18--56,19--21,19--41,19--43,19--53,20--26,20--46,21--36,21--42,21--50,22--29,22--39,23--28,23--45,23--50,24--30,24--34,24--42,25--33,25--48,25--49,26--31,26--40,27--36,27--43,27--51,28--37,28--47,29--33,29--35,30--51,31--45,31--57,32--54,32--55,32--56,33--47,34--37,34--42,35--37,38--49,39--40,39--52,40--56,41--52,41--56,43--45,44--54,46--52,46--55,50--57,51--53
0--16,0--40,0--44,0--46,1--13,1--14,1--38,1--53,2--30,2--37,2--42,2--52,3--22,3--36,3--38,3--41,4--16,4--17,4--20,4--49,5--42,5--48,5--49,5--52,6--9,6--20,6--47,6--56,7--15,7--21,7--29,7--35,8--11,8--25,8--36,8--56,9--43,9--46,9--49,10--39,10--54,10--55,10--57,11--23,11--34,11--50,12--17,12--27,12--28,12--44,13--15,13--31,13--34,14--24,14--45,14--50,15--28,15--47,16--18,16--51,17--20,17--28,18--19,18--38,18--51,19--22,19--33,19--34,20--22,21--31,21--34,21--35,22--57,23--24,23--43,23--48,24--39,24--45,25--27,25--33,25--42,26--28,26--50,26--55,26--56,27--40,27--41,29--31,29--45,29--56,30--33,30--35,30--54,31--38,32--36,32--41,32--44,32--54,33--46,35--43,36--48,37--42,37--46,37--50,39--40,39--45,40--53,41--51,43--51,44--49,47--52,47--55,48--52,53--55,53--57,54--57
0--8,0--20,0--31,0--46,1--17,1--22,1--41,1--52,2--18,2--22,2--34,2--57,3--14,3--20,3--26,3--48,4--6,4--32,4--34,4--55,5--28,5--37,5--53,5--57,6--9,6--10,6--44,7--11,7--14,7--28,7--36,8--13,8--24,8--50,9--30,9--38,9--56,10--43,10--47,10--54,11--12,11--32,11--35,12--31,12--49,12--52,13--35,13--47,13--48,14--35,14--39,15--26,15--29,15--33,15--40,16--33,16--41,16--54,16--56,17--26,17--43,17--47,18--21,18--25,18--47,19--28,19--42,19--43,19--50,20--23,20--29,21--27,21--45,21--51,22--41,22--42,23--38,23--41,23--49,24--29,24--37,24--46,25--40,25--49,25--53,26--37,27--29,27--33,27--55,28--50,30--33,30--36,30--38,31--42,31--45,32--34,32--42,34--45,35--38,36--37,36--44,39--51,39--52,39--53,40--46,40--50,43--57,44--51,44--54,45--48,46--57,48--56,49--55,51--54,52--53,55--56
0--2,0--3,0--36,0--55,1--3,1--13,1--41,1--49,2--11,2--35,2--49,3--12,3--51,4--22,4--32,4--33,4--37,5--24,5--25,5--35,5--51,6--13,6--15,6--17,6--45,7--21,7--25,7--47,7--57,8--11,8--12,8--24,8--44,9--23,9--34,9--44,9--52,10--13,10--29,10--34,10--56,11--26,11--33,12--20,12--48,13--39,14--22,14--36,14--38,14--40,15--17,15--25,15--38,16--19,16--26,16--28,16--55,17--31,17--38,18--31,18--44,18--49,18--52,19--30,19--47,19--54,20--30,20--31,20--57,21--28,21--39,21--44,22--28,22--56,23--36,23--47,23--49,24--31,24--45,25--42,26--45,26--51,27--30,27--39,27--43,27--54,28--46,29--46,29--53,29--54,30--39,32--33,32--42,32--48,33--37,34--41,34--54,35--55,35--56,36--51,37--40,37--48,38--50,40--41,40--53,41--43,42--50,42--52,43--55,43--57,45--47,46--48,46--50,50--53,52--57,53--56
0--24,0--45,0--46,0--55,1--9,1--15,1--23,1--40,2--3,2--7,2--22,2--50,3--4,3--5,3--17,4--5,4--14,4--43,5--18,5--41,6--21,6--35,6--36,6--49,7--22,7--32,7--44,8--16,8--18,8--32,8--47,9--12,9--28,9--42,10--28,10--42,10--54,10--56,11--24,11--27,11--37,11--55,12--19,12--31,12--52,13--36,13--38,13--47,13--52,14--31,14--46,14--56,15--19,15--22,15--52,16--21,16--32,16--34,17--24,17--27,17--45,18--29,18--30,19--25,19--43,20--33,20--34,20--47,20--48,21--29,21--40,22--25,23--26,23--30,23--40,24--49,25--46,25--56,26--29,26--44,26--51,27--33,27--45,28--41,28--53,29--31,30--41,30--43,31--50,32--49,33--34,33--55,34--54,35--44,35--52,35--55,36--46,36--57,37--38,37--51,37--57,38--42,38--50,39--48,39--51,39--53,39--57,40--53,41--43,42--48,44--54,45--54,47--50,48--49,51--57,53--56
0--9,0--12,0--41,0--55,1--3,1--8,1--11,1--45,2--24,2--27,2--55,2--57,3--5,3--36,3--41,4--8,4--18,4--29,4--30,5--8,5--35,5--44,6--13,6--28,6--45,6--54,7--16,7--30,7--40,7--47,8--54,9--20,9--25,9--48,10--37,10--42,10--50,10--52,11--21,11--23,11--51,12--37,12--43,12--47,13--20,13--23,13--50,14--25,14--28,14--30,14--51,15--17,15--38,15--42,15--49,16--20,16--31,16--32,17--43,17--45,17--52,18--28,18--49,18--54,19--26,19--30,19--36,19--56,20--57,21--22,21--35,21--46,22--32,22--51,22--56,23--46,23--54,24--25,24--26,24--29,25--33,26--36,26--57,27--50,27--52,27--53,28--36,29--40,29--44,31--34,31--37,31--55,32--45,32--48,33--35,33--39,33--47,34--49,34--52,34--57,35--38,37--47,38--46,38--53,39--41,39--49,39--55,40--42,40--48,41--50,42--44,43--44,43--51,46--56,48--53,53--56
0--30,0--39,0--43,0--55,1--2,1--3,1--29,1--48,2--22,2--38,2--57,3--35,3--50,3--54,4--17,4--28,4--37,4--44,5--16,5--18,5--45,5--56,6--33,6--38,6--43,6--51,7--19,7--22,7--25,7--36,8--10,8--30,8--36,8--52,9--13,9--15,9--33,9--40,10--20,10--35,10--44,11--18,11--28,11--33,11--53,12--13,12--17,12--24,12--53,13--20,13--51,14--15,14--31,14--46,14--47,15--41,15--45,16--23,16--42,16--54,17--19,17--39,18--30,18--46,19--34,19--41,20--38,20--56,21--24,21--28,21--30,21--47,22--33,22--42,23--27,23--45,23--50,24--26,24--47,25--26,25--32,25--51,26--51,26--55,27--44,27--46,27--49,28--35,29--37,29--43,29--45,31--48,31--52,31--55,32--37,32--43,32--57,34--36,34--40,34--50,35--53,36--48,37--39,38--49,39--55,40--49,40--56,41--49,41--52,42--54,42--57,44--56,46--47,48--52,50--57,53--54
0--9,0--12,0--14,0--45,1--11,1--35,1--40,1--48,2--9,2--18,2--34,2--44,3--22,3--23,3--25,3--56,4--9,4--14,4--20,4--36,5--10,5--19,5--24,5--35,6--24,6--38,6--40,6--57,7--15,7--31,7--42,7--48,8--37,8--45,8--49,8--52,9--22,10--41,10--50,10--52,11--20,11--23,11--41,12--18,12--30,12--37,13--19,13--20,13--27,13--33,14--24,14--51,15--29,15--51,15--54,16--26,16--27,16--28,16--29,17--31,17--39,17--42,17--49,18--30,18--43,19--29,19--57,20--51,21--35,21--42,21--44,21--49,22--23,22--50,23--46,24--34,25--32,25--37,25--41,26--32,26--53,26--54,27--36,27--57,28--33,28--52,28--54,29--39,30--52,30--55,31--32,31--56,32--47,33--38,33--40,34--50,34--55,35--54,36--45,36--47,37--55,38--43,38--44,39--42,39--56,40--46,41--43,43--49,44--53,45--47,46--48,46--55,47--53,48--50,51--53,56--57
