0--6,0--21,0--36,1--2,1--14,1--26,2--9,2--29,3--13,3--37,3--41,4--6,4--10,4--28,5--19,5--26,5--43,6--25,7--12,7--27,7--40,8--15,8--30,8--35,9--17,9--22,10--11,10--21,11--13,11--31,12--24,12--41,13--16,14--18,14--20,15--19,15--39,16--26,16--36,17--20,17--22,18--34,18--42,19--39,20--40,21--31,22--30,23--32,23--33,23--38,24--33,24--42,25--27,25--30,27--35,28--32,28--40,29--34,29--37,31--38,32--43,33--36,34--38,35--43,37--41,39--42
0--14,0--31,0--36,1--20,1--27,1--28,2--7,2--39,2--43,3--16,3--30,3--38,4--6,4--19,4--43,5--12,5--16,5--33,6--12,6--31,7--37,7--40,8--17,8--18,8--20,9--34,9--37,9--38,10--25,10--33,10--43,11--18,11--23,11--24,12--28,13--15,13--24,13--25,14--39,14--41,15--34,15--36,16--22,17--19,17--35,18--41,19--42,20--25,21--31,21--35,21--38,22--26,22--37,23--32,23--40,24--27,26--32,26--42,27--34,28--33,29--39,29--41,29--42,30--32,30--35,36--40
0--13,0--26,0--29,1--2,1--31,1--41,2--5,2--26,3--5,3--9,3--10,4--19,4--20,4--23,5--26,6--16,6--31,6--36,7--18,7--23,7--30,8--10,8--34,8--43,9--34,9--35,10--33,11--21,11--32,11--43,12--28,12--37,12--41,13--22,13--39,14--27,14--32,14--38,15--17,15--20,15--22,16--20,16--36,17--21,17--22,18--34,18--41,19--30,19--43,21--37,23--32,24--28,24--35,24--42,25--29,25--38,25--42,27--33,27--42,28--33,29--40,30--31,35--39,36--39,37--40,38--40
0--2,0--26,0--28,1--9,1--17,1--27,2--21,2--41,3--11,3--18,3--36,4--8,4--28,4--29,5--21,5--30,5--41,6--20,6--27,6--43,7--11,7--14,7--39,8--33,8--34,9--13,9--36,10--31,10--35,10--39,11--38,12--29,12--35,12--37,13--25,13--36,14--24,14--26,15--20,15--23,15--37,16--32,16--39,16--43,17--24,17--32,18--30,18--42,19--33,19--40,19--42,20--22,21--40,22--23,22--31,23--25,24--25,26--29,27--30,28--32,31--38,33--43,34--35,34--42,37--41,38--40
0--19,0--27,0--39,1--3,1--13,1--42,2--14,2--24,2--26,3--16,3--37,4--13,4--17,4--39,5--21,5--39,5--43,6--28,6--41,6--42,7--14,7--20,7--30,8--9,8--30,8--41,9--15,9--21,10--19,10--20,10--36,11--16,11--29,11--43,12--18,12--29,12--36,13--31,14--22,15--35,15--37,16--35,17--31,17--34,18--22,18--28,19--40,20--36,21--25,22--33,23--24,23--32,23--40,24--34,25--27,25--32,26--27,26--41,28--29,30--31,32--42,33--34,33--38,35--40,37--38,38--43
0--4,0--7,0--32,1--10,1--29,1--30,2--11,2--15,2--26,3--22,3--23,3--30,4--16,4--24,5--13,5--15,5--38,6--25,6--39,6--42,7--9,7--17,8--21,8--23,8--32,9--11,9--43,10--18,10--41,11--21,12--14,12--15,12--35,13--23,13--37,14--24,14--35,16--31,16--42,17--18,17--43,18--38,19--20,19--22,19--33,20--28,20--36,21--37,22--39,24--40,25--26,25--43,26--36,27--29,27--35,27--41,28--30,28--34,29--34,31--32,31--40,33--36,33--39,34--42,37--40,38--41
0--7,0--27,0--28,1--9,1--28,1--42,2--12,2--39,2--41,3--5,3--14,3--29,4--11,4--39,4--43,5--7,5--20,6--8,6--14,6--25,7--32,8--19,8--39,9--36,9--37,10--11,10--17,10--35,11--22,12--23,12--32,13--21,13--38,13--43,14--16,15--25,15--31,15--33,16--27,16--36,17--20,17--26,18--19,18--29,18--34,19--41,20--32,21--23,21--40,22--25,22--41,23--31,24--30,24--35,24--40,26--29,26--38,27--42,28--36,30--33,30--34,31--34,33--42,35--38,37--40,37--43
0--9,0--12,0--23,1--7,1--9,1--24,2--21,2--24,2--36,3--16,3--21,3--27,4--18,4--29,4--43,5--11,5--13,5--38,6--15,6--28,6--32,7--13,7--26,8--31,8--39,8--40,9--32,10--12,10--23,10--29,11--15,11--38,12--33,13--34,14--19,14--33,14--35,15--16,16--20,17--18,17--33,17--42,18--43,19--24,19--30,20--23,20--28,21--42,22--25,22--34,22--41,25--28,25--36,26--35,26--37,27--31,27--37,29--38,30--31,30--37,32--34,35--39,36--39,40--41,40--43,41--42
0--3,0--12,0--38,1--5,1--17,1--34,2--14,2--22,2--34,3--27,3--28,4--18,4--24,4--37,5--27,5--31,6--26,6--38,6--40,7--15,7--18,7--32,8--9,8--14,8--21,9--30,9--43,10--12,10--38,10--40,11--13,11--21,11--36,12--39,13--22,13--41,14--20,15--16,15--39,16--20,16--30,17--28,17--32,18--19,19--25,19--42,20--33,21--27,22--24,23--24,23--26,23--41,25--39,25--43,26--37,28--29,29--30,29--35,31--32,31--40,33--34,33--36,35--37,35--42,36--43,41--42
0--5,0--12,0--43,1--8,1--19,1--32,2--7,2--10,2--19,3--9,3--17,3--41,4--14,4--29,4--42,5--13,5--16,6--28,6--34,6--35,7--24,7--32,8--25,8--32,9--21,9--31,10--15,10--23,11--17,11--25,11--41,12--19,12--40,13--28,13--30,14--15,14--34,15--26,16--37,16--41,17--35,18--23,18--29,18--36,20--25,20--26,20--39,21--38,21--39,22--28,22--33,22--43,23--42,24--30,24--31,26--39,27--30,27--42,27--43,29--35,31--36,33--37,33--38,34--40,36--37,38--40
0--35,0--39,0--40,1--6,1--20,1--35,2--26,2--38,2--39,3--10,3--30,3--33,4--6,4--13,4--19,5--17,5--32,5--43,6--31,7--21,7--37,7--38,8--12,8--15,8--29,9--11,9--31,9--43,10--28,10--41,11--13,11--14,12--24,12--33,13--28,14--27,14--28,15--36,15--39,16--30,16--36,16--41,17--20,17--23,18--24,18--29,18--33,19--26,19--31,20--40,21--22,21--34,22--24,22--27,23--29,23--32,25--34,25--37,25--42,26--42,27--36,30--37,32--38,34--40,35--42,41--43
0--3,0--15,0--20,1--27,1--30,1--34,2--6,2--10,2--15,3--11,3--18,4--11,4--37,4--40,5--23,5--28,5--32,6--19,6--30,7--24,7--27,7--31,8--13,8--14,8--24,9--20,9--21,9--31,10--22,10--33,11--12,12--38,12--40,13--29,13--42,14--20,14--43,15--29,16--25,16--29,16--36,17--21,17--33,17--40,18--41,18--43,19--27,19--36,21--23,22--25,22--31,23--39,24--25,26--34,26--35,26--39,28--34,28--42,30--33,32--38,32--41,35--37,35--42,36--38,37--41,39--43
0--14,0--21,0--32,1--13,1--25,1--35,2--6,2--25,2--26,3--4,3--11,3--33,4--28,4--38,5--35,5--37,5--41,6--14,6--19,7--10,7--17,7--29,8--13,8--15,8--17,9--22,9--30,9--41,10--18,10--19,11--20,11--42,12--24,12--34,12--38,13--40,14--20,15--16,15--34,16--18,16--36,17--31,18--28,19--27,20--21,21--22,22--42,23--24,23--31,23--43,24--26,25--26,27--36,27--39,28--29,29--37,30--38,30--39,31--37,32--35,32--39,33--42,33--43,34--43,36--40,40--41
0--9,0--12,0--34,1--18,1--19,1--38,2--3,2--17,2--36,3--15,3--23,4--11,4--37,4--38,5--22,5--30,5--33,6--12,6--24,6--31,7--12,7--18,7--28,8--10,8--16,8--40,9--15,9--23,10--15,10--39,11--13,11--43,13--27,13--35,14--26,14--33,14--35,16--27,16--37,17--28,17--42,18--21,19--29,19--34,20--22,20--25,20--42,21--32,21--43,22--31,23--28,24--32,24--41,25--30,25--41,26--29,26--35,27--40,29--34,30--36,31--42,32--36,33--37,38--43,39--40,39--41
0--8,0--12,0--32,1--3,1--10,1--33,2--25,2--26,2--33,3--23,3--36,4--7,4--29,4--34,5--7,5--25,5--35,6--14,6--31,6--36,7--32,8--34,8--42,9--12,9--14,9--22,10--27,10--36,11--15,11--17,11--19,12--29,13--15,13--16,13--24,14--41,15--19,16--24,16--43,17--37,17--39,18--28,18--32,18--39,19--41,20--24,20--30,20--34,21--22,21--37,21--41,22--27,23--28,23--31,25--26,26--42,27--35,28--30,29--38,30--43,31--38,33--39,35--40,37--38,40--42,40--43
0--23,0--33,0--36,1--6,1--13,1--40,2--6,2--11,2--28,3--17,3--23,3--38,4--17,4--26,4--39,5--9,5--21,5--42,6--22,7--12,7--16,7--31,8--20,8--25,8--28,9--22,9--38,10--14,10--32,10--34,11--30,11--42,12--33,12--41,13--24,13--26,14--15,14--37,15--16,15--27,16--26,17--27,18--35,18--39,18--43,19--22,19--30,19--38,20--30,20--41,21--35,21--41,23--25,24--36,24--42,25--28,27--34,29--32,29--33,29--37,31--36,31--37,32--34,35--43,39--40,40--43
0--17,0--22,0--41,1--7,1--16,1--18,2--11,2--24,2--33,3--23,3--37,3--41,4--25,4--26,4--32,5--14,5--34,5--35,6--18,6--38,6--42,7--29,7--41,8--18,8--35,8--36,9--13,9--19,9--37,10--16,10--28,10--33,11--21,11--31,12--36,12--39,12--42,13--32,13--40,14--29,14--33,15--20,15--23,15--39,16--22,17--25,17--31,19--23,19--25,20--31,20--43,21--28,21--32,22--34,24--37,24--40,26--27,26--30,27--38,27--40,28--39,29--30,30--43,34--43,35--42,36--38
0--11,0--24,0--41,1--10,1--17,1--23,2--6,2--8,2--18,3--14,3--34,3--38,4--19,4--36,4--39,5--7,5--16,5--33,6--17,6--25,7--17,7--42,8--22,8--34,9--10,9--14,9--39,10--22,11--19,11--24,12--18,12--20,12--36,13--16,13--19,13--30,14--31,15--28,15--35,15--38,16--27,18--40,20--29,20--40,21--29,21--30,21--32,22--30,23--27,23--36,24--41,25--35,25--41,26--29,26--39,26--43,27--28,28--33,31--37,31--40,32--35,32--37,33--37,34--42,38--43,42--43
0--13,0--14,0--37,1--21,1--22,1--24,2--14,2--26,2--31,3--5,3--11,3--23,4--20,4--24,4--41,5--28,5--31,6--28,6--35,6--39,7--8,7--14,7--21,8--17,8--30,9--12,9--13,9--33,10--25,10--39,10--42,11--16,11--22,12--26,12--41,13--42,15--24,15--27,15--38,16--22,16--29,17--18,17--43,18--21,18--35,19--20,19--39,19--43,20--33,23--36,23--40,25--31,25--32,26--36,27--34,27--37,28--33,29--32,29--42,30--32,30--35,34--38,34--40,36--43,37--40,38--41
0--6,0--22,0--28,1--13,1--35,1--36,2--10,2--18,2--43,3--11,3--28,3--38,4--17,4--29,4--34,5--23,5--33,5--42,6--24,6--25,7--25,7--33,7--39,8--20,8--21,8--26,9--17,9--22,9--23,10--12,10--36,11--35,11--42,12--27,12--40,13--32,13--41,14--18,14--22,14--36,15--20,15--31,15--41,16--27,16--30,16--43,17--27,18--33,19--26,19--34,19--42,20--24,21--37,21--38,23--29,24--29,25--34,26--31,28--35,30--37,30--39,31--37,32--38,32--40,39--41,40--43
0--22,0--28,0--31,1--34,1--35,1--39,2--19,2--34,2--37,3--6,3--23,3--26,4--13,4--36,4--41,5--9,5--25,5--43,6--11,6--32,7--27,7--29,7--36,8--15,8--18,8--33,9--14,9--40,10--15,10--30,10--40,11--28,11--37,12--19,12--25,12--31,13--34,13--43,14--16,14--17,15--20,16--24,16--42,17--21,17--41,18--31,18--41,19--25,20--27,20--32,21--30,21--40,22--26,22--30,23--24,23--33,24--38,26--29,27--32,28--39,29--37,33--39,35--38,35--42,36--42,38--43
0--1,0--20,0--26,1--12,1--16,2--15,2--21,2--34,3--36,3--39,3--41,4--8,4--22,4--39,5--13,5--33,5--38,6--21,6--35,6--36,7--29,7--35,7--41,8--18,8--24,9--11,9--14,9--23,10--14,10--32,10--38,11--16,11--26,12--18,12--20,13--16,13--20,14--33,15--24,15--43,17--27,17--35,17--43,18--28,19--24,19--25,19--30,21--23,22--26,22--42,23--27,25--29,25--40,27--42,28--29,28--31,30--33,30--37,31--32,31--39,32--34,34--40,36--37,37--42,38--41,40--43
0--25,0--28,0--39,1--11,1--35,1--38,2--19,2--20,2--28,3--5,3--8,3--29,4--14,4--18,4--20,5--11,5--36,6--15,6--24,6--38,7--22,7--34,7--38,8--13,8--27,9--32,9--37,9--40,10--28,10--30,10--39,11--19,12--31,12--37,12--43,13--23,13--36,14--17,14--21,15--21,15--26,16--18,16--22,16--33,17--22,17--25,18--37,19--24,20--25,21--23,23--32,24--29,26--30,26--41,27--34,27--41,29--31,30--42,31--34,32--42,33--40,33--41,35--39,35--43,36--43,40--42
0--12,0--17,0--41,1--14,1--30,1--36,2--25,2--31,2--40,3--5,3--32,3--41,4--12,4--26,4--31,5--18,5--41,6--12,6--20,6--21,7--8,7--16,7--18,8--17,8--28,9--11,9--18,9--38,10--26,10--35,10--39,11--13,11--15,13--22,13--34,14--32,14--43,15--37,15--42,16--22,16--40,17--30,19--25,19--27,19--33,20--32,20--34,21--22,21--43,23--25,23--37,23--39,24--28,24--29,24--42,26--43,27--31,27--36,28--42,29--33,29--35,30--34,33--36,35--38,37--38,39--40
0--20,0--28,0--37,1--31,1--32,1--35,2--3,2--5,2--27,3--18,3--40,4--5,4--13,4--43,5--41,6--26,6--29,6--33,7--20,7--21,7--36,8--11,8--36,8--41,9--22,9--24,9--34,10--12,10--30,10--36,11--15,11--37,12--16,12--21,13--34,13--42,14--15,14--16,14--22,15--28,16--25,17--19,17--23,17--35,18--21,18--24,19--20,19--30,22--30,23--38,23--42,24--25,25--31,26--27,26--38,27--31,28--32,29--32,29--39,33--41,33--43,34--35,37--39,38--43,39--40,40--42
0--13,0--23,0--39,1--5,1--6,1--42,2--10,2--29,2--43,3--6,3--9,3--13,4--11,4--27,4--42,5--15,5--22,6--9,7--19,7--32,7--37,8--21,8--32,8--41,9--20,10--31,10--42,11--16,11--39,12--29,12--30,12--37,13--19,14--18,14--36,14--41,15--31,15--33,16--26,16--38,17--29,17--37,17--40,18--32,18--38,19--24,20--30,20--35,21--36,21--43,22--23,22--38,23--27,24--27,24--43,25--28,25--35,25--36,26--33,26--34,28--33,28--39,30--34,31--40,34--35,40--41
0--3,0--16,0--20,1--25,1--29,1--39,2--17,2--27,2--32,3--24,3--34,4--10,4--12,4--35,5--13,5--16,5--18,6--22,6--25,6--36,7--19,7--33,7--37,8--10,8--29,8--38,9--17,9--31,9--34,10--14,11--35,11--39,11--42,12--17,12--20,13--32,13--41,14--22,14--41,15--25,15--36,15--42,16--28,18--24,18--40,19--23,19--43,20--38,21--28,21--33,21--35,22--26,23--41,23--43,24--28,26--30,26--36,27--29,27--31,30--33,30--38,31--40,32--40,34--37,37--39,42--43
0--1,0--13,0--15,1--20,1--38,2--3,2--14,2--35,3--17,3--34,4--16,4--31,4--38,5--18,5--25,5--31,6--18,6--19,6--43,7--8,7--20,7--24,8--27,8--43,9--12,9--21,9--41,10--11,10--32,10--36,11--15,11--33,12--21,12--29,13--24,13--35,14--30,14--40,15--27,16--25,16--33,17--26,17--39,18--42,19--23,19--30,20--28,21--26,22--23,22--32,22--37,23--41,24--34,25--29,26--39,27--36,28--31,28--35,29--42,30--40,32--40,33--34,36--42,37--38,37--43,39--41
0--25,0--36,0--41,1--21,1--41,1--42,2--6,2--18,2--24,3--5,3--27,3--33,4--28,4--30,4--36,5--14,5--31,6--11,6--24,7--20,7--21,7--22,8--14,8--29,8--32,9--32,9--34,9--38,10--11,10--18,10--43,11--13,12--14,12--32,12--40,13--30,13--39,15--22,15--27,15--39,16--17,16--21,16--28,17--25,17--37,18--42,19--34,19--35,19--39,20--23,20--33,22--29,23--24,23--28,25--37,26--38,26--40,26--41,27--30,29--35,31--35,31--37,33--42,34--43,36--40,38--43
0--11,0--20,0--35,1--4,1--13,1--24,2--31,2--34,2--35,3--7,3--18,3--37,4--11,4--28,5--7,5--15,5--43,6--10,6--28,6--42,7--33,8--21,8--33,8--40,9--16,9--28,9--30,10--17,10--24,11--21,12--15,12--21,12--35,13--37,13--39,14--26,14--31,14--39,15--18,16--29,16--42,17--27,17--41,18--38,19--30,19--41,19--42,20--23,20--32,22--29,22--40,22--43,23--32,23--41,24--38,25--33,25--34,25--36,26--27,26--38,27--36,29--32,30--43,31--36,34--39,37--40
0--26,0--29,0--38,1--32,1--37,1--42,2--8,2--16,2--24,3--10,3--13,3--38,4--11,4--40,4--41,5--15,5--23,5--41,6--27,6--28,6--30,7--10,7--15,7--25,8--20,8--21,9--19,9--28,9--42,10--30,11--31,11--34,12--16,12--30,12--43,13--23,13--27,14--18,14--42,14--43,15--18,16--33,17--25,17--34,17--37,18--34,19--25,19--33,20--21,20--40,21--27,22--31,22--36,22--40,23--29,24--39,24--43,26--32,26--35,28--33,29--38,31--41,32--36,35--37,35--39,36--39
0--14,0--24,0--29,1--9,1--26,1--38,2--20,2--29,2--36,3--13,3--14,3--22,4--23,4--30,4--42,5--18,5--19,5--25,6--7,6--33,6--42,7--19,7--25,8--32,8--36,8--39,9--12,9--13,10--15,10--20,10--21,11--12,11--35,11--37,12--21,13--38,14--27,15--37,15--38,16--22,16--26,16--33,17--20,17--31,17--41,18--27,18--40,19--34,21--35,22--35,23--31,23--41,24--27,24--37,25--42,26--32,28--34,28--40,28--41,29--32,30--34,30--39,31--43,33--39,36--43,40--43
0--1,0--3,0--12,1--25,1--40,2--19,2--26,2--27,3--24,3--41,4--15,4--18,4--38,5--29,5--30,5--36,6--10,6--11,6--16,7--10,7--12,7--28,8--10,8--19,8--34,9--18,9--21,9--38,11--17,11--34,12--42,13--22,13--25,13--43,14--31,14--37,14--43,15--23,15--30,16--32,16--41,17--23,17--24,18--33,19--32,20--27,20--32,20--40,21--36,21--40,22--27,22--37,23--42,24--29,25--42,26--28,26--33,28--33,29--35,30--41,31--35,31--39,34--35,36--38,37--39,39--43
0--4,0--27,0--36,1--34,1--42,1--43,2--13,2--24,2--26,3--17,3--29,3--35,4--10,4--32,5--15,5--27,5--33,6--16,6--20,6--40,7--8,7--13,7--28,8--14,8--37,9--11,9--26,9--38,10--22,10--38,11--30,11--43,12--31,12--32,12--41,13--18,14--39,14--43,15--19,15--40,16--18,16--33,17--24,17--31,18--20,19--21,19--23,20--23,21--35,21--36,22--25,22--30,23--37,24--29,25--27,25--39,26--42,28--33,28--41,29--34,30--35,31--40,32--42,34--37,36--41,38--39
0--1,0--29,0--43,1--17,1--31,2--16,2--34,2--35,3--25,3--28,3--42,4--22,4--31,4--34,5--16,5--19,5--32,6--19,6--32,6--43,7--10,7--23,7--26,8--12,8--18,8--38,9--33,9--35,9--36,10--11,10--12,11--14,11--41,12--30,13--14,13--18,13--27,14--29,15--27,15--30,15--39,16--21,17--23,17--33,18--38,19--37,20--25,20--35,20--39,21--27,21--34,22--26,22--43,23--24,24--33,24--42,25--40,26--41,28--36,28--42,29--38,30--37,31--40,32--36,37--41,39--40
0--7,0--24,0--36,1--28,1--33,1--41,2--20,2--23,2--39,3--14,3--15,3--29,4--13,4--15,4--27,5--12,5--19,5--42,6--13,6--28,6--34,7--20,7--37,8--17,8--21,8--35,9--14,9--36,9--43,10--22,10--26,10--32,11--14,11--25,11--29,12--26,12--39,13--43,15--37,16--23,16--30,16--31,17--18,17--26,18--35,18--43,19--21,19--38,20--21,22--25,22--31,23--42,24--31,24--33,25--36,27--41,27--42,28--34,29--40,30--32,30--34,32--39,33--35,37--38,38--40,40--41
0--12,0--16,0--37,1--9,1--18,1--36,2--24,2--29,2--30,3--7,3--39,3--42,4--22,4--35,4--40,5--25,5--28,5--29,6--16,6--20,6--23,7--15,7--35,8--12,8--18,8--23,9--27,9--33,10--17,10--20,10--40,11--12,11--22,11--41,13--21,13--36,13--41,14--22,14--33,14--38,15--30,15--38,16--26,17--24,17--32,18--19,19--35,19--37,20--42,21--23,21--42,24--43,25--31,25--43,26--38,26--43,27--32,27--34,28--39,28--40,29--31,30--36,31--34,32--33,34--41,37--39
0--25,0--32,0--34,1--9,1--16,1--33,2--15,2--23,2--39,3--14,3--28,3--36,4--19,4--27,4--42,5--7,5--33,5--39,6--12,6--24,6--38,7--13,7--38,8--10,8--15,8--38,9--24,9--27,10--29,10--36,11--37,11--41,11--43,12--18,12--35,13--22,13--23,14--30,14--39,15--22,16--32,16--33,17--31,17--34,17--35,18--31,18--34,19--25,19--31,20--25,20--28,20--30,21--22,21--29,21--40,23--42,24--26,26--36,26--37,27--28,29--30,32--35,37--42,40--41,40--43,41--43
0--9,0--26,0--42,1--2,1--25,1--31,2--12,2--31,3--6,3--15,3--24,4--5,4--25,4--38,5--7,5--17,6--14,6--29,7--27,7--37,8--24,8--38,8--43,9--20,9--42,10--27,10--28,10--39,11--19,11--35,11--40,12--14,12--15,13--16,13--30,13--33,14--20,15--32,16--29,16--38,17--30,17--40,18--24,18--32,18--43,19--33,19--41,20--26,21--23,21--37,21--39,22--28,22--31,22--34,23--27,23--41,25--30,26--36,28--36,29--36,32--43,33--35,34--39,34--40,35--42,37--41
0--4,0--18,0--39,1--6,1--10,1--31,2--9,2--29,2--34,3--17,3--20,3--41,4--22,4--27,5--27,5--38,5--42,6--33,6--36,7--11,7--20,7--40,8--35,8--40,8--42,9--13,9--23,10--14,10--37,11--15,11--28,12--25,12--32,12--42,13--32,13--36,14--19,14--27,15--29,15--43,16--18,16--20,16--22,17--18,17--21,19--25,19--35,21--37,21--43,22--23,23--24,24--34,24--41,25--39,26--29,26--34,26--38,28--38,28--43,30--31,30--36,30--37,31--32,33--39,33--40,35--41
0--3,0--19,0--39,1--17,1--23,1--32,2--13,2--34,2--36,3--19,3--38,4--20,4--21,4--32,5--14,5--23,5--41,6--7,6--20,6--22,7--11,7--39,8--19,8--29,8--35,9--12,9--23,9--37,10--15,10--28,10--30,11--14,11--24,12--38,12--42,13--26,13--30,14--26,15--21,15--22,16--28,16--33,16--39,17--26,17--33,18--27,18--41,18--43,20--42,21--27,22--25,24--31,24--37,25--32,25--35,27--36,28--30,29--31,29--34,31--43,33--40,34--36,35--37,38--40,40--41,42--43
0--32,0--33,0--34,1--22,1--24,1--29,2--22,2--37,2--41,3--10,3--12,3--34,4--5,4--6,4--39,5--16,5--26,6--32,6--36,7--11,7--23,7--42,8--11,8--15,8--31,9--18,9--20,9--38,10--14,10--31,11--31,12--13,12--36,13--14,13--35,14--17,15--25,15--33,16--17,16--28,17--29,18--35,18--42,19--27,19--30,19--41,20--21,20--43,21--38,21--43,22--23,23--30,24--25,24--39,25--41,26--35,26--38,27--37,27--40,28--40,28--42,29--37,30--33,32--43,34--40,36--39
0--7,0--11,0--21,1--8,1--24,1--40,2--4,2--18,2--31,3--16,3--24,3--38,4--12,4--40,5--12,5--29,5--35,6--15,6--29,6--41,7--32,7--38,8--14,8--36,9--10,9--19,9--37,10--23,10--37,11--20,11--30,12--14,13--19,13--25,13--28,14--29,15--19,15--22,16--37,16--39,17--25,17--27,17--30,18--22,18--33,20--39,20--42,21--34,21--36,22--23,23--43,24--31,25--28,26--31,26--38,26--41,27--36,27--39,28--32,30--40,32--34,33--35,33--43,34--42,35--41,42--43
