0--7,0--34,0--35,1--18,1--22,1--28,2--12,2--17,2--33,3--15,3--19,3--29,4--20,4--23,4--34,5--20,5--25,5--37,6--8,6--18,6--24,7--25,7--29,8--22,8--40,9--13,9--41,9--44,10--15,10--38,10--44,11--16,11--21,11--30,12--21,12--39,13--22,13--45,14--16,14--41,14--45,15--34,16--28,17--27,17--43,18--31,19--32,19--37,20--32,21--24,23--32,23--38,24--42,25--28,26--30,26--33,26--44,27--29,27--43,30--42,31--33,31--45,35--42,35--43,36--37,36--38,36--40,39--40,39--41
0--5,0--14,0--25,1--7,1--8,1--20,2--21,2--28,2--37,3--6,3--13,3--23,4--9,4--29,4--38,5--23,5--35,6--8,6--24,7--22,7--43,8--40,9--29,9--34,10--11,10--36,10--40,11--17,11--25,12--16,12--20,12--25,13--17,13--38,14--26,14--42,15--27,15--34,15--40,16--24,16--27,17--30,18--26,18--30,18--36,19--22,19--32,19--44,20--31,21--31,21--32,22--33,23--26,24--37,27--41,28--32,28--39,29--42,30--45,31--38,33--43,33--45,34--41,35--36,35--44,37--39,39--41,42--45,43--44
0--3,0--27,0--30,1--21,1--23,1--42,2--17,2--21,2--25,3--28,3--37,4--15,4--22,4--26,5--10,5--33,5--35,6--9,6--11,6--12,7--9,7--25,7--33,8--20,8--24,8--43,9--12,10--15,10--39,11--14,11--40,12--35,13--34,13--36,13--41,14--15,14--39,16--34,16--37,16--42,17--25,17--28,18--24,18--32,18--36,19--24,19--26,19--29,20--40,20--45,21--44,22--32,22--36,23--40,23--43,26--31,27--32,27--34,28--39,29--44,29--45,30--31,30--42,31--33,35--38,37--38,38--45,41--43,41--44
0--4,0--27,0--34,1--8,1--18,1--20,2--3,2--22,2--24,3--21,3--44,4--14,4--17,5--15,5--37,5--41,6--14,6--21,6--35,7--11,7--29,7--33,8--30,8--38,9--29,9--37,9--41,10--28,10--43,10--45,11--12,11--35,12--26,12--42,13--29,13--31,13--43,14--16,15--23,15--34,16--20,16--37,17--19,17--22,18--28,18--33,19--38,19--41,20--27,21--39,22--40,23--33,23--44,24--28,24--40,25--32,25--34,25--36,26--31,26--39,27--35,30--36,30--45,31--42,32--36,32--40,38--42,39--45,43--44
0--20,0--24,0--43,1--14,1--18,1--42,2--22,2--32,2--45,3--18,3--21,3--44,4--12,4--16,4--40,5--23,5--25,5--44,6--7,6--14,6--17,7--9,7--25,8--12,8--20,8--43,9--22,9--28,10--34,10--35,10--44,11--19,11--28,11--33,12--36,13--20,13--39,13--43,14--15,15--25,15--37,16--27,16--29,17--19,17--38,18--41,19--29,21--23,21--39,22--30,23--28,24--27,24--37,26--32,26--37,26--38,27--42,29--31,30--31,30--36,31--45,32--36,33--35,33--41,34--40,34--45,35--41,38--42,39--40
0--17,0--35,0--42,1--24,1--37,1--41,2--10,2--25,2--38,3--14,3--26,3--36,4--11,4--24,4--27,5--8,5--20,5--33,6--10,6--38,6--43,7--22,7--28,7--42,8--15,8--40,9--13,9--28,9--45,10--29,11--12,11--43,12--29,12--34,13--21,13--22,14--17,14--39,15--35,15--44,16--19,16--38,16--43,17--23,18--23,18--27,18--37,19--32,19--33,20--30,20--41,21--29,21--45,22--34,23--31,24--31,25--30,25--32,26--27,26--39,28--34,30--39,31--40,32--33,35--44,36--37,36--45,40--41,42--44
0--1,0--2,0--25,1--28,1--45,2--8,2--28,3--5,3--8,3--42,4--10,4--15,4--38,5--7,5--18,6--20,6--34,6--38,7--34,7--37,8--42,9--14,9--16,9--35,10--31,10--40,11--18,11--32,11--35,12--19,12--27,12--36,13--31,13--38,13--43,14--39,14--42,15--40,15--43,16--26,16--44,17--24,17--40,17--45,18--33,19--21,19--43,20--26,20--44,21--22,21--32,22--27,22--37,23--27,23--36,23--45,24--29,24--39,25--26,25--33,28--30,29--33,29--41,30--31,30--39,32--35,34--36,37--41,41--44
0--2,0--38,0--41,1--2,1--12,1--20,2--9,3--8,3--35,3--43,4--7,4--13,4--44,5--7,5--27,5--31,6--16,6--29,6--30,7--13,8--9,8--12,9--39,10--15,10--34,10--45,11--31,11--33,11--44,12--38,13--24,14--16,14--21,14--30,15--27,15--36,16--40,17--25,17--35,17--37,18--27,18--40,18--41,19--21,19--28,19--39,20--24,20--37,21--22,22--31,22--40,23--26,23--28,23--42,24--33,25--29,25--43,26--30,26--38,28--45,29--35,32--37,32--42,32--45,33--34,34--41,36--39,36--44,42--43
0--1,0--31,0--39,1--12,1--37,2--18,2--29,2--36,3--9,3--33,3--45,4--11,4--15,4--20,5--12,5--21,5--44,6--11,6--17,6--38,7--15,7--32,7--35,8--26,8--27,8--43,9--19,9--45,10--21,10--32,10--38,11--37,12--30,13--14,13--24,13--42,14--33,14--40,15--29,16--21,16--25,16--40,17--25,17--38,18--20,18--44,19--20,19--36,22--26,22--32,22--41,23--25,23--40,23--43,24--34,24--44,26--31,27--31,27--39,28--30,28--34,28--42,29--34,30--36,33--35,35--41,37--43,39--45,41--42
0--2,0--9,0--38,1--9,1--21,1--27,2--7,2--43,3--23,3--30,3--31,4--8,4--24,4--34,5--9,5--29,5--41,6--14,6--30,6--43,7--38,7--39,8--14,8--40,10--15,10--25,10--29,11--16,11--32,11--33,12--13,12--16,12--45,13--19,13--41,14--35,15--28,15--36,16--31,17--27,17--30,17--35,18--22,18--42,18--44,19--35,19--42,20--24,20--34,20--45,21--43,21--45,22--26,22--27,23--37,23--39,24--32,25--28,25--44,26--39,26--40,28--32,29--41,31--33,33--36,34--40,36--44,37--38,37--42
0--9,0--23,0--41,1--22,1--37,1--38,2--11,2--38,2--42,3--13,3--31,3--43,4--8,4--28,4--43,5--20,5--21,5--44,6--7,6--29,6--35,7--14,7--24,8--14,8--29,9--18,9--29,10--13,10--26,10--40,11--15,11--25,12--16,12--39,12--42,13--33,14--20,15--31,15--40,16--25,16--43,17--19,17--20,17--33,18--21,18--39,19--26,19--27,21--34,22--44,22--45,23--36,23--39,24--38,24--40,25--30,26--42,27--32,27--35,28--36,28--45,30--31,30--34,32--41,32--44,33--36,34--37,35--37,41--45
0--31,0--34,0--38,1--7,1--20,1--32,2--3,2--34,2--35,3--5,3--18,4--16,4--22,4--40,5--23,5--25,6--24,6--28,6--44,7--29,7--43,8--13,8--15,8--32,9--29,9--35,9--37,10--12,10--17,10--27,11--16,11--30,11--31,12--18,12--30,13--43,13--45,14--18,14--24,14--37,15--22,15--27,16--20,17--31,17--36,19--23,19--37,19--42,20--33,21--32,21--41,21--45,22--30,23--40,24--27,25--35,25--41,26--33,26--41,26--44,28--40,28--42,29--38,33--44,34--39,36--42,36--45,38--39,39--43
0--14,0--32,0--45,1--12,1--25,1--33,2--17,2--37,2--43,3--20,3--36,3--45,4--11,4--36,4--43,5--6,5--35,5--38,6--18,6--40,7--12,7--14,7--37,8--13,8--22,8--41,9--31,9--34,9--41,10--17,10--19,10--28,11--15,11--35,12--40,13--28,13--44,14--15,15--29,16--23,16--24,16--26,17--35,18--24,18--40,19--22,19--42,20--21,20--41,21--33,21--38,22--27,23--25,23--27,24--45,25--27,26--32,26--33,28--30,29--38,29--39,30--39,30--44,31--42,31--44,32--34,34--43,36--39,37--42
0--3,0--5,0--8,1--14,1--31,1--44,2--6,2--7,2--18,3--16,3--27,4--30,4--32,4--37,5--6,5--21,6--34,7--28,7--40,8--17,8--25,9--19,9--26,9--43,10--24,10--35,10--43,11--21,11--24,11--27,12--17,12--30,12--37,13--15,13--40,13--41,14--33,14--44,15--29,15--43,16--29,16--39,17--38,18--20,18--42,19--36,19--42,20--39,20--45,21--37,22--23,22--26,22--38,23--39,23--40,24--28,25--41,25--45,26--34,27--30,28--41,29--33,31--36,31--44,32--34,32--42,33--45,35--36,35--38
0--10,0--24,0--34,1--16,1--33,1--42,2--23,2--35,2--37,3--24,3--32,3--37,4--29,4--37,4--41,5--6,5--13,5--27,6--25,6--26,7--25,7--34,7--41,8--16,8--31,8--44,9--28,9--33,9--45,10--30,10--32,11--18,11--26,11--27,12--20,12--26,12--36,13--35,13--43,14--15,14--23,14--38,15--22,15--39,16--25,17--18,17--19,17--20,18--33,19--27,19--34,20--23,21--29,21--30,21--40,22--31,22--36,24--40,28--32,28--36,29--44,30--44,31--45,35--45,38--39,38--43,39--42,40--41,42--43
0--1,0--11,0--21,1--5,1--27,2--38,2--39,2--42,3--10,3--19,3--35,4--14,4--29,4--42,5--41,5--45,6--11,6--32,6--41,7--16,7--36,7--38,8--19,8--30,8--43,9--19,9--22,9--39,10--24,10--42,11--13,12--23,12--37,12--45,13--21,13--33,14--25,14--38,15--18,15--26,15--27,16--31,16--40,17--31,17--36,17--45,18--23,18--29,20--28,20--34,20--37,21--33,22--33,22--34,23--30,24--30,24--44,25--39,25--40,26--37,26--44,27--35,28--29,28--35,31--43,32--43,32--44,34--40,36--41
0--15,0--24,0--33,1--23,1--25,1--37,2--8,2--27,2--45,3--18,3--23,3--42,4--31,4--34,4--38,5--6,5--13,5--27,6--14,6--22,7--11,7--14,7--28,8--11,8--31,9--15,9--16,9--34,10--29,10--37,10--45,11--44,12--16,12--17,12--20,13--26,13--33,14--22,15--35,16--28,17--19,17--40,18--19,18--25,19--31,20--36,20--39,21--36,21--42,21--43,22--29,23--34,24--32,24--41,25--44,26--35,26--41,27--44,28--32,29--43,30--40,30--43,30--45,32--42,33--37,35--36,38--39,38--41,39--40
0--7,0--9,0--43,1--8,1--24,1--33,2--29,2--30,2--32,3--10,3--13,3--42,4--6,4--10,4--19,5--24,5--30,5--31,6--8,6--30,7--29,7--36,8--34,9--21,9--41,10--32,11--12,11--34,11--45,12--28,12--45,13--18,13--32,14--31,14--35,14--37,15--25,15--35,15--43,16--23,16--35,16--40,17--22,17--31,17--42,18--19,18--37,19--40,20--23,20--28,20--44,21--26,21--39,22--27,22--44,23--27,24--44,25--26,25--42,26--41,27--38,28--38,29--36,33--37,33--39,34--39,36--41,38--43,40--45
0--7,0--21,0--32,1--2,1--19,1--31,2--23,2--42,3--5,3--6,3--40,4--13,4--20,4--21,5--15,5--31,6--15,6--38,7--11,7--27,8--16,8--35,8--43,9--11,9--34,9--38,10--19,10--32,10--34,11--26,12--25,12--43,12--44,13--17,13--34,14--23,14--24,14--35,15--37,16--22,16--24,17--31,17--39,18--25,18--27,18--39,19--36,20--29,20--40,21--45,22--26,22--45,23--41,24--26,25--36,27--45,28--29,28--37,28--40,29--32,30--33,30--36,30--37,33--35,33--43,38--44,39--41,41--42,42--44
0--2,0--13,0--16,1--25,1--26,1--38,2--22,2--39,3--11,3--15,3--23,4--9,4--15,4--42,5--20,5--28,5--34,6--18,6--28,6--37,7--9,7--27,7--29,8--19,8--29,8--35,9--17,10--13,10--14,10--16,11--42,11--44,12--16,12--30,12--40,13--18,14--24,14--39,15--41,17--27,17--43,18--35,19--38,19--44,20--21,20--33,21--31,21--34,22--24,22--36,23--33,23--44,24--45,25--26,25--39,26--41,27--37,28--45,29--43,30--36,30--41,31--34,31--43,32--36,32--40,32--42,33--35,37--45,38--40
0--6,0--16,0--18,1--22,1--34,1--42,2--10,2--17,2--41,3--18,3--40,3--45,4--8,4--17,4--19,5--10,5--19,5--24,6--12,6--26,7--9,7--22,7--33,8--23,8--27,9--29,9--34,10--13,11--14,11--15,11--20,12--24,12--43,13--37,13--44,14--25,14--35,15--38,15--40,16--31,16--37,17--35,18--27,19--45,20--28,20--31,21--26,21--32,21--43,22--28,23--28,23--38,24--36,25--30,25--33,26--32,27--30,29--39,29--40,30--39,31--32,33--44,34--39,35--38,36--37,36--43,41--42,41--44,42--45
0--9,0--27,0--41,1--25,1--29,1--39,2--5,2--6,2--39,3--17,3--31,3--40,4--15,4--19,4--21,5--6,5--26,6--14,7--22,7--25,7--34,8--26,8--35,8--42,9--14,9--33,10--11,10--29,10--36,11--31,11--38,12--23,12--29,12--44,13--16,13--18,13--24,14--37,15--32,15--39,16--20,16--37,17--30,17--45,18--28,18--36,19--20,19--22,20--43,21--31,21--33,22--43,23--28,23--35,24--32,24--41,25--43,26--33,27--35,27--45,28--34,30--32,30--34,36--45,37--38,38--41,40--42,40--44,42--44
0--5,0--7,0--22,1--25,1--40,1--45,2--19,2--32,2--35,3--13,3--32,3--34,4--5,4--19,4--34,5--36,6--10,6--15,6--31,7--8,7--40,8--16,8--33,9--23,9--33,9--37,10--13,10--38,11--40,11--41,11--43,12--13,12--26,12--30,14--20,14--21,14--27,15--24,15--32,16--26,16--28,17--20,17--22,17--45,18--19,18--28,18--31,20--34,21--25,21--42,22--43,23--29,23--33,24--27,24--44,25--35,26--30,27--45,28--39,29--36,29--41,30--42,31--37,35--44,36--39,37--38,38--44,39--41,42--43
0--1,0--28,0--44,1--5,1--44,2--18,2--20,2--35,3--23,3--38,3--39,4--11,4--21,4--28,5--13,5--39,6--12,6--29,6--33,7--19,7--21,7--35,8--16,8--23,8--41,9--11,9--22,9--40,10--16,10--27,10--45,11--26,12--31,12--41,13--25,13--43,14--24,14--27,14--29,15--18,15--31,15--45,16--43,17--34,17--37,17--42,18--26,19--36,19--38,20--32,20--36,21--24,22--31,22--41,23--33,24--28,25--32,25--40,26--27,29--42,30--33,30--34,30--35,32--37,34--39,36--43,37--40,38--45,42--44
0--4,0--23,0--38,1--6,1--14,1--29,2--10,2--31,2--44,3--26,3--32,3--43,4--7,4--24,5--24,5--27,5--45,6--32,6--39,7--20,7--42,8--16,8--28,8--42,9--27,9--34,9--41,10--25,10--38,11--21,11--36,11--41,12--15,12--27,12--37,13--18,13--30,13--35,14--17,14--26,15--22,15--33,16--17,16--30,17--36,18--33,18--37,19--20,19--31,19--38,20--21,21--44,22--37,22--43,23--29,23--40,24--42,25--30,25--45,26--29,28--31,28--39,32--41,33--45,34--35,34--44,35--40,36--43,39--40
0--7,0--27,0--33,1--11,1--22,1--41,2--3,2--15,2--28,3--38,3--40,4--8,4--12,4--43,5--7,5--39,5--44,6--20,6--30,6--31,7--45,8--10,8--29,9--15,9--22,9--38,10--19,10--35,11--28,11--42,12--19,12--25,13--35,13--41,13--42,14--24,14--27,14--37,15--26,16--19,16--21,16--38,17--36,17--37,17--39,18--20,18--21,18--32,20--31,21--34,22--45,23--24,23--29,23--42,24--26,25--27,25--30,26--36,28--29,30--31,32--34,32--36,33--34,33--44,35--39,37--43,40--41,40--43,44--45
0--13,0--28,0--40,1--23,1--24,1--27,2--7,2--30,2--45,3--17,3--19,3--31,4--29,4--30,4--37,5--16,5--21,5--32,6--23,6--28,6--45,7--17,7--24,8--30,8--35,8--43,9--14,9--20,9--25,10--20,10--37,10--38,11--17,11--37,11--41,12--35,12--36,12--39,13--16,13--31,14--23,14--44,15--22,15--36,15--45,16--44,18--19,18--25,18--36,19--42,20--27,21--26,21--28,22--32,22--38,24--26,25--39,26--32,27--41,29--33,29--42,31--35,33--40,33--44,34--39,34--40,34--42,38--43,41--43
0--7,0--38,0--45,1--3,1--7,1--33,2--11,2--19,2--43,3--5,3--20,4--37,4--39,4--41,5--6,5--9,6--19,6--20,7--12,8--12,8--24,8--36,9--13,9--31,10--18,10--27,10--42,11--31,11--34,12--20,13--18,13--28,14--25,14--32,14--36,15--38,15--40,15--42,16--29,16--39,16--42,17--26,17--28,17--38,18--45,19--43,21--30,21--32,21--43,22--29,22--33,22--35,23--25,23--39,23--45,24--31,24--34,25--27,26--37,26--44,27--41,28--29,30--35,30--40,32--41,33--36,34--44,35--44,37--40
0--6,0--7,0--35,1--14,1--25,1--42,2--11,2--21,2--38,3--9,3--13,3--43,4--8,4--15,4--28,5--9,5--19,5--32,6--20,6--23,7--26,7--33,8--43,8--44,9--39,10--23,10--33,10--39,11--17,11--29,12--26,12--36,12--40,13--17,13--42,14--34,14--37,15--21,15--31,16--29,16--30,16--33,17--20,18--36,18--37,18--41,19--24,19--38,20--27,21--28,22--24,22--27,22--32,23--25,24--36,25--45,26--45,27--45,28--41,29--35,30--35,30--40,31--34,31--44,32--37,34--44,38--41,39--43,40--42
0--9,0--24,0--33,1--2,1--11,1--17,2--7,2--13,3--4,3--42,3--44,4--31,4--36,5--8,5--18,5--42,6--11,6--22,6--23,7--31,7--44,8--21,8--34,9--10,9--21,10--16,10--32,11--23,12--25,12--35,12--43,13--37,13--39,14--19,14--33,14--36,15--22,15--24,15--38,16--26,16--40,17--34,17--37,18--32,18--35,19--30,19--41,20--22,20--28,20--44,21--31,23--43,24--28,25--27,25--38,26--27,26--39,27--29,28--36,29--40,29--43,30--32,30--40,33--45,34--41,35--45,37--45,38--41,39--42
0--2,0--5,0--17,1--6,1--16,1--30,2--24,2--29,3--12,3--19,3--42,4--20,4--41,4--45,5--37,5--43,6--15,6--34,7--16,7--21,7--23,8--11,8--33,8--34,9--10,9--27,9--43,10--13,10--31,11--29,11--33,12--23,12--38,13--29,13--36,14--18,14--30,14--38,15--32,15--35,16--22,17--19,17--27,18--28,18--39,19--21,20--35,20--36,21--27,22--39,22--42,23--26,24--35,24--37,25--37,25--38,25--44,26--32,26--45,28--42,28--45,30--40,31--39,31--44,32--33,34--40,36--43,40--41,41--44
0--2,0--43,0--44,1--8,1--18,1--29,2--12,2--29,3--16,3--36,3--41,4--12,4--16,4--29,5--21,5--37,5--45,6--10,6--19,6--33,7--11,7--19,7--22,8--35,8--39,9--13,9--15,9--18,10--23,10--30,11--15,11--30,12--25,13--18,13--42,14--22,14--35,14--38,15--19,16--41,17--31,17--36,17--44,20--23,20--34,20--40,21--28,21--32,22--32,23--24,24--28,24--42,25--26,25--39,26--32,26--38,27--28,27--31,27--38,30--45,31--40,33--37,33--43,34--35,34--37,36--40,39--44,41--42,43--45
0--23,0--34,0--40,1--7,1--8,1--11,2--4,2--11,2--21,3--10,3--23,3--33,4--26,4--39,5--25,5--38,5--45,6--15,6--18,6--22,7--12,7--37,8--20,8--27,9--31,9--34,9--43,10--17,10--35,11--21,12--23,12--24,13--22,13--29,13--41,14--15,14--26,14--30,15--40,16--29,16--37,16--40,17--41,17--42,18--32,18--34,19--20,19--26,19--32,20--37,21--30,22--44,24--39,24--45,25--28,25--42,27--31,27--38,28--29,28--36,30--35,31--32,33--38,33--41,35--39,36--42,36--44,43--44,43--45
0--5,0--29,0--31,1--3,1--28,1--36,2--4,2--11,2--19,3--7,3--30,4--27,4--28,5--8,5--33,6--22,6--24,6--42,7--24,7--38,8--16,8--22,9--16,9--35,9--45,10--26,10--32,10--33,11--24,11--28,12--23,12--25,12--31,13--32,13--33,13--41,14--30,14--37,14--43,15--26,15--35,15--40,16--34,17--21,17--25,17--44,18--36,18--39,18--43,19--30,19--43,20--23,20--31,20--44,21--37,21--41,22--32,23--25,26--37,27--34,27--38,29--40,29--45,34--41,35--42,36--38,39--44,39--45,40--42
0--4,0--8,0--21,1--4,1--27,1--43,2--7,2--17,2--39,3--23,3--31,3--40,4--35,5--14,5--19,5--31,6--23,6--30,6--36,7--9,7--14,8--30,8--38,9--10,9--28,10--32,10--45,11--15,11--17,11--28,12--21,12--32,12--38,13--25,13--33,13--38,14--32,15--37,15--43,16--19,16--20,16--34,17--23,18--33,18--36,18--44,19--33,20--24,20--29,21--22,22--25,22--34,24--26,24--29,25--35,26--37,26--39,27--31,27--40,28--37,29--42,30--36,34--41,35--42,39--44,40--45,41--43,41--45,42--44
0--5,0--15,0--23,1--4,1--25,1--35,2--39,2--41,2--45,3--10,3--17,3--44,4--18,4--32,5--31,5--34,6--16,6--21,6--45,7--23,7--37,7--44,8--21,8--34,8--43,9--18,9--28,9--37,10--16,10--24,11--15,11--20,11--23,12--35,12--36,12--41,13--14,13--29,13--40,14--27,14--32,15--25,16--31,17--28,17--29,18--26,19--20,19--35,19--44,20--24,21--45,22--33,22--39,22--43,24--38,25--37,26--34,26--42,27--29,27--43,28--33,30--38,30--40,30--42,31--41,32--40,33--36,36--39,38--42
0--15,0--23,0--44,1--15,1--22,1--40,2--13,2--27,2--38,3--9,3--28,3--43,4--10,4--11,4--40,5--7,5--27,5--34,6--33,6--36,6--41,7--23,7--30,8--9,8--23,8--26,9--30,10--15,10--27,11--17,11--41,12--28,12--30,12--37,13--14,13--32,14--24,14--42,16--17,16--29,16--32,17--22,18--20,18--22,18--28,19--25,19--35,19--38,20--24,20--39,21--29,21--34,21--38,24--32,25--35,25--44,26--36,26--43,29--36,31--37,31--39,31--42,33--42,33--44,34--45,35--43,37--41,39--45,40--45
0--3,0--19,0--29,1--4,1--5,1--28,2--8,2--17,2--38,3--19,3--25,4--11,4--22,5--27,5--40,6--8,6--23,6--28,7--22,7--33,7--36,8--14,9--16,9--18,9--45,10--21,10--34,10--42,11--23,11--39,12--21,12--30,12--40,13--14,13--31,13--41,14--32,15--18,15--19,15--20,16--17,16--18,17--39,20--34,20--44,21--26,22--25,23--43,24--27,24--30,24--42,25--43,26--34,26--37,27--33,28--43,29--39,29--45,30--44,31--35,31--40,32--33,32--38,35--41,35--42,36--37,36--44,37--38,41--45
0--14,0--21,0--35,1--11,1--25,1--44,2--8,2--12,2--29,3--20,3--25,3--29,4--14,4--16,4--19,5--24,5--27,5--34,6--13,6--34,6--41,7--13,7--21,7--36,8--23,8--26,9--31,9--42,9--45,10--31,10--33,10--44,11--16,11--18,12--33,12--40,13--42,14--44,15--24,15--30,15--34,16--25,17--21,17--22,17--32,18--37,18--38,19--43,19--45,20--31,20--36,22--32,22--40,23--27,23--41,24--29,26--27,26--30,28--35,28--37,28--42,30--39,32--38,33--43,35--43,36--39,37--40,38--45,39--41
