0--9,0--10,0--11,1--6,1--22,1--31,2--27,2--38,2--52,3--7,3--10,3--33,4--36,4--41,4--53,5--16,5--23,5--51,6--9,6--13,7--18,7--26,8--17,8--45,8--46,9--32,10--26,11--21,11--31,12--18,12--45,12--50,13--18,13--39,14--23,14--31,14--40,15--35,15--42,15--51,16--24,16--28,17--22,17--28,19--38,19--40,19--47,20--29,20--33,20--34,21--42,21--48,22--48,23--33,24--43,24--49,25--34,25--43,25--46,26--35,27--52,27--53,28--37,29--32,29--37,30--41,30--50,30--51,32--47,34--35,36--42,36--44,37--52,38--44,39--41,39--50,40--43,44--48,45--49,46--47,49--53
0--1,0--37,0--52,1--10,1--20,2--10,2--27,2--34,3--5,3--8,3--50,4--33,4--35,4--48,5--14,5--21,6--10,6--16,6--44,7--11,7--22,7--29,8--26,8--44,9--24,9--28,9--46,11--17,11--19,12--15,12--34,12--37,13--23,13--33,13--35,14--35,14--49,15--41,15--49,16--17,16--50,17--27,18--23,18--28,18--32,19--29,19--46,20--23,20--50,21--36,21--45,22--24,22--41,24--25,25--30,25--44,26--47,26--52,27--38,28--51,29--39,30--31,30--42,31--32,31--53,32--37,33--36,34--40,36--40,38--42,38--45,39--45,39--47,40--47,41--43,42--53,43--49,43--53,46--51,48--51,48--52
0--14,0--28,0--46,1--21,1--27,1--43,2--9,2--32,2--52,3--15,3--19,3--42,4--5,4--36,4--53,5--20,5--38,6--40,6--44,6--49,7--8,7--17,7--51,8--16,8--22,9--27,9--44,10--12,10--27,10--51,11--17,11--19,11--41,12--20,12--46,13--31,13--34,13--43,14--26,14--39,15--33,15--37,16--35,16--49,17--40,18--23,18--45,18--49,19--30,20--33,21--29,21--33,22--25,22--41,23--25,23--36,24--31,24--48,24--53,25--43,26--41,26--42,28--48,28--50,29--34,29--40,30--37,30--51,31--38,32--44,32--47,34--45,35--52,35--53,36--50,37--47,38--39,39--52,42--47,45--48,46--50
0--16,0--45,0--47,1--15,1--22,1--27,2--5,2--34,2--35,3--30,3--37,3--44,4--45,4--49,4--53,5--9,5--33,6--16,6--23,6--49,7--24,7--30,7--32,8--21,8--38,8--51,9--24,9--31,10--26,10--36,10--48,11--37,11--40,11--48,12--15,12--46,12--50,13--29,13--49,13--53,14--19,14--41,14--44,15--28,16--46,17--20,17--25,17--34,18--20,18--33,18--36,19--39,19--52,20--26,21--36,21--51,22--40,22--48,23--33,23--53,24--42,25--30,25--31,26--52,27--29,27--32,28--34,28--47,29--38,31--39,32--45,35--50,35--51,37--42,38--41,39--47,40--43,41--46,42--52,43--44,43--50
0--23,0--31,0--37,1--23,1--45,1--48,2--28,2--38,2--41,3--7,3--17,3--39,4--9,4--24,4--47,5--30,5--38,5--41,6--18,6--30,6--40,7--15,7--53,8--12,8--29,8--42,9--19,9--37,10--14,10--16,10--40,11--18,11--52,11--53,12--47,12--49,13--15,13--27,13--29,14--19,14--27,15--33,16--31,16--44,17--40,17--46,18--28,19--45,20--26,20--29,20--39,21--25,21--44,21--49,22--25,22--36,22--37,23--48,24--25,24--32,26--34,26--35,27--43,28--34,30--36,31--51,32--36,32--42,33--43,33--50,34--42,35--41,35--52,38--44,39--51,43--48,45--50,46--49,46--53,47--50,51--52
0--2,0--21,0--30,1--11,1--14,1--45,2--27,2--32,3--4,3--25,3--45,4--13,4--50,5--14,5--24,5--42,6--22,6--38,6--51,7--10,7--42,7--48,8--9,8--21,8--36,9--38,9--50,10--28,10--52,11--47,11--53,12--33,12--43,12--53,13--19,13--40,14--51,15--17,15--26,15--40,16--29,16--46,16--49,17--30,17--35,18--19,18--40,18--47,19--50,20--31,20--33,20--39,21--28,22--23,22--35,23--42,23--47,24--39,24--46,25--36,25--43,26--27,26--46,27--48,28--34,29--32,29--48,30--44,31--38,31--53,32--36,33--41,34--37,34--41,35--52,37--45,37--49,39--44,41--52,43--51,44--49
0--31,0--37,0--46,1--15,1--21,1--23,2--4,2--11,2--16,3--35,3--39,3--46,4--33,4--45,5--33,5--35,5--40,6--8,6--9,6--53,7--13,7--24,7--49,8--28,8--47,9--16,9--51,10--20,10--31,10--41,11--13,11--26,12--17,12--36,12--44,13--51,14--38,14--42,14--45,15--20,15--42,16--23,17--49,17--50,18--34,18--37,18--40,19--43,19--45,19--49,20--21,21--35,22--38,22--47,22--52,23--41,24--29,24--50,25--30,25--32,25--34,26--36,26--43,27--34,27--37,27--39,28--30,28--51,29--33,29--36,30--32,31--53,32--48,38--47,39--44,40--46,41--42,43--52,44--52,48--50,48--53
0--25,0--33,0--49,1--7,1--13,1--32,2--19,2--32,2--44,3--5,3--31,3--53,4--24,4--47,4--51,5--19,5--30,6--17,6--38,6--48,7--11,7--43,8--16,8--31,8--52,9--26,9--29,9--37,10--25,10--39,10--41,11--14,11--36,12--20,12--23,12--34,13--14,13--45,14--53,15--18,15--28,15--35,16--31,16--38,17--22,17--26,18--21,18--38,19--46,20--46,20--48,21--34,21--40,22--24,22--44,23--42,23--43,24--28,25--45,26--29,27--39,27--41,27--49,28--46,29--37,30--40,30--47,32--51,33--43,33--51,34--52,35--42,35--47,36--39,36--42,37--44,40--41,45--50,48--50,49--50,52--53
0--1,0--16,0--31,1--12,1--23,2--24,2--38,2--48,3--26,3--27,3--53,4--6,4--33,4--35,5--8,5--25,5--53,6--29,6--49,7--18,7--37,7--46,8--11,8--30,9--11,9--14,9--19,10--28,10--34,10--44,11--30,12--38,12--43,13--15,13--37,13--49,14--15,14--40,15--21,16--24,16--31,17--31,17--42,17--52,18--39,18--47,19--28,19--35,20--26,20--35,20--44,21--38,21--40,22--39,22--51,22--52,23--39,23--51,24--33,25--34,25--50,26--41,27--40,27--45,28--53,29--37,29--45,30--48,32--36,32--48,32--52,33--50,34--44,36--42,36--45,41--46,41--47,42--49,43--46,43--50,47--51
0--29,0--48,0--50,1--22,1--28,1--37,2--35,2--44,2--53,3--9,3--31,3--52,4--24,4--47,4--49,5--23,5--32,5--50,6--14,6--27,6--34,7--11,7--15,7--30,8--18,8--42,8--45,9--12,9--44,10--26,10--27,10--29,11--13,11--18,12--31,12--40,13--19,13--51,14--22,14--34,15--28,15--32,16--17,16--22,16--53,17--20,17--39,18--36,19--43,19--52,20--33,20--38,21--25,21--30,21--48,23--38,23--46,24--36,24--40,25--33,25--35,26--30,26--48,27--44,28--49,29--49,31--42,32--52,33--37,34--51,35--41,36--45,37--43,38--47,39--42,39--46,40--51,41--46,41--50,43--47,45--53
0--10,0--20,0--41,1--2,1--24,1--38,2--35,2--36,3--9,3--35,3--47,4--5,4--40,4--48,5--46,5--53,6--26,6--43,6--47,7--8,7--28,7--53,8--9,8--29,9--31,10--23,10--50,11--30,11--37,11--52,12--13,12--39,12--40,13--35,13--53,14--26,14--45,14--48,15--29,15--38,15--51,16--20,16--24,16--44,17--21,17--44,17--50,18--19,18--42,18--46,19--22,19--48,20--27,21--29,21--40,22--41,22--43,23--25,23--27,24--46,25--44,25--51,26--41,27--47,28--36,28--49,30--33,30--38,31--39,31--42,32--33,32--37,32--45,33--34,34--45,34--52,36--49,37--51,39--49,42--43,50--52
0--2,0--33,0--46,1--10,1--37,1--50,2--6,2--31,3--18,3--23,3--29,4--23,4--37,4--41,5--30,5--40,5--51,6--33,6--48,7--8,7--10,7--45,8--14,8--26,9--16,9--19,9--24,10--53,11--12,11--36,11--42,12--39,12--52,13--21,13--22,13--53,14--16,14--27,15--18,15--19,15--30,16--27,17--31,17--35,17--46,18--36,19--53,20--37,20--39,20--41,21--29,21--47,22--32,22--44,23--32,24--31,24--51,25--28,25--32,25--42,26--35,26--40,27--49,28--48,28--51,29--49,30--52,33--44,34--43,34--47,34--50,35--43,36--43,38--46,38--47,38--50,39--44,40--45,41--42,45--52,48--49
0--5,0--9,0--46,1--31,1--37,1--44,2--4,2--24,2--38,3--19,3--38,3--39,4--12,4--44,5--40,5--52,6--7,6--11,6--37,7--13,7--28,8--15,8--47,8--50,9--28,9--51,10--23,10--29,10--45,11--29,11--36,12--20,12--51,13--16,13--18,14--16,14--23,14--52,15--18,15--31,16--35,17--32,17--34,17--52,18--50,19--31,19--49,20--23,20--43,21--32,21--39,21--45,22--30,22--42,22--53,24--34,24--53,25--26,25--30,25--47,26--27,26--43,27--42,27--46,28--33,29--35,30--49,32--41,33--41,33--48,34--45,35--48,36--39,36--44,37--50,38--43,40--41,40--47,42--49,46--48,51--53
0--19,0--35,0--45,1--25,1--38,1--51,2--3,2--36,2--50,3--9,3--21,4--27,4--32,4--45,5--12,5--29,5--34,6--11,6--26,6--32,7--19,7--23,7--39,8--10,8--14,8--33,9--29,9--34,10--16,10--47,11--41,11--46,12--14,12--41,13--18,13--31,13--43,14--22,15--16,15--24,15--33,16--42,17--38,17--42,17--52,18--30,18--48,19--28,20--23,20--30,20--53,21--49,21--50,22--44,22--45,23--44,24--39,24--42,25--28,25--32,26--30,26--34,27--28,27--53,29--31,31--39,33--52,35--40,35--51,36--37,36--44,37--47,37--52,38--46,40--43,40--50,41--48,43--49,46--47,48--51,49--53
0--5,0--15,0--49,1--28,1--32,1--38,2--5,2--38,2--53,3--35,3--37,3--51,4--10,4--21,4--44,5--24,6--12,6--15,6--23,7--13,7--16,7--41,8--22,8--42,8--52,9--14,9--19,9--52,10--25,10--34,11--25,11--33,11--47,12--14,12--51,13--48,13--50,14--33,15--43,16--17,16--42,17--24,17--40,18--19,18--36,18--51,19--45,20--25,20--36,20--50,21--22,21--31,22--34,23--45,23--47,24--35,26--41,26--48,26--53,27--30,27--33,27--34,28--46,28--48,29--42,29--46,29--50,30--39,30--44,31--38,31--43,32--45,32--46,35--43,36--39,37--47,37--49,39--44,40--41,40--53,49--52
0--17,0--28,0--46,1--16,1--24,1--40,2--7,2--8,2--53,3--26,3--34,3--41,4--6,4--28,4--43,5--19,5--26,5--33,6--38,6--40,7--14,7--30,8--21,8--37,9--18,9--35,9--51,10--20,10--26,10--38,11--21,11--47,11--51,12--15,12--25,12--51,13--32,13--33,13--44,14--19,14--47,15--17,15--35,16--24,16--29,17--32,18--28,18--37,19--43,20--45,20--46,21--53,22--36,22--42,22--50,23--30,23--34,23--44,24--27,25--31,25--48,27--34,27--48,29--48,29--49,30--42,31--38,31--39,32--39,33--42,35--50,36--44,36--49,37--52,39--45,40--52,41--45,41--53,43--49,46--50,47--52
0--27,0--33,0--46,1--13,1--23,1--44,2--14,2--33,2--45,3--14,3--29,3--52,4--8,4--18,4--43,5--19,5--32,5--37,6--7,6--16,6--22,7--34,7--44,8--10,8--53,9--12,9--17,9--18,10--25,10--38,11--22,11--29,11--46,12--38,12--40,13--17,13--27,14--23,15--20,15--36,15--42,16--24,16--30,17--42,18--39,19--23,19--31,20--31,20--37,21--35,21--43,21--51,22--41,24--47,24--49,25--29,25--48,26--39,26--43,26--45,27--35,28--30,28--40,28--47,30--37,31--52,32--40,32--42,33--49,34--41,34--51,35--38,36--47,36--49,39--50,41--48,44--50,45--51,46--52,48--53,50--53
0--2,0--42,0--48,1--7,1--19,1--51,2--34,2--49,3--32,3--42,3--53,4--38,4--41,4--45,5--26,5--33,5--34,6--16,6--24,6--52,7--18,7--36,8--17,8--22,8--35,9--28,9--36,9--44,10--13,10--29,10--49,11--20,11--23,11--25,12--21,12--34,12--44,13--26,13--48,14--39,14--40,14--46,15--35,15--49,15--53,16--31,16--52,17--31,17--46,18--42,18--48,19--28,19--29,20--50,20--51,21--24,21--47,22--23,22--43,23--30,24--47,25--30,25--51,26--46,27--28,27--41,27--52,29--35,30--45,31--45,32--36,32--38,33--37,33--50,37--40,37--50,38--39,39--44,40--47,41--43,43--53
0--12,0--13,0--38,1--5,1--16,1--17,2--3,2--25,2--41,3--24,3--32,4--14,4--33,4--35,5--9,5--41,6--17,6--25,6--33,7--10,7--13,7--25,8--26,8--35,8--48,9--19,9--37,10--31,10--45,11--19,11--49,11--52,12--28,12--44,13--40,14--35,14--46,15--16,15--18,15--27,16--38,17--39,18--36,18--51,19--53,20--36,20--38,20--47,21--22,21--26,21--30,22--48,22--51,23--47,23--48,23--49,24--30,24--32,26--33,27--29,27--31,28--29,28--52,29--50,30--53,31--42,32--51,34--42,34--44,34--50,36--45,37--39,37--45,39--40,40--47,41--53,42--43,43--44,43--46,46--50,49--52
0--29,0--42,0--47,1--19,1--32,1--51,2--7,2--25,2--35,3--14,3--20,3--21,4--32,4--34,4--37,5--35,5--38,5--49,6--12,6--14,6--38,7--24,7--28,8--16,8--23,8--42,9--10,9--43,9--51,10--15,10--44,11--25,11--32,11--40,12--34,12--36,13--18,13--38,13--48,14--52,15--20,15--45,16--22,16--43,17--23,17--30,17--40,18--42,18--46,19--26,19--44,20--41,21--47,21--48,22--41,22--47,23--28,24--27,24--33,25--39,26--49,26--52,27--45,27--49,28--31,29--39,29--50,30--41,30--48,31--33,31--53,33--36,34--46,35--53,36--37,37--39,40--46,43--44,45--50,50--51,52--53
0--20,0--32,0--44,1--10,1--24,1--51,2--11,2--40,2--43,3--5,3--19,3--35,4--18,4--32,4--37,5--6,5--29,6--11,6--39,7--16,7--44,7--51,8--37,8--45,8--49,9--24,9--25,9--34,10--35,10--40,11--52,12--34,12--35,12--37,13--17,13--47,13--48,14--16,14--42,14--51,15--26,15--43,15--46,16--36,17--31,17--36,18--27,18--44,19--20,19--24,20--50,21--33,21--38,21--49,22--23,22--30,22--53,23--29,23--53,25--39,25--48,26--28,26--46,27--33,27--52,28--34,28--50,29--39,30--33,30--48,31--42,31--43,32--40,36--52,38--47,38--53,41--45,41--46,41--47,42--49,45--50
0--43,0--47,0--50,1--11,1--12,1--52,2--6,2--36,2--49,3--5,3--29,3--41,4--20,4--27,4--35,5--13,5--51,6--10,6--25,7--8,7--26,7--32,8--29,8--52,9--12,9--19,9--32,10--27,10--28,11--22,11--47,12--48,13--47,13--50,14--23,14--35,14--46,15--16,15--24,15--51,16--33,16--37,17--22,17--30,17--35,18--46,18--48,18--49,19--40,19--45,20--39,20--40,21--23,21--36,21--37,22--26,23--38,24--45,24--53,25--43,25--44,26--28,27--30,28--46,29--39,30--34,31--42,31--51,31--52,32--34,33--36,33--49,34--53,37--45,38--41,38--53,39--44,40--50,41--48,42--43,42--44
0--5,0--34,0--36,1--8,1--33,1--42,2--6,2--39,2--49,3--6,3--36,3--48,4--7,4--21,4--51,5--30,5--46,6--13,7--37,7--53,8--11,8--34,9--24,9--35,9--48,10--13,10--24,10--25,11--17,11--20,12--37,12--45,12--52,13--46,14--15,14--30,14--32,15--31,15--40,16--41,16--47,16--52,17--19,17--33,18--21,18--23,18--36,19--28,19--32,20--26,20--43,21--44,22--31,22--39,22--43,23--44,23--50,24--27,25--35,25--52,26--32,26--50,27--29,27--47,28--38,28--39,29--45,29--49,30--40,31--35,33--49,34--44,37--42,38--40,38--41,41--47,42--51,43--53,45--48,46--53,50--51
0--8,0--21,0--40,1--4,1--42,1--44,2--13,2--16,2--50,3--12,3--13,3--33,4--11,4--28,5--34,5--38,5--52,6--25,6--30,6--50,7--10,7--26,7--51,8--16,8--39,9--21,9--28,9--48,10--18,10--27,11--14,11--33,12--29,12--40,13--53,14--29,14--44,15--18,15--27,15--34,16--18,17--31,17--47,17--50,19--24,19--31,19--43,20--26,20--35,20--51,21--51,22--28,22--37,22--49,23--38,23--44,23--45,24--30,24--46,25--42,25--43,26--33,27--34,29--38,30--36,31--49,32--45,32--47,32--52,35--41,35--48,36--37,36--40,37--43,39--41,39--47,41--52,42--46,45--48,46--53,49--53
0--13,0--36,0--44,1--23,1--30,1--36,2--4,2--14,2--49,3--19,3--41,3--43,4--5,4--21,5--39,5--49,6--19,6--26,6--33,7--14,7--32,7--41,8--22,8--27,8--37,9--17,9--52,9--53,10--18,10--23,10--25,11--20,11--28,11--50,12--22,12--32,12--45,13--29,13--31,14--15,15--28,15--32,16--30,16--45,16--51,17--20,17--38,18--40,18--44,19--34,20--43,21--23,21--31,22--50,24--29,24--51,24--53,25--34,25--42,26--41,26--47,27--35,27--45,28--38,29--35,30--48,31--35,33--42,33--47,34--48,36--53,37--47,37--49,38--44,39--43,39--51,40--46,40--52,42--50,46--48,46--52
0--13,0--22,0--35,1--14,1--31,1--35,2--17,2--24,2--25,3--16,3--25,3--51,4--28,4--39,4--42,5--11,5--16,5--47,6--14,6--18,6--27,7--19,7--32,7--46,8--18,8--21,8--38,9--29,9--37,9--49,10--31,10--42,10--45,11--35,11--36,12--28,12--33,12--40,13--20,13--41,14--15,15--36,15--44,16--49,17--27,17--29,18--48,19--21,19--29,20--22,20--50,21--48,22--40,23--39,23--41,23--53,24--43,24--47,25--38,26--34,26--37,26--52,27--30,28--51,30--34,30--44,31--51,32--47,32--48,33--34,33--45,36--40,37--52,38--50,39--41,42--50,43--46,43--49,44--53,45--52,46--53
0--25,0--43,0--52,1--23,1--37,1--41,2--6,2--35,2--46,3--13,3--17,3--38,4--35,4--46,4--52,5--18,5--42,5--45,6--40,6--44,7--16,7--33,7--49,8--9,8--15,8--29,9--28,9--40,10--12,10--33,10--35,11--27,11--31,11--32,12--38,12--41,13--19,13--21,14--25,14--31,14--53,15--36,15--44,16--44,16--50,17--18,17--26,18--46,19--20,19--52,20--37,20--39,21--28,21--39,22--23,22--26,22--45,23--29,24--27,24--30,24--34,25--29,26--38,27--31,28--40,30--51,30--53,32--43,32--50,33--42,34--42,34--48,36--37,36--49,39--43,41--47,45--47,47--51,48--49,48--51,50--53
0--1,0--40,0--43,1--3,1--28,2--31,2--35,2--53,3--17,3--27,4--34,4--41,4--53,5--10,5--44,5--52,6--16,6--19,6--21,7--23,7--26,7--43,8--11,8--16,8--51,9--21,9--32,9--51,10--14,10--27,11--40,11--50,12--26,12--46,12--48,13--19,13--26,13--45,14--15,14--24,15--22,15--36,16--28,17--25,17--29,18--19,18--34,18--39,20--32,20--39,20--47,21--50,22--37,22--41,23--27,23--49,24--29,24--34,25--33,25--43,28--35,29--38,30--35,30--37,30--52,31--32,31--44,33--46,33--47,36--49,36--51,37--38,38--45,39--47,40--50,41--42,42--46,42--48,44--45,48--52,49--53
0--18,0--32,0--45,1--29,1--44,1--52,2--30,2--42,2--49,3--9,3--17,3--27,4--19,4--26,4--51,5--15,5--31,5--41,6--19,6--23,6--48,7--21,7--46,7--50,8--10,8--21,8--45,9--14,9--40,10--33,10--36,11--24,11--42,11--47,12--24,12--34,12--48,13--23,13--32,13--53,14--15,14--38,15--37,16--33,16--37,16--43,17--26,17--44,18--40,18--46,19--24,20--25,20--38,20--50,21--39,22--28,22--32,22--39,23--35,25--29,25--51,26--35,27--28,27--43,28--49,29--31,30--31,30--38,33--34,34--41,35--37,36--42,36--48,39--52,40--53,41--47,43--53,44--50,45--46,47--49,51--52
0--24,0--25,0--30,1--29,1--31,1--53,2--32,2--39,2--44,3--6,3--12,3--16,4--18,4--31,4--51,5--8,5--13,5--47,6--41,6--43,7--13,7--30,7--35,8--17,8--21,9--10,9--35,9--40,10--28,10--39,11--15,11--22,11--51,12--23,12--46,13--48,14--38,14--50,14--53,15--21,15--42,16--17,16--44,17--33,18--20,18--25,19--20,19--32,19--33,20--48,21--49,22--29,22--36,23--36,23--49,24--42,24--45,25--47,26--33,26--37,26--43,27--40,27--41,27--48,28--43,28--45,29--46,30--31,32--34,34--44,34--52,35--36,37--39,37--50,38--40,38--52,41--50,42--46,45--49,47--51,52--53
0--10,0--25,0--32,1--14,1--19,1--22,2--7,2--33,2--39,3--10,3--25,3--49,4--17,4--29,4--47,5--19,5--22,5--51,6--21,6--39,6--47,7--8,7--53,8--31,8--41,9--13,9--15,9--26,10--44,11--18,11--43,11--46,12--15,12--31,12--53,13--28,13--30,14--16,14--24,15--25,16--37,16--47,17--26,17--37,18--49,18--50,19--27,20--21,20--43,20--45,21--52,22--35,23--28,23--35,23--41,24--31,24--50,26--36,27--32,27--42,28--45,29--30,29--37,30--38,32--46,33--40,33--46,34--42,34--48,34--53,35--44,36--51,36--52,38--41,38--48,39--48,40--44,40--45,42--51,43--52,49--50
0--7,0--30,0--43,1--5,1--16,1--24,2--4,2--5,2--26,3--14,3--17,3--26,4--15,4--47,5--43,6--9,6--15,6--51,7--16,7--42,8--13,8--17,8--48,9--51,9--53,10--14,10--24,10--30,11--27,11--36,11--38,12--40,12--48,12--50,13--18,13--19,14--28,15--50,16--18,17--21,18--37,19--36,19--38,20--28,20--36,20--42,21--30,21--48,22--29,22--47,22--49,23--37,23--44,23--50,24--25,25--34,25--39,26--45,27--44,27--49,28--43,29--34,29--52,31--40,31--52,31--53,32--35,32--42,32--53,33--39,33--45,33--46,34--37,35--46,35--49,38--52,39--41,40--44,41--46,41--47,45--51
0--7,0--12,0--40,1--25,1--26,1--47,2--9,2--31,2--45,3--11,3--20,3--24,4--24,4--30,4--40,5--21,5--38,5--49,6--22,6--28,6--52,7--11,7--16,8--10,8--25,8--28,9--11,9--39,10--15,10--33,12--22,12--36,13--34,13--43,13--48,14--18,14--29,14--50,15--21,15--41,16--37,16--39,17--23,17--39,17--46,18--42,18--49,19--37,19--41,19--53,20--43,20--49,21--36,22--42,23--40,23--45,24--51,25--31,26--42,26--47,27--43,27--44,27--46,28--51,29--44,29--53,30--33,30--35,31--46,32--37,32--44,32--50,33--51,34--38,34--48,35--45,35--52,36--53,38--48,41--47,50--52
