0--10,0--32,0--38,0--42,1--19,1--39,1--46,1--50,2--9,2--21,2--41,2--47,3--5,3--18,3--36,3--39,4--7,4--10,4--31,4--45,5--33,5--43,5--49,6--19,6--26,6--30,6--44,7--25,7--31,7--51,8--10,8--13,8--30,8--53,9--11,9--13,9--48,10--52,11--22,11--33,11--52,12--15,12--20,12--37,12--39,13--29,13--41,14--18,14--24,14--31,14--43,15--17,15--29,15--32,16--44,16--46,16--49,16--53,17--22,17--28,17--34,18--25,18--36,19--35,19--44,20--25,20--27,20--36,21--22,21--42,21--43,22--41,23--27,23--33,23--34,23--44,24--38,24--50,24--52,25--29,26--27,26--47,26--50,27--40,28--41,28--42,28--49,29--30,30--35,31--52,32--35,32--50,33--51,34--37,34--47,35--48,36--45,37--45,37--47,38--40,38--45,39--40,40--48,42--46,43--53,46--51,48--51,49--53
0--20,0--31,0--44,0--53,1--21,1--24,1--34,1--38,2--18,2--23,2--30,2--46,3--9,3--26,3--32,3--52,4--5,4--15,4--17,4--22,5--34,5--38,5--45,6--28,6--37,6--43,6--53,7--11,7--39,7--41,7--45,8--18,8--42,8--46,8--47,9--32,9--47,9--49,10--14,10--28,10--31,10--43,11--17,11--19,11--26,12--33,12--35,12--40,12--51,13--25,13--39,13--44,13--51,14--33,14--43,14--47,15--22,15--40,15--50,16--27,16--33,16--39,16--41,17--44,17--53,18--22,18--27,19--30,19--35,19--49,20--24,20--41,20--47,21--26,21--35,21--52,22--37,23--24,23--29,23--34,24--36,25--30,25--43,25--50,26--32,27--45,27--52,28--46,28--50,29--32,29--40,29--45,30--51,31--34,31--51,33--40,35--46,36--37,36--38,36--48,37--48,38--48,39--42,41--49,42--49,42--50,44--48,52--53
0--1,0--4,0--23,0--30,1--7,1--30,1--37,2--16,2--27,2--39,2--40,3--9,3--13,3--25,3--48,4--8,4--17,4--21,5--6,5--25,5--28,5--42,6--20,6--30,6--31,7--15,7--37,7--47,8--9,8--32,8--48,9--43,9--49,10--19,10--24,10--37,10--43,11--13,11--41,11--46,11--49,12--22,12--33,12--50,12--51,13--24,13--36,14--29,14--39,14--51,14--52,15--37,15--38,15--48,16--23,16--27,16--45,17--36,17--46,17--51,18--19,18--34,18--40,18--52,19--25,19--40,20--28,20--31,20--34,21--29,21--42,21--50,22--29,22--36,22--38,23--39,23--44,24--41,24--50,25--44,26--27,26--43,26--44,26--49,27--47,28--35,28--43,29--32,30--33,31--46,31--47,32--49,32--51,33--34,33--39,34--45,35--42,35--48,35--52,36--53,38--45,38--53,40--47,41--42,41--52,44--53,45--50,46--53
0--22,0--38,0--43,0--51,1--3,1--7,1--17,1--30,2--8,2--14,2--16,2--41,3--18,3--21,3--42,4--16,4--27,4--36,4--38,5--11,5--24,5--33,5--41,6--8,6--23,6--42,6--47,7--10,7--30,7--34,8--28,8--50,9--25,9--30,9--37,9--52,10--19,10--43,10--53,11--17,11--27,11--37,12--23,12--40,12--42,12--49,13--33,13--44,13--47,13--49,14--35,14--36,14--43,15--18,15--25,15--41,15--46,16--45,16--48,17--34,17--50,18--42,18--51,19--28,19--36,19--40,20--25,20--28,20--44,20--51,21--26,21--37,21--39,22--25,22--38,22--53,23--31,23--41,24--48,24--49,24--51,26--32,26--34,26--52,27--48,27--53,28--29,29--37,29--44,29--47,30--39,31--33,31--34,31--45,32--39,32--40,32--45,33--38,35--43,35--46,35--52,36--45,39--46,40--46,44--49,47--50,48--50,52--53
0--16,0--20,0--22,0--52,1--6,1--23,1--40,1--44,2--19,2--29,2--39,2--49,3--9,3--18,3--50,3--51,4--7,4--15,4--16,4--20,5--24,5--42,5--45,5--51,6--25,6--40,6--47,7--23,7--30,7--40,8--12,8--33,8--36,8--43,9--14,9--25,9--41,10--22,10--31,10--35,10--49,11--19,11--21,11--29,11--31,12--16,12--27,12--40,13--30,13--32,13--36,13--41,14--15,14--35,14--37,15--47,15--48,16--25,17--19,17--24,17--45,17--52,18--32,18--33,18--37,19--39,20--51,20--53,21--26,21--27,21--37,22--34,22--49,23--46,23--48,24--38,24--53,25--52,26--32,26--43,26--48,27--31,27--45,28--30,28--42,28--44,28--46,29--32,29--48,30--47,31--33,33--47,34--41,34--44,34--53,35--36,35--52,36--42,37--43,38--44,38--50,38--51,39--43,39--50,41--46,42--53,45--49,46--50
0--3,0--20,0--35,0--42,1--7,1--25,1--41,1--48,2--14,2--26,2--34,2--50,3--13,3--16,3--17,4--5,4--23,4--32,4--53,5--22,5--28,5--42,6--11,6--19,6--27,6--28,7--46,7--49,7--53,8--13,8--29,8--45,8--50,9--43,9--44,9--48,9--50,10--15,10--31,10--36,10--38,11--12,11--37,11--43,12--13,12--41,12--43,13--22,14--24,14--38,14--49,15--17,15--42,15--45,16--27,16--51,16--52,17--32,17--39,18--24,18--34,18--44,18--47,19--21,19--46,19--53,20--31,20--35,20--51,21--25,21--33,21--47,22--27,22--47,23--35,23--36,23--39,24--27,24--30,25--28,25--33,26--36,26--43,26--45,28--40,29--46,29--50,29--52,30--40,30--41,30--51,31--42,31--46,32--38,32--39,33--37,33--52,34--36,34--48,35--47,37--48,37--53,38--49,39--44,40--45,40--52,41--49,44--51
0--10,0--30,0--39,0--46,1--8,1--41,1--44,1--45,2--6,2--35,2--40,2--44,3--5,3--15,3--38,3--41,4--5,4--17,4--21,4--51,5--11,5--39,6--7,6--11,6--45,7--22,7--34,7--47,8--16,8--18,8--31,9--13,9--31,9--36,9--53,10--37,10--38,10--53,11--14,11--24,12--14,12--20,12--26,12--42,13--24,13--29,13--37,14--36,14--53,15--33,15--43,15--52,16--17,16--33,16--34,17--27,17--28,18--29,18--48,18--50,19--28,19--31,19--41,19--47,20--46,20--51,20--53,21--26,21--36,21--39,22--38,22--39,22--45,23--25,23--42,23--49,23--51,24--43,24--44,25--33,25--44,25--50,26--30,26--49,27--30,27--46,27--52,28--32,28--45,29--40,29--42,30--51,31--50,32--35,32--43,32--49,33--48,34--40,34--52,35--43,35--48,36--37,37--46,38--47,40--50,41--48,42--52,47--49
0--7,0--18,0--22,0--40,1--2,1--13,1--43,1--45,2--17,2--24,2--37,3--13,3--27,3--35,3--39,4--6,4--15,4--34,4--48,5--12,5--15,5--22,5--39,6--8,6--31,6--45,7--25,7--26,7--44,8--12,8--24,8--44,9--19,9--32,9--33,9--38,10--21,10--31,10--46,10--47,11--18,11--22,11--35,11--43,12--32,12--43,13--17,13--32,14--19,14--23,14--42,14--49,15--16,15--19,16--42,16--43,16--45,17--23,17--41,18--20,18--49,19--50,20--28,20--34,20--47,21--24,21--25,21--34,22--27,23--26,23--44,24--49,25--33,25--52,26--48,26--53,27--36,27--46,28--32,28--36,28--41,29--31,29--36,29--44,29--53,30--39,30--40,30--50,30--51,31--37,33--37,33--51,34--48,35--38,35--50,36--47,37--52,38--41,38--52,39--46,40--42,40--48,41--51,42--50,45--49,46--53,47--53,51--52
0--6,0--9,0--12,0--29,1--4,1--12,1--22,1--45,2--19,2--25,2--38,2--50,3--5,3--30,3--42,3--52,4--18,4--34,4--41,5--7,5--19,5--22,6--13,6--15,6--27,7--8,7--35,7--43,8--16,8--28,8--50,9--17,9--18,9--37,10--13,10--32,10--39,10--48,11--15,11--23,11--24,11--53,12--24,12--35,13--14,13--37,14--27,14--48,14--53,15--19,15--30,16--20,16--29,16--53,17--23,17--28,17--31,18--47,18--50,19--43,20--32,20--45,20--48,21--23,21--31,21--38,21--46,22--31,22--36,23--46,24--41,24--46,25--34,25--47,25--53,26--29,26--44,26--48,26--51,27--32,27--33,28--36,28--51,29--39,30--42,30--49,31--42,32--33,33--37,33--49,34--39,34--45,35--41,35--52,36--44,36--52,37--51,38--43,38--44,39--47,40--44,40--45,40--49,40--51,41--50,42--49,43--46,47--52
0--17,0--22,0--36,0--48,1--3,1--13,1--25,1--49,2--9,2--23,2--31,2--41,3--6,3--26,3--47,4--13,4--27,4--29,4--34,5--10,5--17,5--25,5--30,6--10,6--19,6--43,7--19,7--25,7--41,7--52,8--14,8--15,8--34,8--41,9--19,9--32,9--45,10--50,10--52,11--12,11--37,11--38,11--44,12--26,12--43,12--52,13--23,13--29,14--17,14--30,14--34,15--28,15--29,15--36,16--22,16--38,16--42,16--51,17--24,18--32,18--40,18--45,18--51,19--42,20--25,20--38,20--46,20--48,21--24,21--42,21--48,21--51,22--44,22--48,23--30,23--50,24--32,24--33,26--32,26--50,27--36,27--37,27--49,28--33,28--39,28--46,29--31,30--45,31--40,31--53,33--35,33--44,34--37,35--39,35--44,35--45,36--38,37--46,39--40,39--47,40--49,41--43,42--49,43--53,46--51,47--52,47--53,50--53
0--16,0--40,0--41,0--53,1--18,1--26,1--37,1--53,2--13,2--17,2--44,2--51,3--17,3--22,3--41,3--51,4--8,4--11,4--20,4--43,5--10,5--21,5--23,5--32,6--18,6--20,6--35,6--43,7--19,7--24,7--34,7--42,8--30,8--36,8--41,9--12,9--26,9--34,9--44,10--24,10--33,10--35,11--13,11--30,11--39,12--15,12--25,12--48,13--20,13--34,14--18,14--25,14--31,14--52,15--22,15--47,15--51,16--24,16--28,16--45,17--28,17--44,18--26,19--29,19--31,19--32,20--35,21--41,21--45,21--53,22--23,22--27,23--37,23--45,24--38,25--38,25--47,26--37,27--29,27--38,27--42,28--33,28--51,29--50,29--53,30--47,30--48,31--36,31--42,32--36,32--49,33--40,33--45,34--49,35--42,36--50,37--46,38--43,39--40,39--46,39--49,40--46,43--52,44--52,46--50,47--50,48--49,48--52
0--12,0--19,0--26,0--29,1--13,1--22,1--35,1--37,2--11,2--18,2--26,2--39,3--8,3--14,3--45,3--46,4--15,4--16,4--20,4--43,5--32,5--39,5--44,5--45,6--23,6--27,6--43,6--47,7--19,7--24,7--35,7--53,8--20,8--33,8--35,9--11,9--12,9--21,9--50,10--13,10--17,10--25,10--34,11--51,11--53,12--32,12--40,13--33,13--36,14--27,14--33,14--40,15--17,15--20,15--41,16--23,16--28,16--38,17--25,17--30,18--31,18--32,18--52,19--37,19--41,20--30,21--23,21--39,21--40,22--34,22--42,22--44,23--36,24--25,24--29,24--40,25--44,26--35,26--50,27--42,27--43,28--34,28--46,28--48,29--37,29--52,30--51,30--52,31--38,31--48,31--53,32--43,33--51,34--47,36--47,36--50,37--39,38--41,38--52,41--49,42--46,42--53,44--49,45--49,45--50,46--48,47--48,49--51
0--22,0--43,0--45,0--53,1--9,1--11,1--19,1--24,2--5,2--21,2--35,2--47,3--18,3--32,3--34,3--51,4--8,4--18,4--40,4--49,5--12,5--38,5--47,6--16,6--27,6--35,6--44,7--16,7--21,7--32,7--45,8--38,8--41,8--51,9--11,9--49,9--52,10--11,10--24,10--29,10--30,11--31,12--22,12--48,12--50,13--14,13--24,13--28,13--37,14--22,14--30,14--37,15--35,15--39,15--42,15--43,16--37,16--49,17--33,17--35,17--42,17--43,18--20,18--38,19--25,19--40,19--44,20--28,20--46,20--51,21--23,21--53,22--34,23--33,23--34,23--40,24--29,25--41,25--42,25--46,26--31,26--36,26--44,26--48,27--28,27--36,27--38,28--31,29--42,29--50,30--46,30--52,31--50,32--36,32--51,33--48,33--49,34--39,36--53,37--52,39--45,39--48,40--44,41--46,41--52,43--45,47--50,47--53
0--3,0--12,0--15,0--21,1--9,1--22,1--28,1--38,2--28,2--46,2--47,2--53,3--9,3--13,3--19,4--11,4--45,4--49,4--53,5--31,5--38,5--44,5--53,6--19,6--29,6--51,6--52,7--11,7--28,7--44,7--50,8--17,8--34,8--37,8--41,9--18,9--26,10--25,10--40,10--48,10--50,11--26,11--33,12--15,12--36,12--38,13--42,13--46,13--47,14--19,14--22,14--48,14--52,15--32,15--37,16--27,16--40,16--41,16--47,17--25,17--36,17--39,18--23,18--30,18--49,19--27,20--39,20--42,20--43,20--50,21--35,21--39,21--48,22--25,22--32,23--26,23--34,23--36,24--32,24--45,24--46,24--51,25--30,26--45,27--42,27--43,28--38,29--41,29--44,29--46,30--33,30--35,31--40,31--43,31--50,32--33,33--35,34--41,34--51,35--37,36--48,37--39,40--42,43--44,45--51,47--52,49--52,49--53
0--21,0--28,0--29,0--30,1--22,1--32,1--37,1--45,2--5,2--18,2--34,2--51,3--7,3--11,3--40,3--44,4--9,4--14,4--22,4--45,5--13,5--31,5--36,6--7,6--11,6--30,6--38,7--15,7--46,8--12,8--19,8--25,8--53,9--16,9--36,9--53,10--17,10--21,10--27,10--49,11--13,11--40,12--14,12--20,12--23,13--42,13--48,14--19,14--39,15--26,15--28,15--46,16--34,16--39,16--44,17--25,17--32,17--35,18--23,18--26,18--44,19--34,19--35,20--47,20--49,20--52,21--26,21--33,22--23,22--47,23--30,24--30,24--31,24--40,24--47,25--37,25--45,26--36,27--31,27--33,27--53,28--41,28--42,29--34,29--43,29--53,31--38,32--33,32--36,33--51,35--40,35--52,37--43,37--44,38--43,38--50,39--48,39--49,41--42,41--46,41--51,42--52,43--48,45--47,46--50,48--49,50--51,50--52
0--20,0--23,0--38,0--51,1--2,1--20,1--41,1--52,2--8,2--24,2--45,3--19,3--21,3--36,3--43,4--6,4--14,4--15,4--44,5--9,5--12,5--16,5--52,6--9,6--24,6--34,7--14,7--15,7--21,7--31,8--24,8--48,8--49,9--13,9--50,10--11,10--12,10--32,10--37,11--29,11--32,11--45,12--49,12--50,13--14,13--27,13--43,14--39,15--23,15--37,16--29,16--40,16--45,17--18,17--23,17--50,17--51,18--24,18--28,18--30,19--25,19--30,19--35,20--22,20--33,21--28,21--46,22--26,22--31,22--47,23--48,25--39,25--45,25--47,26--27,26--34,26--53,27--36,27--38,28--44,28--51,29--42,29--46,30--33,30--47,31--33,31--39,32--35,32--36,33--42,34--46,34--53,35--41,35--48,36--40,37--40,37--43,38--47,38--53,39--49,40--44,41--46,41--48,42--50,42--52,43--44,49--53,51--52
0--3,0--25,0--27,0--45,1--13,1--34,1--51,1--53,2--3,2--31,2--37,2--51,3--41,3--46,4--14,4--28,4--36,4--52,5--13,5--33,5--39,5--53,6--10,6--16,6--18,6--22,7--10,7--11,7--12,7--17,8--19,8--24,8--43,8--48,9--22,9--24,9--28,9--48,10--12,10--32,11--36,11--38,11--40,12--20,12--38,13--23,13--45,14--17,14--44,14--49,15--26,15--28,15--30,15--33,16--29,16--38,16--52,17--19,17--30,18--40,18--42,18--43,19--26,19--29,20--30,20--46,20--47,21--34,21--35,21--48,21--50,22--44,22--47,23--26,23--33,23--52,24--37,24--49,25--30,25--46,25--49,26--40,27--31,27--42,27--45,28--29,29--41,31--39,31--40,32--33,32--37,32--46,34--44,34--50,35--42,35--47,35--53,36--39,36--43,37--52,38--39,41--42,41--43,44--51,45--50,47--53,48--51,49--50
0--8,0--16,0--18,0--46,1--7,1--11,1--24,1--41,2--11,2--17,2--39,2--41,3--10,3--33,3--37,3--51,4--7,4--18,4--26,4--52,5--14,5--25,5--38,5--48,6--8,6--13,6--39,6--44,7--19,7--30,8--52,8--53,9--23,9--25,9--28,9--38,10--16,10--36,10--52,11--12,11--24,12--22,12--29,12--46,13--26,13--42,13--47,14--24,14--28,14--47,15--22,15--36,15--48,15--50,16--27,16--32,17--19,17--30,17--52,18--28,18--32,19--32,19--48,20--23,20--42,20--44,20--53,21--31,21--35,21--36,21--42,22--31,22--45,23--28,23--40,24--30,25--27,25--32,26--39,26--53,27--45,27--50,29--34,29--35,29--49,30--34,31--37,31--38,33--34,33--48,33--49,34--37,35--43,35--46,36--41,37--49,38--45,39--51,40--43,40--44,40--49,41--42,43--47,43--50,44--51,45--50,46--47,51--53
0--9,0--14,0--36,0--47,1--11,1--15,1--52,1--53,2--7,2--39,2--46,2--50,3--20,3--28,3--29,3--38,4--10,4--13,4--44,4--48,5--21,5--32,5--34,5--35,6--17,6--26,6--32,6--42,7--9,7--27,7--30,8--13,8--14,8--33,8--34,9--27,9--38,10--33,10--45,10--50,11--13,11--14,11--45,12--29,12--30,12--32,12--41,13--39,14--17,15--19,15--22,15--23,16--25,16--37,16--41,16--45,17--23,17--43,18--26,18--44,18--47,18--51,19--22,19--30,19--52,20--25,20--39,20--48,21--31,21--33,21--44,22--24,22--43,23--42,23--52,24--31,24--41,24--49,25--47,25--53,26--37,26--41,27--37,27--46,28--37,28--40,28--51,29--46,29--48,30--53,31--40,31--49,32--42,33--36,34--42,34--52,35--38,35--43,35--51,36--44,36--50,38--48,39--49,40--46,40--53,43--47,45--51,49--50
0--3,0--32,0--48,0--50,1--10,1--30,1--40,1--49,2--18,2--21,2--24,2--37,3--37,3--45,3--47,4--24,4--27,4--35,4--39,5--14,5--21,5--22,5--41,6--8,6--11,6--46,6--53,7--9,7--14,7--17,7--39,8--19,8--28,8--43,9--33,9--38,9--51,10--26,10--34,10--44,11--17,11--29,11--33,12--32,12--46,12--51,12--53,13--14,13--29,13--30,13--42,14--51,15--40,15--43,15--45,15--49,16--17,16--22,16--26,16--43,17--26,18--31,18--38,18--52,19--23,19--28,19--35,20--22,20--27,20--46,20--49,21--24,21--50,22--35,23--25,23--48,23--50,24--46,25--37,25--44,25--52,26--44,27--33,27--53,28--33,28--48,29--36,29--47,30--38,30--41,31--32,31--41,31--42,32--43,34--39,34--42,34--51,35--49,36--40,36--45,36--48,37--47,38--42,39--52,40--47,41--52,44--45,50--53
0--12,0--15,0--21,0--50,1--5,1--19,1--21,1--42,2--3,2--9,2--26,2--46,3--14,3--28,3--41,4--25,4--29,4--31,4--45,5--22,5--25,5--51,6--22,6--27,6--29,6--51,7--14,7--21,7--29,7--39,8--28,8--30,8--36,8--37,9--26,9--33,9--49,10--39,10--42,10--43,10--53,11--22,11--30,11--32,11--37,12--25,12--43,12--44,13--44,13--45,13--50,13--51,14--23,14--49,15--38,15--39,15--40,16--17,16--30,16--34,16--52,17--19,17--24,17--48,18--23,18--33,18--35,18--53,19--25,19--47,20--28,20--36,20--43,20--47,21--52,22--38,23--32,23--33,24--34,24--42,24--48,26--38,26--45,27--38,27--39,27--47,28--36,29--30,31--35,31--46,31--48,32--42,32--48,33--40,34--49,34--53,35--37,35--50,36--46,37--44,40--41,40--46,41--43,41--44,45--53,47--50,49--52,51--52
0--10,0--19,0--23,0--47,1--5,1--12,1--13,1--41,2--12,2--29,2--30,2--32,3--9,3--18,3--42,3--49,4--12,4--17,4--35,4--37,5--21,5--48,5--51,6--23,6--30,6--31,6--38,7--11,7--20,7--37,7--49,8--11,8--28,8--33,8--50,9--18,9--34,9--41,10--20,10--26,10--46,11--21,11--52,12--22,13--14,13--44,13--46,14--26,14--36,14--51,15--17,15--35,15--41,15--43,16--23,16--39,16--45,16--46,17--19,17--33,18--36,18--39,19--22,19--42,20--34,20--37,21--39,21--40,22--32,22--37,23--53,24--28,24--35,24--48,24--50,25--26,25--40,25--52,25--53,26--48,27--42,27--43,27--49,27--53,28--50,28--51,29--36,29--42,29--43,30--41,30--47,31--44,31--45,31--52,32--34,32--46,33--44,33--52,34--38,35--40,36--49,38--45,38--50,39--48,40--43,44--51,45--47,47--53
