0--3,0--8,0--16,0--27,1--23,1--27,1--28,1--32,2--14,2--15,2--25,2--30,3--10,3--19,3--30,4--10,4--18,4--22,4--28,5--19,5--22,5--23,5--33,6--7,6--21,6--29,6--32,7--18,7--29,7--31,8--10,8--13,8--14,9--21,9--22,9--25,9--26,10--31,11--13,11--15,11--17,11--33,12--15,12--16,12--25,12--28,13--20,13--33,14--20,14--26,15--22,16--21,16--32,17--19,17--23,17--25,18--24,18--31,19--29,20--26,20--27,21--26,23--28,24--27,24--32,24--33,29--30,30--31
0--14,0--22,0--25,0--29,1--14,1--21,1--31,1--33,2--19,2--27,2--28,2--29,3--5,3--6,3--12,3--24,4--16,4--19,4--27,4--32,5--8,5--15,5--28,6--7,6--20,6--30,7--13,7--18,7--32,8--9,8--21,8--31,9--13,9--19,9--23,10--14,10--15,10--16,10--29,11--17,11--25,11--26,11--31,12--21,12--22,12--30,13--15,13--23,14--20,15--16,16--33,17--28,17--32,17--33,18--24,18--26,18--33,19--20,20--32,21--31,22--23,22--29,23--30,24--25,24--27,25--27,26--28,26--30
0--2,0--8,0--12,0--16,1--10,1--20,1--26,1--32,2--4,2--12,2--30,3--5,3--21,3--31,3--32,4--11,4--16,4--18,5--17,5--18,5--22,6--9,6--11,6--20,6--28,7--9,7--15,7--24,7--30,8--10,8--25,8--32,9--23,9--25,10--19,10--23,11--13,11--29,12--22,12--24,13--14,13--19,13--30,14--15,14--16,14--17,15--21,15--29,16--23,17--28,17--33,18--21,18--32,19--23,19--27,20--27,20--29,21--31,22--26,22--31,24--27,24--33,25--28,25--33,26--29,26--30,27--33,28--31
0--3,0--6,0--9,0--15,1--9,1--18,1--23,1--32,2--3,2--8,2--25,2--29,3--24,3--30,4--5,4--9,4--17,4--21,5--27,5--30,5--31,6--10,6--18,6--23,7--15,7--16,7--28,7--31,8--18,8--26,8--27,9--26,10--12,10--20,10--24,11--15,11--20,11--24,11--29,12--19,12--22,12--32,13--19,13--26,13--28,13--33,14--16,14--19,14--21,14--29,15--17,16--17,16--21,17--30,18--32,19--25,20--22,20--27,21--22,22--28,23--31,23--33,24--25,25--33,26--29,27--33,28--32,30--31
0--5,0--9,0--14,0--15,1--2,1--6,1--8,1--11,2--4,2--7,2--14,3--15,3--18,3--21,3--33,4--5,4--6,4--22,5--29,5--31,6--13,6--16,7--8,7--10,7--32,8--11,8--26,9--12,9--27,9--28,10--18,10--27,10--31,11--13,11--25,12--20,12--23,12--29,13--18,13--22,14--16,14--28,15--23,15--28,16--26,16--33,17--19,17--22,17--23,17--26,18--20,19--28,19--30,19--33,20--24,20--25,21--23,21--30,21--32,22--24,24--25,24--27,25--30,26--29,27--31,29--32,30--33,31--32
0--3,0--6,0--11,0--21,1--4,1--10,1--22,1--28,2--10,2--22,2--23,2--31,3--11,3--18,3--25,4--8,4--13,4--18,5--27,5--28,5--30,5--31,6--14,6--24,6--27,7--9,7--19,7--29,7--33,8--21,8--23,8--26,9--16,9--26,9--29,10--24,10--33,11--16,11--22,12--13,12--14,12--31,12--32,13--21,13--28,14--16,14--23,15--20,15--25,15--27,15--33,16--19,17--22,17--24,17--32,17--33,18--30,18--32,19--23,19--30,20--26,20--28,20--30,21--25,24--29,25--26,27--29,31--32
0--15,0--17,0--21,0--22,1--13,1--14,1--16,1--33,2--6,2--10,2--15,2--31,3--5,3--8,3--22,3--33,4--5,4--20,4--28,4--32,5--16,5--26,6--7,6--16,6--20,7--11,7--21,7--26,8--10,8--17,8--24,9--11,9--12,9--17,9--29,10--15,10--29,11--26,11--31,12--25,12--27,12--30,13--19,13--23,13--30,14--21,14--23,14--33,15--27,16--18,17--25,18--24,18--28,18--32,19--22,19--24,19--32,20--29,20--31,21--30,22--28,23--28,23--29,24--27,25--26,25--30,27--32,31--33
0--1,0--6,0--17,0--33,1--7,1--13,1--25,2--18,2--19,2--20,2--24,3--12,3--14,3--26,3--31,4--11,4--13,4--15,4--16,5--6,5--8,5--27,5--28,6--16,6--28,7--14,7--21,7--31,8--18,8--20,8--27,9--18,9--20,9--29,9--30,10--21,10--22,10--23,10--24,11--17,11--27,11--32,12--24,12--30,12--31,13--21,13--23,14--21,14--22,15--26,15--29,15--32,16--19,16--24,17--18,17--30,19--22,19--29,20--33,22--27,23--26,23--28,25--30,25--32,25--33,26--31,28--32,29--33
0--4,0--5,0--9,0--33,1--8,1--19,1--29,1--33,2--7,2--10,2--17,2--21,3--17,3--18,3--31,3--32,4--8,4--9,4--27,5--9,5--13,5--20,6--15,6--17,6--25,6--32,7--20,7--22,7--27,8--14,8--16,9--31,10--12,10--13,10--29,11--12,11--15,11--23,11--26,12--20,12--31,13--16,13--21,14--17,14--23,14--28,15--25,15--26,16--19,16--28,18--23,18--24,18--28,19--24,19--26,20--33,21--22,21--26,22--28,22--30,23--30,24--25,24--29,25--27,27--32,29--30,30--33,31--32
0--8,0--26,0--31,0--33,1--2,1--16,1--26,1--32,2--17,2--24,2--26,3--7,3--14,3--22,3--31,4--16,4--17,4--24,4--30,5--9,5--13,5--17,5--32,6--11,6--18,6--21,6--23,7--12,7--14,7--28,8--19,8--21,8--24,9--11,9--18,9--21,10--19,10--20,10--24,10--25,11--18,11--28,12--13,12--15,12--28,13--23,13--27,14--19,14--25,15--22,15--32,15--33,16--26,16--27,17--29,18--25,19--33,20--25,20--31,20--32,21--30,22--27,22--29,23--29,23--30,27--28,29--33,30--31
0--9,0--12,0--15,0--32,1--13,1--16,1--20,1--31,2--3,2--20,2--29,2--32,3--17,3--21,3--33,4--5,4--6,4--14,4--15,5--17,5--25,5--27,6--18,6--21,6--25,7--10,7--16,7--18,7--27,8--9,8--13,8--30,8--32,9--10,9--30,10--23,10--33,11--12,11--13,11--14,11--28,12--24,12--28,13--27,14--18,14--26,15--26,15--31,16--19,16--27,17--18,17--26,19--29,19--31,19--33,20--22,20--29,21--24,21--30,22--23,22--28,22--31,23--26,23--33,24--25,24--28,25--29,30--32
0--6,0--14,0--19,0--30,1--5,1--8,1--11,1--33,2--3,2--11,2--20,2--27,3--9,3--21,3--23,4--10,4--19,4--22,4--25,5--9,5--12,5--18,6--29,6--31,6--32,7--16,7--23,7--24,7--28,8--22,8--25,8--33,9--22,9--28,10--16,10--30,10--32,11--13,11--17,12--15,12--25,12--28,13--18,13--24,13--26,14--18,14--28,14--29,15--17,15--21,15--29,16--21,16--33,17--31,17--32,18--20,19--29,19--32,20--21,20--27,22--26,23--25,23--27,24--26,24--31,26--33,27--30,30--31
0--23,0--24,0--25,0--28,1--9,1--10,1--13,1--16,2--3,2--12,2--16,2--23,3--6,3--15,3--18,4--6,4--13,4--28,4--32,5--23,5--25,5--29,5--30,6--8,6--23,7--11,7--18,7--19,7--20,8--19,8--27,8--32,9--15,9--20,9--33,10--26,10--27,10--28,11--21,11--25,11--31,12--14,12--19,12--24,13--14,13--27,14--15,14--18,15--16,16--29,17--19,17--20,17--22,17--24,18--21,20--31,21--22,21--28,22--31,22--33,24--30,25--26,26--31,26--33,27--32,29--30,29--32,30--33
0--12,0--18,0--24,0--27,1--5,1--6,1--11,1--15,2--12,2--13,2--16,2--31,3--13,3--19,3--24,3--26,4--5,4--17,4--20,4--22,5--28,5--33,6--15,6--23,6--26,7--8,7--19,7--22,7--29,8--11,8--25,8--29,9--10,9--16,9--26,9--29,10--18,10--22,10--24,11--27,11--32,12--18,12--25,13--23,13--26,14--22,14--23,14--28,14--30,15--28,15--31,16--17,16--32,17--21,17--33,18--32,19--30,19--33,20--21,20--27,20--31,21--23,21--28,24--33,25--29,25--32,27--30,30--31
0--2,0--20,0--29,0--33,1--10,1--12,1--13,1--32,2--11,2--17,2--29,3--18,3--22,3--27,3--32,4--13,4--16,4--17,4--32,5--17,5--23,5--24,5--25,6--12,6--24,6--27,6--29,7--20,7--24,7--30,7--32,8--11,8--14,8--19,8--30,9--18,9--26,9--28,9--31,10--15,10--16,10--26,11--19,11--23,12--28,12--31,13--14,13--33,14--18,14--27,15--17,15--21,15--23,16--22,16--31,18--20,19--21,19--28,20--28,21--22,21--33,22--33,23--25,24--27,25--29,25--30,26--30,26--31
0--9,0--17,0--19,0--25,1--4,1--23,1--28,1--29,2--17,2--20,2--24,2--29,3--6,3--19,3--25,3--28,4--19,4--26,4--32,5--8,5--11,5--27,5--31,6--16,6--18,6--30,7--10,7--20,7--30,7--31,8--10,8--26,8--30,9--18,9--22,9--31,10--15,10--33,11--14,11--23,11--28,12--13,12--16,12--19,12--26,13--23,13--26,13--27,14--16,14--20,14--33,15--18,15--21,15--23,16--25,17--20,17--21,18--24,21--22,21--32,22--24,22--27,24--30,25--27,28--32,29--31,29--33,32--33
0--7,0--11,0--25,0--26,1--5,1--18,1--19,1--20,2--11,2--19,2--32,2--33,3--15,3--23,3--29,3--30,4--13,4--25,4--31,4--32,5--11,5--15,5--32,6--12,6--21,6--28,6--29,7--14,7--19,7--29,8--10,8--21,8--23,8--27,9--10,9--23,9--26,9--27,10--16,10--24,11--29,12--24,12--27,12--31,13--20,13--21,13--22,14--17,14--26,14--32,15--16,15--22,16--18,16--26,17--18,17--30,17--31,18--24,19--33,20--22,20--30,21--28,22--25,23--28,24--33,25--30,27--28,31--33
0--11,0--19,0--27,0--32,1--2,1--19,1--28,1--29,2--18,2--25,2--27,3--4,3--5,3--6,3--9,4--14,4--24,4--31,5--6,5--22,5--25,6--14,6--33,7--15,7--26,7--31,7--32,8--10,8--16,8--17,8--23,9--10,9--18,9--20,10--13,10--15,11--12,11--15,11--19,12--17,12--18,12--25,13--17,13--23,13--33,14--28,14--29,15--30,16--24,16--28,16--30,17--21,18--22,19--32,20--21,20--26,20--30,21--29,21--30,22--24,22--26,23--26,23--28,24--33,25--27,27--33,29--31,31--32
0--5,0--19,0--29,0--32,1--8,1--9,1--11,1--21,2--7,2--16,2--17,2--28,3--18,3--22,3--26,3--27,4--8,4--10,4--12,4--13,5--7,5--26,5--27,6--9,6--20,6--32,6--33,7--13,7--26,8--16,8--20,9--14,9--24,10--12,10--17,10--33,11--16,11--26,11--29,12--18,12--29,13--20,13--30,14--22,14--29,14--33,15--24,15--25,15--27,15--30,16--25,17--18,17--25,18--28,19--22,19--23,19--30,20--30,21--23,21--25,21--32,22--32,23--27,23--31,24--28,24--31,28--31,31--33
0--4,0--9,0--27,0--32,1--3,1--6,1--10,1--15,2--9,2--12,2--16,2--31,3--11,3--12,3--24,4--20,4--26,4--28,5--10,5--12,5--13,5--19,6--15,6--23,6--33,7--8,7--19,7--27,7--30,8--15,8--22,8--26,9--13,9--33,10--12,10--24,11--13,11--14,11--23,13--17,14--17,14--21,14--28,15--32,16--18,16--22,16--25,17--24,17--31,18--21,18--29,18--33,19--28,19--29,20--25,20--29,20--30,21--23,21--25,22--24,22--26,23--27,25--31,26--29,27--32,28--33,30--31,30--32
0--9,0--22,0--28,0--32,1--16,1--25,1--27,1--29,2--14,2--17,2--23,2--33,3--14,3--20,3--21,3--30,4--12,4--18,4--22,4--27,5--16,5--19,5--28,5--31,6--10,6--12,6--22,6--30,7--17,7--25,7--32,7--33,8--13,8--18,8--25,8--28,9--18,9--31,9--32,10--13,10--23,10--33,11--15,11--18,11--21,11--24,12--15,12--26,13--14,13--17,14--17,15--29,15--30,16--20,16--24,19--21,19--23,19--26,20--26,20--30,21--27,22--29,23--31,24--32,24--33,25--31,26--28,27--29
0--1,0--5,0--8,0--25,1--13,1--18,1--30,2--9,2--11,2--24,2--28,3--15,3--19,3--24,3--33,4--10,4--23,4--27,4--32,5--13,5--20,5--27,6--13,6--17,6--18,6--20,7--13,7--17,7--18,7--28,8--22,8--29,8--30,9--12,9--15,9--21,10--17,10--23,10--26,11--14,11--17,11--30,12--19,12--28,12--30,14--15,14--16,14--21,15--26,16--20,16--26,16--31,18--23,19--21,19--31,20--25,21--24,22--24,22--27,22--29,23--25,25--33,26--32,27--31,28--29,29--32,31--33,32--33
0--10,0--14,0--16,0--33,1--13,1--14,1--23,1--25,2--9,2--15,2--19,2--22,3--5,3--9,3--17,3--20,4--7,4--10,4--12,4--21,5--8,5--13,5--25,6--11,6--18,6--21,6--29,7--27,7--31,7--32,8--18,8--26,8--29,9--16,9--30,10--16,10--21,11--13,11--20,11--31,12--14,12--24,12--26,13--23,14--20,15--24,15--25,15--30,16--30,17--26,17--27,17--31,18--25,18--28,19--24,19--30,19--33,20--32,21--24,22--28,22--32,22--33,23--31,23--32,26--29,27--28,27--33,28--29
0--5,0--11,0--17,0--22,1--5,1--16,1--19,1--28,2--6,2--12,2--17,2--20,3--6,3--12,3--13,3--21,4--15,4--19,4--26,4--31,5--20,5--24,6--7,6--18,7--12,7--25,7--31,8--11,8--16,8--24,8--28,9--21,9--25,9--26,9--32,10--14,10--22,10--23,10--27,11--14,11--15,12--33,13--15,13--17,13--33,14--15,14--20,16--23,16--30,17--25,18--19,18--24,18--32,19--33,20--30,21--25,21--29,22--29,22--30,23--29,23--33,24--26,26--27,27--28,27--32,28--31,29--32,30--31
0--11,0--15,0--20,0--33,1--4,1--17,1--23,1--29,2--5,2--8,2--13,2--16,3--9,3--25,3--32,3--33,4--12,4--28,4--30,5--13,5--21,5--22,6--8,6--15,6--22,6--31,7--9,7--10,7--18,7--31,8--19,8--25,9--15,9--19,10--29,10--30,10--31,11--20,11--23,11--28,12--16,12--18,12--26,13--14,13--30,14--21,14--26,14--29,15--32,16--22,16--33,17--21,17--25,17--29,18--22,18--23,19--28,19--30,20--23,20--31,21--27,24--26,24--27,24--32,24--33,25--32,26--27,27--28
0--5,0--6,0--8,0--26,1--2,1--7,1--11,1--24,2--7,2--19,2--27,3--13,3--20,3--28,3--29,4--16,4--19,4--27,4--31,5--11,5--21,5--24,6--18,6--19,6--26,7--9,7--15,8--12,8--13,8--22,9--10,9--11,9--28,10--23,10--25,10--33,11--24,12--18,12--22,12--32,13--15,13--31,14--17,14--20,14--26,14--31,15--20,15--29,16--25,16--30,16--33,17--21,17--23,17--32,18--19,18--33,20--33,21--23,21--28,22--27,22--32,23--29,24--30,25--30,25--31,26--29,27--32,28--30
0--7,0--17,0--30,0--33,1--17,1--22,1--27,1--31,2--8,2--14,2--18,2--29,3--15,3--25,3--26,3--29,4--5,4--13,4--14,4--21,5--9,5--13,5--24,6--7,6--12,6--13,6--20,7--16,7--33,8--14,8--22,8--25,9--24,9--25,9--29,10--15,10--21,10--27,10--30,11--21,11--23,11--26,11--32,12--16,12--25,12--33,13--28,14--15,15--23,16--19,16--20,17--18,17--19,18--23,18--32,19--20,19--28,20--24,21--26,22--27,22--32,23--28,24--26,27--29,28--31,30--31,30--32,31--33
0--10,0--11,0--12,0--20,1--13,1--24,1--27,1--33,2--5,2--6,2--22,2--31,3--13,3--19,3--24,3--32,4--6,4--9,4--10,4--21,5--11,5--22,5--32,6--16,6--30,7--21,7--24,7--31,7--33,8--17,8--18,8--25,8--28,9--12,9--13,9--14,10--23,10--26,11--15,11--21,12--18,12--19,13--28,14--20,14--28,14--29,15--16,15--29,15--33,16--26,16--31,17--20,17--25,17--26,18--25,18--28,19--22,19--27,20--30,21--29,22--30,23--30,23--31,23--32,24--26,25--33,27--29,27--32
0--6,0--13,0--23,0--30,1--17,1--18,1--26,1--27,2--7,2--15,2--19,2--32,3--9,3--11,3--18,3--28,4--6,4--7,4--8,4--33,5--10,5--20,5--21,5--27,6--19,6--28,7--16,7--27,8--19,8--22,8--26,9--20,9--29,9--30,10--16,10--22,10--32,11--13,11--16,11--31,12--14,12--23,12--24,12--31,13--26,13--28,14--18,14--20,14--24,15--19,15--25,15--33,16--21,17--20,17--22,17--30,18--32,21--24,21--32,22--29,23--29,23--33,24--31,25--27,25--28,25--31,26--33,29--30
0--4,0--23,0--30,0--31,1--6,1--10,1--26,1--33,2--5,2--19,2--24,2--31,3--10,3--21,3--25,3--29,4--5,4--17,4--32,5--24,5--28,6--16,6--22,6--24,7--12,7--19,7--27,7--30,8--14,8--25,8--28,8--29,9--14,9--21,9--23,9--31,10--26,10--28,11--15,11--25,11--29,11--31,12--15,12--24,12--26,13--19,13--20,13--22,13--32,14--18,14--32,15--17,15--22,16--17,16--18,16--33,17--29,18--19,18--28,20--23,20--25,20--30,21--27,21--32,22--33,23--26,27--30,27--33
0--12,0--14,0--15,0--27,1--2,1--13,1--17,1--26,2--5,2--21,2--22,3--4,3--10,3--13,3--24,4--15,4--21,4--29,5--27,5--30,5--31,6--9,6--17,6--19,6--20,7--14,7--21,7--32,7--33,8--15,8--18,8--28,8--30,9--24,9--25,9--30,10--20,10--28,10--33,11--16,11--26,11--27,11--31,12--14,12--22,12--23,13--18,13--32,14--20,15--21,16--19,16--23,16--25,17--24,17--32,18--29,18--31,19--26,19--32,20--26,22--23,22--33,23--25,24--33,25--29,27--28,28--30,29--31
0--5,0--8,0--9,0--23,1--4,1--11,1--19,1--23,2--7,2--9,2--17,2--21,3--7,3--24,3--28,3--30,4--10,4--18,4--33,5--15,5--26,5--31,6--7,6--14,6--20,6--30,7--30,8--14,8--22,8--29,9--28,9--29,10--12,10--13,10--31,11--16,11--21,11--31,12--18,12--22,12--28,13--16,13--17,13--25,14--15,14--31,15--20,15--25,16--19,16--32,17--18,17--30,18--32,19--21,19--24,20--25,20--28,21--27,22--23,22--26,23--33,24--32,24--33,25--27,26--27,26--33,27--29,29--32
0--6,0--8,0--15,0--30,1--10,1--17,1--19,1--23,2--3,2--9,2--12,2--25,3--5,3--6,3--21,4--8,4--25,4--32,4--33,5--19,5--24,5--29,6--16,6--29,7--8,7--11,7--19,7--28,8--27,9--11,9--14,9--16,10--21,10--23,10--33,11--26,11--29,12--13,12--28,12--30,13--21,13--22,13--27,14--24,14--25,14--28,15--17,15--18,15--31,16--22,16--23,17--24,17--32,18--20,18--25,18--33,19--32,20--22,20--26,20--32,21--31,22--27,23--33,24--26,26--29,27--31,28--30,30--31
0--17,0--20,0--25,0--33,1--2,1--4,1--6,1--33,2--12,2--20,2--25,3--7,3--13,3--19,3--21,4--6,4--17,4--28,5--10,5--12,5--18,5--31,6--13,6--14,7--9,7--24,7--29,8--16,8--26,8--31,8--33,9--11,9--30,9--32,10--17,10--22,10--29,11--18,11--22,11--33,12--15,12--23,13--20,13--27,14--15,14--23,14--24,15--27,15--31,16--22,16--28,16--29,17--21,18--24,18--32,19--23,19--24,19--28,20--30,21--29,21--31,22--32,23--30,25--27,25--30,26--27,26--28,26--32
0--4,0--15,0--16,0--31,1--14,1--20,1--23,1--29,2--8,2--12,2--14,2--25,3--21,3--27,3--30,3--32,4--28,4--31,4--32,5--15,5--16,5--26,5--32,6--7,6--21,6--24,6--25,7--9,7--12,7--16,8--14,8--15,8--22,9--11,9--19,9--23,10--12,10--17,10--26,10--28,11--22,11--27,11--31,12--29,13--17,13--21,13--25,13--33,14--33,15--25,16--18,17--20,17--24,18--19,18--20,18--21,19--22,19--26,20--30,22--31,23--29,23--33,24--29,24--30,26--28,27--32,27--33,28--30
0--2,0--12,0--13,0--17,1--4,1--10,1--22,1--28,2--21,2--24,2--32,3--6,3--11,3--14,3--30,4--15,4--19,4--27,5--8,5--26,5--28,5--29,6--23,6--26,6--31,7--9,7--13,7--31,7--33,8--12,8--18,8--27,9--13,9--14,9--21,10--14,10--24,10--26,11--16,11--22,11--29,12--22,12--33,13--25,14--20,15--16,15--28,15--32,16--18,16--25,17--18,17--21,17--27,18--20,19--20,19--26,19--30,20--23,21--25,22--25,23--31,23--33,24--31,24--32,27--33,28--30,29--30,29--32
0--7,0--11,0--17,0--23,1--10,1--13,1--18,1--30,2--14,2--20,2--24,2--29,3--16,3--17,3--21,3--31,4--7,4--11,4--13,4--19,5--12,5--20,5--32,5--33,6--7,6--16,6--30,6--32,7--14,8--12,8--22,8--23,8--32,9--11,9--25,9--27,9--33,10--13,10--16,10--24,11--26,12--21,12--23,13--22,14--18,14--24,15--19,15--26,15--31,15--33,16--31,17--27,17--29,18--21,18--28,19--20,19--21,20--28,22--26,22--33,23--29,24--32,25--27,25--28,25--30,26--27,28--31,29--30
0--2,0--10,0--24,0--28,1--6,1--8,1--27,1--32,2--6,2--26,2--30,3--4,3--9,3--25,3--28,4--7,4--12,4--30,5--7,5--14,5--25,5--29,6--20,6--27,7--10,7--20,8--11,8--13,8--15,9--16,9--25,9--33,10--17,10--31,11--15,11--18,11--30,12--13,12--18,12--24,13--26,13--28,14--23,14--31,14--33,15--18,15--20,16--18,16--22,16--29,17--19,17--26,17--32,19--20,19--27,19--29,21--24,21--25,21--30,21--32,22--23,22--29,22--32,23--27,23--28,24--31,26--33,31--33
0--6,0--19,0--23,0--26,1--3,1--11,1--26,1--29,2--3,2--7,2--12,2--13,3--9,3--31,4--5,4--16,4--26,4--29,5--9,5--10,5--18,6--13,6--22,6--25,7--14,7--21,7--30,8--9,8--17,8--31,8--33,9--23,10--11,10--20,10--24,11--16,11--31,12--23,12--28,12--32,13--14,13--16,14--28,14--29,15--23,15--29,15--30,15--33,16--19,17--18,17--20,17--28,18--21,18--22,19--32,19--33,20--25,20--33,21--25,21--27,22--25,22--30,24--27,24--28,24--30,26--32,27--31,27--32
0--13,0--26,0--28,0--33,1--4,1--14,1--16,1--19,2--9,2--11,2--26,2--30,3--14,3--16,3--22,3--31,4--22,4--25,4--33,5--12,5--24,5--27,5--32,6--7,6--23,6--25,6--30,7--12,7--19,7--22,8--17,8--21,8--23,8--32,9--15,9--19,9--24,10--11,10--20,10--26,10--32,11--32,11--33,12--16,12--18,13--20,13--28,13--30,14--21,14--23,15--18,15--25,15--29,16--31,17--29,17--31,17--33,18--22,18--27,19--24,20--23,20--28,21--27,21--28,24--29,25--29,26--30,27--31
0--10,0--13,0--24,0--31,1--7,1--12,1--18,1--19,2--8,2--20,2--21,2--29,3--6,3--14,3--20,3--29,4--5,4--15,4--16,4--26,5--14,5--19,5--28,6--12,6--14,6--17,7--11,7--18,7--25,8--13,8--23,8--24,9--12,9--24,9--27,9--29,10--19,10--20,10--32,11--25,11--26,11--31,12--13,13--33,14--21,15--26,15--28,15--30,16--17,16--23,16--31,17--22,17--28,18--28,18--32,19--30,20--23,21--30,21--32,22--24,22--25,22--27,23--31,25--27,26--30,27--33,29--33,32--33
