0--21,0--23,0--34,1--18,1--23,1--25,2--10,2--18,2--28,3--13,3--17,3--34,4--8,4--9,4--31,5--6,5--22,5--32,6--27,6--32,7--20,7--26,7--29,8--10,8--15,9--26,9--31,10--12,11--12,11--20,11--23,12--35,13--27,13--33,14--16,14--33,14--35,15--16,15--24,16--20,17--22,17--26,18--25,19--21,19--25,19--28,21--35,22--30,24--27,24--33,28--29,29--32,30--31,30--34
0--3,0--8,0--30,1--3,1--18,1--29,2--27,2--28,2--32,3--4,4--7,4--25,5--7,5--34,5--35,6--11,6--15,6--34,7--9,8--20,8--22,9--12,9--14,10--23,10--28,10--29,11--16,11--22,12--23,12--25,13--15,13--23,13--24,14--29,14--35,15--26,16--31,16--33,17--18,17--27,17--34,18--24,19--30,19--31,19--32,20--21,20--26,21--30,21--31,22--32,24--35,25--27,26--33,28--33
0--2,0--5,0--19,1--14,1--29,1--34,2--9,2--12,3--17,3--20,3--21,4--16,4--25,4--35,5--24,5--33,6--7,6--12,6--23,7--27,7--31,8--17,8--29,8--32,9--19,9--31,10--22,10--31,10--35,11--22,11--27,11--33,12--13,13--15,13--34,14--26,14--28,15--29,15--32,16--26,16--28,17--34,18--21,18--24,18--30,19--32,20--26,20--28,21--23,22--30,23--24,25--33,25--35,27--30
0--2,0--7,0--24,1--6,1--16,1--21,2--3,2--14,3--11,3--19,4--17,4--23,4--32,5--11,5--18,5--27,6--8,6--30,7--19,7--22,8--18,8--24,9--20,9--23,9--29,10--21,10--26,10--35,11--35,12--13,12--27,12--28,13--22,13--23,14--31,14--32,15--18,15--19,15--31,16--28,16--33,17--25,17--29,20--24,20--28,21--27,22--34,25--26,25--34,26--30,29--33,30--34,31--33,32--35
0--3,0--10,0--27,1--6,1--9,1--26,2--3,2--19,2--27,3--31,4--13,4--20,4--25,5--11,5--21,5--34,6--9,6--30,7--10,7--16,7--17,8--22,8--24,8--26,9--35,10--12,11--29,11--35,12--21,12--33,13--14,13--32,14--25,14--34,15--19,15--24,15--32,16--20,16--35,17--23,17--33,18--25,18--30,18--32,19--21,20--28,22--24,22--28,23--31,23--34,26--29,27--28,29--30,31--33
0--5,0--6,0--29,1--8,1--15,1--21,2--9,2--12,2--19,3--14,3--15,3--32,4--7,4--17,4--33,5--14,5--18,6--23,6--34,7--11,7--27,8--20,8--33,9--15,9--30,10--20,10--29,10--35,11--28,11--29,12--16,12--34,13--17,13--20,13--32,14--21,16--24,16--26,17--23,18--26,18--27,19--30,19--32,21--34,22--25,22--28,22--35,23--31,24--25,24--31,25--35,26--33,27--30,28--31
0--6,0--8,0--23,1--11,1--32,1--34,2--16,2--17,2--22,3--4,3--18,3--31,4--14,4--17,5--9,5--24,5--32,6--13,6--30,7--11,7--13,7--14,8--28,8--33,9--14,9--24,10--12,10--16,10--20,11--18,12--29,12--31,13--35,15--19,15--23,15--27,16--30,17--33,18--21,19--24,19--26,20--25,20--34,21--27,21--35,22--27,22--29,23--32,25--33,25--35,26--29,26--34,28--30,28--31
0--13,0--23,0--27,1--3,1--16,1--35,2--24,2--28,2--31,3--11,3--21,4--5,4--32,4--35,5--17,5--22,6--7,6--10,6--34,7--20,7--29,8--9,8--19,8--28,9--25,9--33,10--14,10--17,11--12,11--14,12--16,12--24,13--23,13--31,14--34,15--17,15--24,15--25,16--28,18--22,18--25,18--26,19--29,19--32,20--29,20--30,21--26,21--32,22--30,23--33,26--31,27--33,27--34,30--35
0--2,0--14,0--30,1--18,1--20,1--27,2--11,2--19,3--5,3--25,3--35,4--13,4--28,4--33,5--24,5--26,6--7,6--26,6--28,7--23,7--28,8--25,8--26,8--29,9--27,9--30,9--32,10--12,10--14,10--16,11--22,11--29,12--17,12--20,13--21,13--25,14--30,15--24,15--31,15--32,16--18,16--21,17--23,17--34,18--33,19--32,19--35,20--21,22--23,22--29,24--33,27--31,31--34,34--35
0--2,0--31,0--33,1--8,1--25,1--32,2--9,2--34,3--4,3--8,3--19,4--8,4--22,5--11,5--28,5--33,6--11,6--16,6--25,7--10,7--16,7--20,9--17,9--27,10--14,10--18,11--35,12--18,12--22,12--34,13--23,13--24,13--29,14--20,14--30,15--17,15--27,15--34,16--32,17--31,18--28,19--21,19--23,20--21,21--26,22--29,23--35,24--26,24--33,25--30,26--30,27--31,28--35,29--32
0--2,0--19,0--34,1--19,1--21,1--22,2--3,2--29,3--8,3--16,4--26,4--29,4--30,5--15,5--18,5--32,6--9,6--13,6--15,7--9,7--18,7--21,8--10,8--35,9--16,10--12,10--33,11--13,11--22,11--31,12--31,12--34,13--27,14--17,14--24,14--28,15--35,16--25,17--20,17--23,18--29,19--33,20--24,20--28,21--31,22--32,23--25,23--30,24--30,25--27,26--28,26--35,27--32,33--34
0--12,0--13,0--34,1--5,1--6,1--27,2--4,2--11,2--35,3--11,3--26,3--27,4--13,4--24,5--9,5--31,6--8,6--29,7--15,7--28,7--30,8--20,8--33,9--10,9--15,10--14,10--25,11--13,12--25,12--29,14--17,14--33,15--32,16--18,16--21,16--34,17--19,17--25,18--23,18--24,19--31,19--32,20--23,20--26,21--22,21--31,22--26,22--35,23--28,24--35,27--28,29--32,30--33,30--34
0--14,0--27,0--30,1--17,1--31,1--35,2--15,2--28,2--35,3--9,3--10,3--26,4--6,4--10,4--22,5--11,5--29,5--34,6--8,6--19,7--13,7--17,7--32,8--9,8--21,9--12,10--33,11--28,11--29,12--14,12--34,13--19,13--24,14--25,15--24,15--26,16--23,16--30,16--35,17--31,18--20,18--23,18--32,19--25,20--21,20--32,21--30,22--33,22--34,23--25,24--26,27--28,27--29,31--33
0--11,0--26,0--28,1--12,1--19,1--31,2--15,2--18,2--20,3--10,3--26,3--28,4--13,4--17,4--34,5--12,5--20,5--34,6--14,6--20,6--35,7--10,7--11,7--25,8--10,8--25,8--35,9--13,9--17,9--28,11--32,12--29,13--23,14--16,14--29,15--22,15--33,16--22,16--29,17--30,18--25,18--33,19--23,19--24,21--30,21--31,21--34,22--31,23--32,24--26,24--27,27--32,27--33,30--35
0--10,0--18,0--26,1--10,1--30,1--32,2--12,2--23,2--33,3--5,3--20,3--28,4--14,4--27,4--32,5--21,5--30,6--10,6--18,6--35,7--24,7--31,7--34,8--15,8--27,8--33,9--12,9--17,9--22,11--20,11--21,11--32,12--19,13--19,13--31,13--34,14--16,14--26,15--16,15--27,16--19,17--33,17--34,18--28,20--31,21--35,22--23,22--24,23--25,24--25,25--29,26--30,28--29,29--35
0--28,0--34,0--35,1--4,1--18,1--22,2--22,2--30,2--35,3--8,3--21,3--31,4--15,4--30,5--7,5--28,5--29,6--13,6--15,6--20,7--12,7--23,8--15,8--31,9--17,9--25,9--33,10--22,10--29,10--33,11--19,11--21,11--34,12--23,12--27,13--17,13--24,14--23,14--24,14--27,16--17,16--19,16--32,18--19,18--32,20--24,20--30,21--29,25--32,25--35,26--27,26--28,26--33,31--34
0--5,0--23,0--28,1--4,1--5,1--6,2--29,2--30,2--35,3--11,3--28,3--34,4--20,4--21,5--27,6--10,6--25,7--12,7--17,7--33,8--16,8--33,8--35,9--22,9--31,9--32,10--11,10--34,11--19,12--14,12--33,13--14,13--21,13--34,14--18,15--25,15--26,15--27,16--22,16--31,17--24,17--25,18--20,18--24,19--26,19--30,20--24,21--29,22--30,23--32,23--35,26--28,27--29,31--32
0--8,0--18,0--33,1--2,1--15,1--25,2--21,2--35,3--24,3--26,3--31,4--19,4--25,4--34,5--13,5--24,5--28,6--15,6--17,6--19,7--11,7--21,7--26,8--18,8--31,9--19,9--27,9--31,10--12,10--16,10--35,11--16,11--20,12--22,12--24,13--22,13--23,14--23,14--30,14--32,15--28,16--20,17--27,17--33,18--27,20--23,21--29,22--25,26--33,28--29,29--34,30--32,30--34,32--35
0--8,0--28,0--30,1--12,1--22,1--29,2--4,2--24,2--35,3--9,3--13,3--33,4--6,4--15,5--15,5--24,5--32,6--17,6--35,7--21,7--27,7--28,8--11,8--33,9--11,9--29,10--14,10--23,10--35,11--13,12--21,12--31,13--34,14--25,14--27,15--28,16--20,16--23,16--26,17--21,17--34,18--26,18--29,18--32,19--20,19--22,19--31,20--24,22--30,23--25,25--32,26--34,27--33,30--31
0--8,0--17,0--25,1--14,1--21,1--28,2--9,2--26,2--27,3--24,3--26,3--30,4--9,4--12,4--34,5--22,5--27,5--29,6--13,6--18,6--24,7--19,7--25,7--31,8--15,8--32,9--11,10--15,10--21,10--28,11--28,11--35,12--16,12--21,13--19,13--32,14--22,14--33,15--24,16--20,16--32,17--23,17--29,18--29,18--35,19--33,20--23,20--25,22--26,23--33,27--30,30--31,31--34,34--35
0--19,0--25,0--26,1--3,1--29,1--30,2--6,2--10,2--34,3--12,3--13,4--12,4--19,4--20,5--7,5--21,5--34,6--7,6--35,7--24,8--10,8--17,8--28,9--20,9--29,9--32,10--31,11--16,11--18,11--24,12--32,13--18,13--28,14--23,14--33,14--35,15--20,15--26,15--31,16--17,16--27,17--21,18--25,19--23,21--25,22--30,22--33,22--34,23--33,24--29,26--28,27--30,27--31,32--35
0--4,0--13,0--35,1--11,1--15,1--33,2--9,2--11,2--31,3--5,3--25,3--34,4--21,4--26,5--17,5--30,6--13,6--24,6--27,7--10,7--14,7--27,8--11,8--17,8--21,9--19,9--35,10--28,10--30,12--14,12--23,12--28,13--29,14--24,15--18,15--33,16--19,16--23,16--27,17--35,18--32,18--34,19--20,20--28,20--33,21--22,22--25,22--34,23--32,24--32,25--26,26--31,29--30,29--31
0--9,0--16,0--21,1--8,1--11,1--28,2--14,2--23,2--33,3--11,3--29,3--31,4--12,4--14,4--17,5--24,5--32,5--35,6--7,6--9,6--35,7--10,7--12,8--13,8--17,9--33,10--12,10--33,11--18,13--27,13--32,14--34,15--19,15--23,15--24,16--26,16--32,17--22,18--26,18--27,19--20,19--25,20--28,20--30,21--29,21--31,22--25,22--26,23--25,24--30,27--34,28--31,29--34,30--35
0--1,0--21,0--31,1--3,1--12,2--6,2--13,2--25,3--32,3--34,4--5,4--9,4--19,5--16,5--17,6--9,6--16,7--22,7--33,7--35,8--14,8--21,8--31,9--11,10--24,10--32,10--33,11--19,11--29,12--23,12--25,13--19,13--20,14--18,14--34,15--23,15--30,15--34,16--22,17--24,17--26,18--29,18--30,20--29,20--30,21--35,22--27,23--25,24--26,26--28,27--33,27--35,28--31,28--32
0--3,0--4,0--6,1--15,1--31,1--34,2--18,2--21,2--25,3--11,3--28,4--11,4--22,5--8,5--14,5--20,6--7,6--30,7--12,7--33,8--13,8--24,9--23,9--33,9--34,10--12,10--21,10--27,11--24,12--30,13--18,13--23,14--26,14--32,15--29,15--31,16--21,16--23,16--29,17--28,17--34,17--35,18--33,19--27,19--28,19--35,20--26,20--27,22--25,22--31,24--25,26--30,29--32,32--35
0--20,0--22,0--28,1--8,1--31,1--35,2--7,2--24,2--35,3--9,3--27,3--29,4--6,4--12,4--18,5--14,5--15,5--29,6--17,6--23,7--9,7--33,8--27,8--28,9--15,10--13,10--25,10--28,11--19,11--20,11--25,12--24,12--33,13--18,13--26,14--16,14--23,15--21,16--32,16--34,17--19,17--23,18--26,19--21,20--30,21--31,22--33,22--35,24--30,25--26,27--32,29--31,30--34,32--34
0--17,0--28,0--35,1--14,1--17,1--29,2--4,2--6,2--22,3--10,3--29,3--34,4--6,4--23,5--11,5--12,5--34,6--22,7--16,7--18,7--24,8--9,8--15,8--26,9--15,9--33,10--28,10--33,11--20,11--34,12--18,12--27,13--15,13--23,13--31,14--19,14--28,16--21,16--31,17--26,18--30,19--32,19--35,20--25,20--29,21--30,21--32,22--26,23--30,24--25,24--32,25--27,27--31,33--35
0--3,0--4,0--34,1--4,1--12,1--23,2--17,2--27,2--32,3--29,3--35,4--28,5--8,5--18,5--33,6--16,6--17,6--30,7--12,7--15,7--28,8--23,8--30,9--10,9--13,9--22,10--16,10--21,11--13,11--21,11--31,12--25,13--20,14--15,14--19,14--31,15--22,16--20,17--19,18--29,18--32,19--21,20--24,22--34,23--29,24--27,24--30,25--26,25--34,26--31,26--32,27--33,28--35,33--35
0--3,0--4,0--27,1--11,1--13,1--23,2--9,2--13,2--28,3--5,3--33,4--28,4--31,5--9,5--20,6--16,6--29,6--30,7--17,7--29,7--31,8--11,8--25,8--26,9--33,10--15,10--21,10--35,11--15,12--16,12--33,12--34,13--32,14--17,14--18,14--20,15--30,16--24,17--22,18--26,18--27,19--21,19--22,19--34,20--30,21--27,22--32,23--24,23--29,24--34,25--32,25--35,26--35,28--31
0--11,0--16,0--28,1--5,1--13,1--18,2--3,2--26,2--29,3--5,3--10,4--15,4--30,4--35,5--35,6--8,6--19,6--28,7--23,7--27,7--32,8--9,8--19,9--23,9--34,10--17,10--29,11--20,11--22,12--18,12--25,12--32,13--15,13--17,14--22,14--33,14--34,15--31,16--26,16--31,17--30,18--24,19--20,20--21,21--24,21--27,22--30,23--32,24--26,25--28,25--35,27--31,29--33,33--34
0--5,0--14,0--27,1--12,1--13,1--31,2--16,2--25,2--30,3--9,3--17,3--25,4--8,4--28,4--35,5--29,5--30,6--15,6--20,6--26,7--21,7--23,7--29,8--14,8--28,9--32,9--34,10--22,10--24,10--26,11--17,11--25,11--33,12--14,12--31,13--18,13--27,15--19,15--23,16--23,16--35,17--19,18--29,18--32,19--33,20--27,20--34,21--22,21--24,22--32,24--35,26--28,30--34,31--33
0--13,0--16,0--30,1--8,1--17,1--21,2--4,2--24,2--28,3--6,3--26,3--27,4--21,4--30,5--16,5--24,5--25,6--17,6--35,7--22,7--29,7--34,8--18,8--34,9--15,9--28,9--31,10--23,10--29,10--35,11--18,11--20,11--22,12--15,12--19,12--25,13--16,13--20,14--21,14--32,14--33,15--19,17--22,18--33,19--30,20--24,23--28,23--34,25--26,26--27,27--32,29--35,31--32,31--33
0--1,0--6,0--29,1--10,1--23,2--13,2--20,2--30,3--10,3--14,3--30,4--17,4--22,4--28,5--18,5--33,5--35,6--8,6--24,7--12,7--26,7--31,8--17,8--32,9--15,9--20,9--28,10--14,11--22,11--30,11--33,12--21,12--29,13--20,13--34,14--31,15--18,15--25,16--26,16--27,16--35,17--28,18--23,19--21,19--22,19--27,21--33,23--35,24--25,24--34,25--32,26--27,29--32,31--34
0--11,0--13,0--20,1--23,1--26,1--31,2--5,2--15,2--33,3--9,3--18,3--35,4--12,4--27,4--34,5--14,5--23,6--12,6--28,6--35,7--16,7--32,7--33,8--17,8--18,8--29,9--20,9--29,10--11,10--16,10--23,11--12,13--32,13--33,14--31,14--34,15--25,15--26,16--21,17--25,17--34,18--19,19--21,19--30,20--26,21--30,22--24,22--28,22--30,24--25,24--28,27--31,27--35,29--32
0--13,0--17,0--18,1--6,1--10,1--25,2--18,2--20,2--34,3--9,3--15,3--24,4--16,4--21,4--24,5--20,5--32,5--35,6--9,6--25,7--16,7--19,7--27,8--13,8--33,8--35,9--16,10--12,10--27,11--17,11--22,11--26,12--28,12--29,13--30,14--23,14--25,14--26,15--22,15--33,17--21,18--34,19--23,19--24,20--32,21--33,22--28,23--34,26--30,27--31,28--29,29--32,30--31,31--35
0--2,0--16,0--26,1--5,1--10,1--24,2--17,2--33,3--6,3--21,3--29,4--7,4--10,4--15,5--8,5--20,6--33,6--34,7--9,7--30,8--11,8--26,9--12,9--28,10--22,11--13,11--19,12--29,12--35,13--27,13--32,14--23,14--24,14--33,15--18,15--19,16--32,16--35,17--25,17--28,18--20,18--28,19--20,21--31,21--34,22--26,22--31,23--24,23--34,25--29,25--31,27--30,27--35,30--32
0--13,0--14,0--29,1--5,1--6,1--12,2--29,2--30,2--31,3--5,3--7,3--22,4--6,4--18,4--25,5--33,6--25,7--11,7--22,8--28,8--31,8--35,9--17,9--24,9--26,10--12,10--19,10--22,11--12,11--25,13--18,13--35,14--24,14--27,15--20,15--33,15--34,16--19,16--24,16--31,17--28,17--34,18--19,20--28,20--32,21--27,21--29,21--33,23--26,23--30,23--32,26--32,27--35,30--34
0--7,0--18,0--25,1--16,1--18,1--21,2--10,2--17,2--23,3--5,3--7,3--30,4--5,4--19,4--24,5--31,6--22,6--26,6--31,7--21,8--25,8--27,8--32,9--19,9--20,9--35,10--29,10--34,11--16,11--28,11--34,12--20,12--30,12--35,13--14,13--21,13--32,14--32,14--33,15--26,15--27,15--33,16--18,17--20,17--23,19--23,22--24,22--28,24--35,25--29,26--29,27--31,28--30,33--34
0--11,0--19,0--34,1--6,1--13,1--23,2--7,2--18,2--29,3--18,3--31,3--35,4--12,4--20,4--33,5--15,5--16,5--19,6--27,6--32,7--8,7--18,8--17,8--20,9--10,9--32,9--34,10--15,10--28,11--16,11--26,12--17,12--31,13--17,13--26,14--22,14--25,14--28,15--20,16--31,19--27,21--22,21--23,21--24,22--30,23--35,24--33,24--35,25--26,25--28,27--30,29--33,29--34,30--32
0--8,0--10,0--31,1--7,1--8,1--34,2--5,2--7,2--22,3--7,3--26,3--27,4--16,4--21,4--32,5--25,5--29,6--9,6--22,6--31,8--11,9--18,9--27,10--13,10--34,11--19,11--25,12--28,12--29,12--32,13--17,13--33,14--18,14--27,14--30,15--21,15--28,15--35,16--23,16--33,17--21,17--31,18--22,19--32,19--33,20--24,20--26,20--35,23--24,23--28,24--34,25--29,26--30,30--35
0--6,0--8,0--34,1--6,1--7,1--18,2--21,2--26,2--27,3--5,3--20,3--23,4--29,4--30,4--32,5--13,5--26,6--16,7--8,7--17,8--10,9--20,9--30,9--33,10--24,10--35,11--12,11--14,11--28,12--22,12--30,13--16,13--27,14--23,14--31,15--17,15--28,15--31,16--28,17--32,18--19,18--25,19--21,19--25,20--27,21--32,22--29,22--33,23--34,24--33,24--34,25--29,26--35,31--35
0--8,0--9,0--11,1--16,1--30,1--31,2--24,2--27,2--32,3--6,3--18,3--19,4--6,4--15,4--16,5--25,5--34,5--35,6--20,7--16,7--22,7--34,8--9,8--13,9--29,10--12,10--20,10--33,11--12,11--35,12--15,13--22,13--34,14--21,14--24,14--28,15--17,17--21,17--30,18--19,18--31,19--35,20--29,21--23,22--28,23--26,23--27,24--33,25--27,25--28,26--32,26--33,29--32,30--31
0--17,0--21,0--30,1--7,1--23,1--32,2--11,2--22,2--34,3--10,3--19,3--35,4--5,4--6,4--22,5--18,5--30,6--24,6--27,7--20,7--26,8--20,8--22,8--27,9--16,9--18,9--29,10--21,10--25,11--29,11--33,12--25,12--28,12--31,13--24,13--28,13--31,14--23,14--26,14--35,15--16,15--19,15--33,16--29,17--32,17--34,18--24,19--31,20--28,21--25,23--30,26--32,27--33,34--35
0--5,0--22,0--35,1--4,1--7,1--12,2--3,2--9,2--27,3--12,3--24,4--5,4--19,5--13,6--27,6--33,6--35,7--24,7--26,8--14,8--21,8--27,9--17,9--34,10--14,10--15,10--30,11--14,11--20,11--29,12--18,13--17,13--31,15--22,15--26,16--23,16--28,16--33,17--25,18--24,18--30,19--20,19--25,20--29,21--28,21--32,22--23,23--26,25--30,28--34,29--32,31--32,31--33,34--35
0--24,0--29,0--32,1--7,1--9,1--35,2--19,2--30,2--34,3--11,3--26,3--28,4--13,4--17,4--21,5--11,5--15,5--27,6--16,6--20,6--25,7--14,7--17,8--9,8--15,8--32,9--12,10--20,10--26,10--28,11--24,12--14,12--19,13--29,13--31,14--16,15--27,16--30,17--31,18--22,18--31,18--32,19--21,20--33,21--27,22--23,22--33,23--25,23--28,24--30,25--34,26--29,33--35,34--35
0--12,0--19,0--20,1--19,1--30,1--34,2--9,2--13,2--25,3--8,3--12,3--28,4--14,4--29,4--34,5--6,5--10,5--22,6--20,6--29,7--10,7--25,7--30,8--10,8--27,9--20,9--26,11--15,11--26,11--30,12--21,13--23,13--31,14--23,14--24,15--16,15--18,16--18,16--32,17--24,17--32,17--35,18--22,19--21,21--28,22--33,23--35,24--31,25--29,26--34,27--33,27--35,28--33,31--32
0--4,0--19,0--34,1--10,1--24,1--31,2--11,2--14,2--30,3--18,3--22,3--28,4--16,4--23,5--6,5--15,5--26,6--20,6--27,7--17,7--33,7--34,8--10,8--12,8--30,9--17,9--24,9--27,10--19,11--13,11--24,12--14,12--33,13--16,13--21,14--29,15--17,15--31,16--25,18--29,18--32,19--35,20--25,20--30,21--23,21--32,22--26,22--28,23--35,25--27,26--29,28--33,31--35,32--34
0--9,0--18,0--28,1--19,1--20,1--25,2--6,2--9,2--21,3--11,3--13,3--30,4--17,4--22,4--24,5--26,5--28,5--34,6--16,6--21,7--14,7--17,7--35,8--19,8--26,8--33,9--13,10--20,10--30,10--32,11--29,11--32,12--16,12--20,12--25,13--22,14--27,14--31,15--24,15--28,15--34,16--25,17--23,18--24,18--29,19--35,21--26,22--27,23--30,23--31,27--31,29--34,32--33,33--35
0--7,0--14,0--31,1--3,1--18,1--21,2--17,2--22,2--25,3--12,3--20,4--13,4--16,4--35,5--19,5--23,5--32,6--24,6--30,6--33,7--16,7--35,8--22,8--26,8--28,9--11,9--29,9--30,10--11,10--17,10--24,11--17,12--21,12--23,13--15,13--34,14--22,14--25,15--21,15--24,16--26,18--29,18--35,19--31,19--33,20--27,20--29,23--34,25--27,26--31,27--33,28--32,28--34,30--32
0--7,0--14,0--15,1--7,1--27,1--30,2--12,2--20,2--24,3--8,3--13,3--19,4--10,4--14,4--31,5--6,5--12,5--15,6--7,6--25,8--21,8--26,9--16,9--31,9--33,10--11,10--34,11--22,11--33,12--32,13--16,13--35,14--29,15--34,16--17,17--22,17--35,18--23,18--25,18--29,19--24,19--33,20--23,20--27,21--28,21--35,22--28,23--26,24--28,25--31,26--34,27--30,29--32,30--32
0--5,0--14,0--15,1--7,1--27,1--32,2--9,2--20,2--25,3--10,3--13,3--20,4--7,4--15,4--31,5--6,5--26,6--15,6--34,7--9,8--18,8--24,8--35,9--24,10--20,10--30,11--12,11--21,11--28,12--22,12--26,13--17,13--30,14--19,14--33,16--21,16--28,16--32,17--21,17--35,18--23,18--25,19--29,19--33,22--23,22--28,23--26,24--27,25--31,27--34,29--30,29--33,31--34,32--35
0--8,0--17,0--26,1--12,1--14,1--27,2--15,2--19,2--21,3--9,3--28,3--31,4--7,4--9,4--28,5--18,5--24,5--32,6--21,6--30,6--33,7--18,7--34,8--27,8--30,9--15,10--11,10--13,10--35,11--23,11--33,12--22,12--31,13--16,13--35,14--17,14--31,15--22,16--26,16--30,17--29,18--23,19--20,19--33,20--27,20--34,21--23,22--29,24--25,24--26,25--32,25--34,28--29,32--35
0--22,0--33,0--35,1--10,1--11,1--25,2--20,2--25,2--35,3--6,3--17,3--19,4--13,4--17,4--29,5--9,5--34,5--35,6--18,6--33,7--26,7--30,7--32,8--10,8--28,8--34,9--20,9--21,10--31,11--13,11--27,12--16,12--24,12--32,13--29,14--22,14--28,14--31,15--23,15--26,15--30,16--18,16--32,17--31,18--26,19--24,19--27,20--28,21--22,21--34,23--27,23--29,24--30,25--33
0--26,0--29,0--31,1--23,1--30,1--32,2--7,2--15,2--24,3--4,3--10,3--29,4--5,4--32,5--12,5--25,6--8,6--26,6--30,7--31,7--33,8--19,8--22,9--22,9--30,9--32,10--19,10--28,11--13,11--14,11--31,12--18,12--27,13--17,13--28,14--20,14--33,15--21,15--25,16--22,16--24,16--27,17--23,17--35,18--33,18--34,19--23,20--21,20--29,21--35,24--25,26--34,27--28,34--35
