0--1,0--7,0--17,0--19,1--2,1--10,1--11,2--8,2--14,2--16,3--5,3--7,3--12,3--14,4--6,4--8,4--15,4--19,5--13,5--18,5--19,6--10,6--11,6--18,7--16,7--18,8--9,8--15,9--12,9--15,9--20,10--12,10--14,11--14,11--20,12--20,13--17,13--19,13--20,15--16,16--17,17--18
0--2,0--7,0--14,0--17,1--8,1--10,1--14,1--19,2--6,2--17,2--18,3--12,3--14,3--16,3--18,4--5,4--12,4--16,4--20,5--7,5--13,5--20,6--7,6--12,6--20,7--10,8--9,8--11,8--19,9--11,9--13,9--17,10--15,10--19,11--13,11--16,12--13,14--15,15--18,15--20,16--18,17--19
0--4,0--5,0--6,0--8,1--3,1--8,1--10,1--11,2--10,2--17,2--18,2--20,3--14,3--15,3--20,4--5,4--12,4--19,5--8,5--13,6--9,6--10,6--19,7--13,7--15,7--18,7--20,8--14,9--11,9--13,9--16,10--12,11--14,11--17,12--15,12--16,13--17,14--19,15--16,16--20,17--18,18--19
0--2,0--5,0--7,0--19,1--4,1--6,1--7,1--11,2--5,2--9,2--12,3--5,3--12,3--14,3--16,4--14,4--15,4--16,5--16,6--15,6--17,6--19,7--8,7--13,8--9,8--10,8--11,9--15,9--17,10--13,10--15,10--19,11--14,11--20,12--13,12--20,13--18,14--18,16--17,17--18,18--20,19--20
0--1,0--11,0--18,0--20,1--2,1--5,1--6,2--11,2--14,2--15,3--11,3--17,3--18,3--19,4--5,4--8,4--9,4--19,5--8,5--16,6--12,6--17,6--20,7--9,7--13,7--14,7--15,8--16,8--17,9--10,9--12,10--14,10--16,10--19,11--12,12--18,13--14,13--15,13--20,15--20,16--19,17--18
0--1,0--5,0--6,0--19,1--3,1--10,1--14,2--4,2--13,2--17,2--20,3--12,3--14,3--17,4--7,4--8,4--16,5--6,5--9,5--20,6--15,6--18,7--10,7--11,7--20,8--12,8--13,8--16,9--11,9--18,9--19,10--14,10--19,11--17,11--18,12--14,12--17,13--15,13--20,15--16,15--19,16--18
0--2,0--6,0--10,0--20,1--2,1--3,1--13,1--19,2--11,2--14,3--8,3--9,3--16,4--8,4--14,4--18,4--19,5--7,5--13,5--15,5--19,6--10,6--12,6--15,7--12,7--16,7--20,8--14,8--15,9--10,9--16,9--19,10--17,11--14,11--16,11--18,12--13,12--17,13--17,15--18,17--20,18--20
0--4,0--10,0--12,0--15,1--3,1--4,1--17,1--20,2--7,2--11,2--13,2--20,3--4,3--13,3--19,4--16,5--11,5--13,5--17,5--18,6--8,6--10,6--14,6--18,7--9,7--12,7--14,8--12,8--15,8--19,9--10,9--16,9--20,10--18,11--17,11--20,12--19,13--14,14--16,15--16,15--18,17--19
0--1,0--7,0--9,0--19,1--10,1--12,1--20,2--3,2--4,2--5,2--12,3--6,3--10,3--19,4--11,4--13,4--19,5--8,5--9,5--14,6--9,6--10,6--16,7--11,7--13,7--19,8--11,8--12,8--18,9--17,10--17,11--13,12--20,13--15,14--15,14--16,14--18,15--16,15--20,16--18,17--18,17--20
0--1,0--8,0--10,0--16,1--4,1--5,1--12,2--5,2--13,2--14,2--18,3--11,3--13,3--14,3--19,4--6,4--8,4--15,5--9,5--10,6--7,6--10,6--11,7--9,7--15,7--20,8--15,8--18,9--10,9--12,11--17,11--20,12--13,12--16,13--16,14--15,14--17,16--19,17--19,17--20,18--19,18--20
0--9,0--10,0--14,0--16,1--7,1--12,1--18,1--20,2--4,2--6,2--12,2--13,3--7,3--11,3--14,3--15,4--9,4--17,4--19,5--11,5--13,5--16,5--20,6--14,6--15,6--19,7--17,7--19,8--10,8--14,8--15,8--16,9--12,9--17,10--13,10--20,11--15,11--16,12--18,13--19,17--18,18--20
0--1,0--2,0--5,0--6,1--10,1--17,1--18,2--7,2--9,2--10,3--4,3--9,3--13,3--20,4--12,4--18,4--19,5--12,5--15,5--17,6--12,6--13,6--14,7--15,7--18,7--19,8--10,8--18,8--19,8--20,9--16,9--20,10--14,11--12,11--16,11--17,11--20,13--14,13--16,14--15,15--17,16--19
0--8,0--11,0--13,0--17,1--2,1--5,1--8,1--19,2--13,2--14,2--20,3--6,3--7,3--10,3--11,4--7,4--12,4--14,4--19,5--15,5--16,5--18,6--8,6--12,6--19,7--9,7--15,8--17,9--12,9--14,9--18,10--15,10--17,10--19,11--18,11--20,12--16,13--16,13--18,14--20,15--20,16--17
0--1,0--5,0--12,0--15,1--2,1--5,1--20,2--4,2--9,2--16,3--7,3--8,3--13,3--19,4--6,4--10,4--13,5--18,5--20,6--11,6--19,6--20,7--9,7--11,7--18,8--13,8--14,8--16,9--13,9--17,10--12,10--14,10--16,11--17,11--18,12--16,12--17,14--15,14--17,15--18,15--19,19--20
0--2,0--7,0--15,0--19,1--3,1--13,1--14,1--15,2--3,2--13,2--15,3--5,3--20,4--6,4--11,4--17,4--20,5--9,5--16,5--17,6--8,6--11,6--13,7--10,7--12,7--19,8--16,8--18,8--19,9--10,9--12,9--19,10--16,10--18,11--18,11--20,12--14,12--17,13--14,14--18,15--20,16--17
