0--1,0--24,0--36,0--46,1--38,1--41,1--55,2--9,2--21,2--30,2--43,3--20,3--26,3--31,3--43,4--13,4--32,4--38,4--50,5--10,5--11,5--30,5--35,6--27,6--36,6--43,6--54,7--12,7--25,7--33,7--44,8--10,8--29,8--36,8--37,9--25,9--31,9--54,10--26,10--39,11--18,11--25,11--29,12--29,12--47,12--50,13--42,13--46,13--51,14--19,14--39,14--50,14--54,15--28,15--30,15--52,15--55,16--30,16--42,16--44,16--47,17--24,17--33,17--36,17--53,18--49,18--53,18--55,19--24,19--28,19--51,20--38,20--43,20--52,21--35,21--40,21--45,22--37,22--40,22--48,22--53,23--24,23--27,23--49,23--51,25--33,26--28,26--40,27--34,27--48,28--48,29--46,31--41,31--55,32--34,32--44,32--49,33--37,34--44,34--51,35--37,35--52,38--39,39--47,40--45,41--48,41--53,42--50,42--52,45--47,45--49,46--54
0--10,0--12,0--23,0--36,1--28,1--37,1--40,1--51,2--4,2--6,2--7,2--19,3--24,3--27,3--44,3--53,4--16,4--26,4--44,5--8,5--22,5--43,5--45,6--14,6--26,6--42,7--28,7--31,7--49,8--19,8--24,8--27,9--22,9--36,9--39,9--44,10--39,10--48,10--51,11--19,11--38,11--47,11--53,12--13,12--20,12--45,13--16,13--47,13--54,14--29,14--40,14--55,15--42,15--43,15--46,15--50,16--19,16--21,17--18,17--29,17--33,17--41,18--23,18--32,18--49,20--24,20--31,20--36,21--22,21--35,21--37,22--26,23--28,23--34,24--54,25--30,25--38,25--43,25--47,26--43,27--39,27--48,28--54,29--35,29--46,30--31,30--41,30--48,31--37,32--52,32--53,32--55,33--40,33--45,33--47,34--35,34--41,34--48,35--50,36--44,37--55,38--49,38--52,39--54,40--49,41--46,42--45,42--51,46--52,50--51,50--55,52--53
0--6,0--19,0--39,0--51,1--3,1--9,1--33,1--49,2--28,2--35,2--38,2--40,3--25,3--45,3--49,4--11,4--16,4--36,4--37,5--10,5--17,5--23,5--34,6--10,6--29,6--55,7--15,7--22,7--41,7--48,8--13,8--15,8--16,8--38,9--31,9--53,9--54,10--31,10--55,11--24,11--42,11--46,12--25,12--33,12--34,12--39,13--26,13--32,13--35,14--19,14--28,14--29,14--36,15--22,15--33,16--50,16--52,17--23,17--30,17--47,18--19,18--20,18--26,18--28,19--27,20--30,20--49,20--51,21--42,21--44,21--45,21--47,22--32,22--52,23--39,23--43,24--36,24--54,24--55,25--46,25--50,26--41,26--44,27--40,27--45,27--53,28--34,29--38,29--46,30--36,30--44,31--41,31--51,32--37,32--46,33--54,34--48,35--40,35--43,37--38,37--47,39--43,40--53,41--43,42--50,42--52,44--49,45--50,47--48,48--53,51--55,52--54
0--15,0--19,0--39,0--54,1--29,1--33,1--39,1--44,2--10,2--15,2--32,2--43,3--5,3--16,3--19,3--28,4--38,4--41,4--45,4--47,5--6,5--44,5--53,6--24,6--25,6--27,7--18,7--26,7--42,7--45,8--10,8--15,8--22,8--33,9--13,9--14,9--16,9--20,10--17,10--50,11--14,11--23,11--40,11--46,12--23,12--41,12--49,12--55,13--33,13--37,13--50,14--27,14--42,15--28,16--35,16--36,17--20,17--22,17--50,18--26,18--39,18--48,19--43,19--45,20--30,20--55,21--24,21--40,21--46,21--55,22--41,22--45,23--29,23--54,24--32,24--47,25--27,25--30,25--48,26--34,26--53,27--46,28--36,28--48,29--39,29--44,30--46,30--54,31--32,31--34,31--51,31--52,32--51,33--36,34--35,34--52,35--43,35--53,36--48,37--44,37--47,37--49,38--49,38--52,38--53,40--47,40--51,41--42,42--50,43--51,49--55,52--54
0--4,0--15,0--24,0--51,1--20,1--26,1--36,1--46,2--11,2--42,2--43,2--50,3--6,3--9,3--47,3--54,4--29,4--31,4--34,5--10,5--15,5--16,5--55,6--35,6--44,6--48,7--10,7--42,7--45,7--47,8--23,8--39,8--53,8--55,9--23,9--35,9--49,10--42,10--55,11--12,11--30,11--47,12--37,12--40,12--46,13--15,13--16,13--19,13--24,14--24,14--40,14--46,14--49,15--17,16--23,16--27,17--32,17--43,17--52,18--30,18--37,18--45,18--48,19--24,19--25,19--33,20--21,20--23,20--40,21--31,21--38,21--48,22--26,22--29,22--44,22--47,25--27,25--37,25--51,26--34,26--54,27--31,27--39,28--36,28--38,28--43,28--53,29--31,29--33,30--36,30--53,32--38,32--44,32--48,33--46,33--51,34--35,34--37,35--52,36--40,38--41,39--49,39--55,41--49,41--52,41--53,42--44,43--50,45--50,45--54,50--51,52--54
0--2,0--47,0--51,0--52,1--39,1--41,1--45,1--55,2--8,2--11,2--21,3--4,3--18,3--24,3--25,4--10,4--17,4--43,5--24,5--29,5--36,5--41,6--11,6--17,6--33,6--45,7--19,7--33,7--48,7--51,8--21,8--33,8--42,9--20,9--22,9--41,9--50,10--29,10--37,10--52,11--49,11--52,12--23,12--29,12--35,12--51,13--18,13--33,13--45,13--47,14--15,14--21,14--27,14--45,15--24,15--39,15--53,16--18,16--34,16--46,16--55,17--25,17--38,18--49,19--26,19--35,19--54,20--34,20--42,20--44,21--48,22--31,22--46,22--50,23--27,23--32,23--34,24--46,25--49,25--53,26--27,26--30,26--39,27--42,28--30,28--36,28--43,28--44,29--54,30--34,30--46,31--32,31--42,31--52,32--44,32--47,35--48,35--49,36--38,36--39,37--38,37--40,37--51,38--41,40--43,40--48,40--50,43--50,44--47,53--54,53--55,54--55
0--21,0--34,0--50,0--52,1--20,1--21,1--29,1--55,2--6,2--13,2--25,2--42,3--23,3--40,3--41,3--44,4--9,4--12,4--22,4--38,5--23,5--24,5--28,5--34,6--20,6--33,6--36,7--16,7--28,7--33,7--47,8--16,8--19,8--49,8--50,9--15,9--24,9--51,10--13,10--19,10--35,10--55,11--13,11--32,11--39,11--54,12--15,12--26,12--48,13--25,14--22,14--35,14--45,14--46,15--18,15--44,16--48,16--52,17--21,17--29,17--50,17--52,18--22,18--31,18--46,19--20,19--42,20--36,21--23,22--47,23--53,24--43,24--54,25--30,25--47,26--31,26--37,26--44,27--29,27--42,27--49,27--53,28--32,28--43,29--40,30--36,30--41,30--54,31--41,31--51,32--33,32--48,33--40,34--39,34--55,35--46,35--55,36--49,37--39,37--48,37--50,38--39,38--44,38--52,40--53,41--42,43--45,43--49,45--51,45--54,46--51,47--53
0--12,0--40,0--45,0--51,1--5,1--10,1--30,1--51,2--15,2--21,2--28,2--49,3--8,3--12,3--19,3--40,4--7,4--9,4--41,4--51,5--24,5--34,5--41,6--17,6--20,6--26,6--53,7--11,7--31,7--48,8--10,8--13,8--38,9--13,9--29,9--54,10--21,10--47,11--14,11--23,11--24,12--47,12--55,13--27,13--28,14--23,14--44,14--53,15--16,15--38,15--50,16--31,16--43,16--54,17--27,17--30,17--52,18--40,18--42,18--52,18--55,19--29,19--34,19--38,20--47,20--49,20--52,21--39,21--40,22--26,22--27,22--29,22--48,23--43,23--50,24--25,24--52,25--28,25--33,25--55,26--36,26--47,27--37,28--44,29--30,30--42,31--45,31--50,32--35,32--36,32--46,32--48,33--39,33--49,33--54,34--43,34--48,35--37,35--39,35--42,36--41,36--55,37--43,37--50,38--41,39--44,42--45,44--53,45--49,46--51,46--53,46--54
0--11,0--12,0--20,0--42,1--10,1--13,1--27,1--34,2--5,2--23,2--51,2--53,3--18,3--29,3--30,3--49,4--29,4--34,4--41,4--53,5--28,5--30,5--54,6--11,6--17,6--24,6--46,7--41,7--44,7--45,7--46,8--12,8--19,8--20,8--49,9--15,9--23,9--31,9--38,10--17,10--37,10--54,11--30,11--42,12--35,12--50,13--36,13--51,13--53,14--19,14--28,14--31,14--55,15--18,15--43,15--44,16--20,16--27,16--46,16--55,17--27,17--49,18--45,18--51,19--25,19--33,20--50,21--29,21--45,21--48,21--52,22--26,22--29,22--39,22--54,23--24,23--47,24--25,24--54,25--31,25--52,26--27,26--32,26--34,28--38,28--48,30--34,31--40,32--40,32--50,32--55,33--37,33--41,33--51,35--39,35--44,35--52,36--38,36--45,36--47,37--42,37--48,38--53,39--43,39--50,40--43,40--49,41--42,43--47,44--47,46--55,48--52
0--9,0--24,0--49,0--55,1--19,1--25,1--34,1--51,2--7,2--21,2--49,2--51,3--13,3--45,3--49,3--54,4--14,4--15,4--32,4--33,5--18,5--33,5--40,5--51,6--20,6--38,6--50,6--54,7--29,7--48,7--49,8--14,8--25,8--32,8--44,9--12,9--35,9--50,10--23,10--27,10--31,10--36,11--28,11--37,11--38,11--46,12--17,12--26,12--46,13--21,13--39,13--52,14--19,14--42,15--23,15--26,15--28,16--25,16--26,16--31,16--55,17--36,17--41,17--42,18--28,18--37,18--53,19--22,19--45,20--30,20--40,20--46,21--30,21--39,22--32,22--33,22--34,23--47,23--50,24--38,24--40,24--48,25--41,26--53,27--30,27--43,27--51,28--46,29--30,29--33,29--48,31--35,31--39,32--35,34--41,34--52,35--36,36--48,37--43,37--44,38--43,39--40,41--45,42--45,42--54,43--47,44--50,44--55,47--52,47--53,52--55,53--54
0--10,0--12,0--14,0--47,1--6,1--15,1--38,1--44,2--7,2--15,2--53,2--55,3--30,3--39,3--46,3--51,4--9,4--10,4--17,4--25,5--18,5--23,5--44,5--51,6--20,6--40,6--43,7--28,7--31,7--44,8--21,8--32,8--52,8--54,9--26,9--42,9--47,10--28,10--35,11--14,11--23,11--26,11--41,12--25,12--40,12--46,13--17,13--33,13--39,13--52,14--21,14--42,15--27,15--50,16--24,16--29,16--36,16--46,17--30,17--53,18--21,18--22,18--49,19--25,19--38,19--41,19--47,20--28,20--37,20--50,21--33,22--31,22--34,22--54,23--31,23--45,24--29,24--32,24--54,25--44,26--48,26--51,27--35,27--37,27--39,28--48,29--34,29--37,30--36,30--49,31--42,32--40,32--55,33--49,33--52,34--43,34--55,35--37,35--38,36--45,36--53,38--50,39--48,40--55,41--43,41--54,42--51,43--50,45--49,45--53,46--47,48--52
0--4,0--14,0--42,0--45,1--16,1--28,1--33,1--47,2--3,2--22,2--26,2--41,3--27,3--35,3--46,4--14,4--33,4--37,5--34,5--39,5--45,5--53,6--35,6--52,6--53,6--55,7--9,7--25,7--33,7--46,8--17,8--49,8--52,8--53,9--10,9--36,9--49,10--31,10--38,10--51,11--15,11--25,11--50,11--54,12--19,12--29,12--49,12--55,13--14,13--39,13--42,13--47,14--30,15--24,15--34,15--40,16--32,16--43,16--53,17--40,17--44,17--52,18--23,18--37,18--46,18--48,19--23,19--26,19--36,20--28,20--29,20--30,20--42,21--27,21--30,21--43,21--46,22--39,22--48,22--51,23--43,23--50,24--25,24--31,24--37,25--47,26--33,26--48,27--41,27--52,28--40,28--50,29--38,29--44,30--50,31--32,31--34,32--38,32--54,34--54,35--51,35--55,36--45,36--49,37--39,38--43,40--44,41--44,41--55,42--51,45--48,47--54
0--1,0--3,0--37,0--48,1--30,1--49,1--52,2--9,2--11,2--27,2--51,3--14,3--22,3--26,4--16,4--27,4--51,4--53,5--42,5--46,5--47,5--55,6--31,6--34,6--44,6--49,7--15,7--41,7--45,7--54,8--14,8--15,8--20,8--28,9--13,9--24,9--53,10--28,10--32,10--40,10--45,11--43,11--46,11--48,12--18,12--33,12--39,12--54,13--18,13--24,13--39,14--24,14--34,15--31,15--35,16--17,16--47,16--55,17--18,17--38,17--44,18--25,19--20,19--22,19--51,19--54,20--26,20--50,21--24,21--29,21--38,21--39,22--30,22--39,23--28,23--29,23--40,23--43,25--29,25--40,25--50,26--29,26--30,27--43,27--44,28--35,30--52,31--37,31--42,32--36,32--38,32--45,33--35,33--37,33--38,34--46,34--53,35--42,36--47,36--49,36--50,37--49,40--41,41--53,41--54,42--52,43--47,44--55,45--55,46--48,48--51,50--52
0--6,0--8,0--18,0--27,1--8,1--17,1--18,1--19,2--8,2--9,2--13,2--55,3--31,3--36,3--40,3--44,4--10,4--25,4--27,4--54,5--20,5--24,5--28,5--46,6--19,6--27,6--46,7--10,7--14,7--24,7--45,8--21,9--43,9--47,9--54,10--43,10--55,11--14,11--33,11--42,11--55,12--31,12--35,12--42,12--50,13--26,13--34,13--53,14--25,14--33,15--17,15--30,15--38,15--53,16--18,16--45,16--50,16--53,17--23,17--28,18--22,19--35,19--49,20--38,20--47,20--52,21--35,21--37,21--39,22--32,22--41,22--48,23--30,23--39,23--41,24--39,24--55,25--46,25--52,26--39,26--40,26--51,27--51,28--41,28--43,29--32,29--37,29--38,29--42,30--44,30--49,31--36,31--41,32--45,32--52,33--34,33--38,34--47,34--52,35--49,36--44,36--45,37--42,37--47,40--43,40--53,44--48,46--50,48--49,48--54,50--51,51--54
0--14,0--23,0--38,0--48,1--9,1--24,1--27,1--55,2--15,2--18,2--38,2--44,3--6,3--18,3--19,3--48,4--9,4--13,4--30,4--52,5--11,5--24,5--32,5--46,6--34,6--47,6--49,7--36,7--43,7--45,7--47,8--16,8--41,8--42,8--55,9--27,9--40,10--14,10--20,10--25,10--42,11--35,11--36,11--50,12--13,12--34,12--47,12--51,13--27,13--50,14--30,14--44,15--26,15--38,15--55,16--25,16--29,16--52,17--37,17--42,17--46,17--51,18--28,18--52,19--20,19--21,19--36,20--37,20--51,21--25,21--33,21--40,22--33,22--49,22--51,22--52,23--31,23--39,23--46,24--27,24--43,25--29,26--33,26--45,26--53,28--29,28--37,28--41,29--35,30--54,30--55,31--42,31--43,31--45,32--39,32--47,32--54,33--41,34--35,34--44,35--45,36--38,37--53,39--48,39--50,40--49,40--53,41--54,43--49,44--46,48--54,50--53
0--14,0--15,0--25,0--40,1--8,1--25,1--26,1--53,2--8,2--40,2--48,2--50,3--4,3--44,3--52,3--55,4--21,4--32,4--37,5--29,5--39,5--41,5--46,6--18,6--31,6--33,6--54,7--36,7--38,7--42,7--51,8--21,8--30,9--10,9--18,9--25,9--27,10--34,10--46,10--51,11--19,11--42,11--43,11--52,12--16,12--17,12--23,12--55,13--14,13--27,13--30,13--39,14--18,14--32,15--20,15--29,15--49,16--20,16--43,16--47,17--21,17--31,17--37,18--55,19--26,19--46,19--48,20--24,20--51,21--42,22--35,22--36,22--48,22--50,23--27,23--33,23--52,24--26,24--44,24--47,25--31,26--29,27--43,28--29,28--40,28--50,28--53,30--37,30--38,31--33,32--39,32--41,33--49,34--36,34--51,34--54,35--45,35--49,35--55,36--38,37--41,38--45,39--41,40--52,42--46,43--48,44--45,44--53,45--54,47--50,47--54,49--53
0--3,0--41,0--50,0--51,1--17,1--24,1--31,1--46,2--8,2--10,2--33,2--45,3--16,3--29,3--47,4--5,4--44,4--49,4--55,5--22,5--32,5--35,6--10,6--33,6--37,6--53,7--26,7--30,7--42,7--49,8--19,8--22,8--51,9--12,9--28,9--35,9--52,10--23,10--44,11--12,11--18,11--37,11--48,12--31,12--44,13--20,13--28,13--34,13--45,14--29,14--31,14--49,14--53,15--20,15--21,15--43,15--53,16--18,16--43,16--45,17--28,17--40,17--51,18--42,18--48,19--21,19--23,19--55,20--22,20--39,21--33,21--50,22--52,23--27,23--53,24--26,24--38,24--50,25--29,25--36,25--37,25--42,26--38,26--42,27--32,27--35,27--54,28--44,29--47,30--31,30--36,30--38,32--46,32--49,33--37,34--38,34--41,34--50,35--54,36--41,36--47,39--46,39--47,39--48,40--52,40--54,40--55,41--55,43--45,43--46,48--51,52--54
0--4,0--8,0--10,0--31,1--5,1--6,1--15,1--53,2--17,2--33,2--47,2--49,3--11,3--19,3--21,3--32,4--24,4--30,4--41,5--16,5--23,5--38,6--8,6--40,6--52,7--11,7--18,7--23,7--55,8--26,8--45,9--17,9--42,9--44,9--51,10--19,10--35,10--43,11--43,11--53,12--14,12--22,12--30,12--31,13--32,13--38,13--44,13--51,14--27,14--34,14--48,15--16,15--29,15--52,16--26,16--37,17--35,17--36,18--31,18--37,18--54,19--36,19--50,20--28,20--40,20--45,20--50,21--34,21--46,21--54,22--25,22--29,22--37,23--25,23--33,24--28,24--41,24--45,25--28,25--29,26--33,26--44,27--36,27--49,27--52,28--39,29--40,30--43,30--47,31--42,32--34,32--36,33--48,34--48,35--45,35--55,37--47,38--41,38--50,39--49,39--53,39--55,40--41,42--51,42--52,43--46,44--46,46--54,47--49,48--50,51--53,54--55
0--14,0--17,0--25,0--26,1--9,1--40,1--49,1--51,2--3,2--17,2--23,2--48,3--14,3--28,3--45,4--11,4--12,4--22,4--24,5--6,5--18,5--24,5--30,6--22,6--29,6--50,7--9,7--28,7--33,7--41,8--11,8--35,8--38,8--41,9--12,9--46,10--34,10--48,10--49,10--52,11--31,11--51,12--13,12--43,13--23,13--47,13--50,14--18,14--32,15--17,15--29,15--36,15--42,16--20,16--34,16--47,16--54,17--25,18--24,18--41,19--32,19--39,19--40,19--48,20--26,20--35,20--52,21--22,21--33,21--43,21--45,22--55,23--29,23--44,24--51,25--32,25--36,26--47,26--52,27--28,27--33,27--39,27--45,28--43,29--31,30--34,30--36,30--52,31--37,31--51,32--50,33--46,34--50,35--37,35--42,36--49,37--40,37--54,38--44,38--53,38--55,39--42,39--54,40--45,41--53,42--44,43--47,44--55,46--53,46--54,48--53,49--55
0--5,0--14,0--28,0--35,1--2,1--10,1--28,1--29,2--23,2--27,2--29,3--4,3--24,3--30,3--43,4--18,4--25,4--39,5--25,5--38,5--43,6--21,6--28,6--43,6--54,7--19,7--34,7--45,7--47,8--22,8--24,8--32,8--48,9--20,9--46,9--48,9--52,10--22,10--30,10--51,11--27,11--36,11--37,11--53,12--17,12--42,12--49,12--51,13--31,13--34,13--38,13--44,14--17,14--32,14--39,15--21,15--27,15--32,15--40,16--21,16--22,16--37,16--40,17--30,17--55,18--19,18--24,18--53,19--25,19--48,20--29,20--30,20--35,21--55,22--52,23--26,23--52,23--54,24--40,25--33,26--34,26--41,26--49,27--50,28--40,29--38,31--37,31--39,31--42,32--55,33--49,33--52,33--55,34--50,35--41,35--48,36--37,36--45,36--50,38--46,39--51,41--42,41--45,42--47,43--46,44--47,44--51,44--54,45--49,46--47,50--53,53--54
0--11,0--26,0--39,0--50,1--13,1--18,1--33,1--36,2--3,2--16,2--36,2--55,3--16,3--22,3--30,4--6,4--12,4--44,4--49,5--7,5--16,5--25,5--47,6--23,6--29,6--31,7--10,7--33,7--54,8--27,8--34,8--37,8--45,9--11,9--37,9--46,9--54,10--14,10--23,10--36,11--27,11--40,12--15,12--25,12--29,13--20,13--27,13--30,14--28,14--38,14--48,15--18,15--29,15--55,16--44,17--32,17--38,17--47,17--55,18--21,18--24,19--20,19--32,19--45,19--55,20--35,20--39,21--30,21--43,21--48,22--40,22--46,22--53,23--43,23--53,24--33,24--47,24--50,25--35,25--46,26--35,26--41,26--52,27--30,28--34,28--40,28--49,29--40,31--39,31--41,31--43,32--45,32--52,33--52,34--42,34--48,35--54,36--51,37--42,37--44,38--46,38--51,39--48,41--44,41--53,42--49,42--51,43--52,45--51,47--49,50--53,50--54
