0--11,0--14,0--17,1--9,1--15,1--20,2--16,2--18,2--26,3--6,3--17,3--21,4--20,4--25,4--27,5--7,5--10,5--22,6--10,6--13,7--22,7--28,8--12,8--19,8--29,9--11,9--26,10--12,11--14,12--19,13--16,13--26,14--28,15--21,15--23,16--25,17--29,18--24,18--27,19--29,20--25,21--28,22--23,23--24,24--27
0--3,0--8,0--15,1--11,1--20,1--23,2--4,2--9,2--15,3--4,3--12,4--7,5--24,5--25,5--26,6--8,6--11,6--27,7--9,7--13,8--28,9--17,10--16,10--20,10--22,11--22,12--18,12--28,13--19,13--20,14--18,14--21,14--29,15--28,16--25,16--26,17--23,17--29,18--25,19--22,19--27,21--24,21--27,23--26,24--29
0--9,0--20,0--26,1--3,1--7,1--20,2--3,2--9,2--14,3--7,4--5,4--16,4--18,5--6,5--8,6--25,6--29,7--23,8--24,8--27,9--10,10--18,10--27,11--12,11--17,11--28,12--15,12--26,13--19,13--25,13--29,14--17,14--21,15--21,15--23,16--17,16--22,18--26,19--20,19--28,21--27,22--23,22--24,24--29,25--28
0--4,0--7,0--29,1--2,1--16,1--19,2--7,2--8,3--11,3--21,3--26,4--5,4--15,5--7,5--15,6--11,6--21,6--29,8--14,8--18,9--12,9--17,9--26,10--11,10--25,10--28,12--20,12--27,13--14,13--19,13--22,14--18,15--16,16--24,17--18,17--28,19--24,20--21,20--23,22--23,22--27,23--27,24--25,25--28,26--29
0--8,0--14,0--17,1--5,1--10,1--27,2--17,2--25,2--29,3--5,3--20,3--21,4--9,4--21,4--23,5--26,6--12,6--16,6--26,7--14,7--19,7--22,8--12,8--14,9--15,9--24,10--18,10--28,11--25,11--26,11--28,12--16,13--15,13--18,13--22,15--18,16--27,17--19,19--29,20--24,20--27,21--23,22--23,24--29,25--28
0--3,0--16,0--22,1--5,1--18,1--27,2--7,2--19,2--24,3--5,3--24,4--7,4--14,4--17,5--20,6--7,6--14,6--18,8--16,8--23,8--24,9--10,9--12,9--29,10--11,10--13,11--13,11--19,12--20,12--28,13--15,14--15,15--29,16--26,17--22,17--25,18--28,19--27,20--21,21--23,21--26,22--29,23--25,25--27,26--28
0--1,0--10,0--17,1--9,1--21,2--6,2--9,2--12,3--8,3--14,3--29,4--19,4--27,4--28,5--18,5--20,5--26,6--16,6--21,7--13,7--17,7--29,8--14,8--15,9--24,10--15,10--22,11--20,11--28,11--29,12--14,12--26,13--23,13--25,15--25,16--19,16--20,17--28,18--24,18--25,19--24,21--27,22--23,22--27,23--26
0--4,0--18,0--25,1--7,1--8,1--19,2--11,2--23,2--27,3--6,3--8,3--20,4--14,4--22,5--10,5--11,5--17,6--19,6--26,7--9,7--23,8--29,9--13,9--14,10--20,10--21,11--28,12--16,12--21,12--28,13--18,13--19,14--26,15--18,15--22,15--27,16--17,16--21,17--25,20--24,22--27,23--24,24--26,25--29,28--29
0--15,0--18,0--22,1--4,1--8,1--12,2--7,2--12,2--18,3--8,3--9,3--17,4--14,4--15,5--13,5--21,5--28,6--7,6--10,6--18,7--10,8--9,9--27,10--15,11--19,11--20,11--23,12--24,13--19,13--29,14--19,14--22,16--21,16--27,16--29,17--20,17--23,20--25,21--26,22--24,23--28,24--26,25--28,25--29,26--27
0--7,0--12,0--26,1--19,1--24,1--29,2--4,2--14,2--20,3--10,3--15,3--21,4--20,4--23,5--11,5--15,5--28,6--8,6--16,6--27,7--14,7--17,8--21,8--26,9--10,9--13,9--25,10--19,11--16,11--22,12--14,12--23,13--17,13--25,15--28,16--17,18--20,18--21,18--27,19--29,22--27,22--28,23--24,24--29,25--26
0--2,0--7,0--22,1--2,1--9,1--17,2--11,3--6,3--16,3--29,4--8,4--20,4--28,5--7,5--10,5--29,6--12,6--24,7--21,8--9,8--14,9--14,10--15,10--19,11--19,11--21,12--16,12--20,13--22,13--23,13--25,14--26,15--22,15--28,16--24,17--18,17--23,18--24,18--26,19--27,20--27,21--29,23--26,25--27,25--28
0--9,0--18,0--24,1--4,1--15,1--24,2--15,2--16,2--26,3--4,3--15,3--20,4--13,5--16,5--17,5--25,6--10,6--13,6--14,7--12,7--27,7--28,8--10,8--19,8--21,9--13,9--25,10--21,11--12,11--19,11--22,12--29,14--20,14--26,16--27,17--21,17--22,18--23,18--25,19--28,20--24,22--23,23--26,27--29,28--29
0--25,0--26,0--28,1--3,1--14,1--17,2--17,2--23,2--29,3--21,3--27,4--6,4--7,4--26,5--12,5--16,5--27,6--13,6--20,7--13,7--28,8--10,8--14,8--18,9--11,9--21,9--23,10--16,10--29,11--20,11--22,12--19,12--26,13--15,14--25,15--18,15--22,16--24,17--29,18--19,19--24,20--24,21--25,22--23,27--28
0--18,0--23,0--24,1--14,1--15,1--27,2--17,2--22,2--27,3--16,3--26,3--28,4--5,4--9,4--19,5--22,5--23,6--7,6--23,6--25,7--12,7--25,8--12,8--16,8--17,9--24,9--27,10--11,10--19,10--22,11--18,11--21,12--26,13--15,13--20,13--28,14--24,14--29,15--20,16--21,17--19,18--25,20--28,21--29,26--29
0--11,0--20,0--29,1--2,1--3,1--27,2--11,2--21,3--9,3--17,4--7,4--9,4--15,5--11,5--28,5--29,6--17,6--18,6--24,7--14,7--27,8--9,8--21,8--24,10--16,10--19,10--22,12--13,12--17,12--23,13--15,13--26,14--18,14--26,15--22,16--20,16--25,18--19,19--28,20--25,21--24,22--23,23--28,25--29,26--27
0--4,0--7,0--23,1--13,1--22,1--26,2--5,2--12,2--23,3--19,3--26,3--27,4--21,4--22,5--9,5--11,6--7,6--12,6--18,7--27,8--10,8--11,8--13,9--25,9--29,10--19,10--20,11--21,12--15,13--24,14--17,14--18,14--28,15--25,15--27,16--20,16--21,16--24,17--26,17--28,18--29,19--25,20--22,23--29,24--28
0--2,0--5,0--12,1--7,1--16,1--18,2--4,2--8,3--21,3--26,3--28,4--12,4--19,5--9,5--11,6--8,6--14,6--24,7--13,7--20,8--23,9--11,9--27,10--16,10--23,10--28,11--18,12--25,13--26,13--28,14--22,14--24,15--17,15--25,15--29,16--29,17--21,17--26,18--23,19--27,19--29,20--21,20--24,22--25,22--27
0--3,0--15,0--21,1--7,1--8,1--23,2--6,2--18,2--29,3--13,3--25,4--5,4--13,4--23,5--25,5--28,6--17,6--27,7--10,7--16,8--10,8--12,9--20,9--21,9--28,10--29,11--14,11--17,11--24,12--14,12--26,13--22,14--21,15--26,15--29,16--17,16--19,18--19,18--27,19--24,20--22,20--25,22--24,23--28,26--27
0--2,0--9,0--19,1--19,1--25,1--27,2--17,2--29,3--7,3--14,3--23,4--9,4--23,4--25,5--12,5--16,5--26,6--22,6--26,6--27,7--14,7--18,8--12,8--15,8--29,9--12,10--16,10--21,10--28,11--24,11--28,11--29,13--20,13--21,13--24,14--25,15--22,15--27,16--28,17--18,17--19,18--20,20--24,21--23,22--26
0--2,0--14,0--23,1--4,1--20,1--28,2--7,2--8,3--20,3--27,3--28,4--5,4--21,5--15,5--24,6--9,6--18,6--19,7--12,7--17,8--10,8--15,9--18,9--22,10--18,10--22,11--20,11--23,11--28,12--27,12--29,13--21,13--25,13--29,14--16,14--26,15--16,16--29,17--24,17--26,19--21,19--23,22--25,24--27,25--26
0--16,0--26,0--27,1--11,1--19,1--28,2--8,2--15,2--28,3--8,3--25,3--26,4--25,4--27,4--29,5--6,5--12,5--15,6--7,6--26,7--22,7--24,8--9,9--12,9--18,10--23,10--25,10--28,11--14,11--23,12--16,13--21,13--22,13--23,14--17,14--22,15--24,16--21,17--19,17--29,18--20,18--27,19--29,20--21,20--24
0--18,0--20,0--25,1--2,1--27,1--28,2--9,2--27,3--10,3--13,3--26,4--9,4--20,4--24,5--7,5--14,5--22,6--14,6--18,6--23,7--8,7--17,8--16,8--17,9--19,10--15,10--22,11--19,11--26,11--27,12--15,12--16,12--25,13--22,13--28,14--24,15--23,16--19,17--28,18--29,20--21,21--25,21--29,23--29,24--26
0--3,0--11,0--12,1--5,1--23,1--29,2--3,2--7,2--18,3--12,4--15,4--18,4--24,5--13,5--20,6--12,6--26,6--29,7--8,7--22,8--21,8--25,9--16,9--27,9--28,10--13,10--16,10--28,11--15,11--23,13--15,14--20,14--21,14--29,16--19,17--20,17--22,17--24,18--25,19--25,19--27,21--28,22--26,23--27,24--26
0--7,0--9,0--15,1--5,1--11,1--12,2--10,2--14,2--22,3--4,3--7,3--26,4--23,4--28,5--6,5--21,6--12,6--24,7--22,8--9,8--12,8--16,9--25,10--21,10--27,11--24,11--29,13--17,13--21,13--25,14--15,14--25,15--28,16--22,16--29,17--20,17--27,18--20,18--23,18--24,19--20,19--28,19--29,23--26,26--27
0--3,0--10,0--22,1--8,1--22,1--27,2--5,2--6,2--7,3--7,3--26,4--7,4--10,4--20,5--8,5--13,6--16,6--27,8--14,9--10,9--13,9--18,11--17,11--22,11--24,12--20,12--24,12--29,13--19,14--15,14--27,15--19,15--21,16--18,16--26,17--19,17--29,18--28,20--25,21--23,21--25,23--24,23--28,25--29,26--28
0--11,0--15,0--23,1--9,1--10,1--19,2--12,2--17,2--18,3--9,3--12,3--27,4--6,4--21,4--29,5--6,5--14,5--18,6--12,7--10,7--14,7--21,8--14,8--20,8--22,9--13,10--23,11--16,11--29,13--24,13--25,15--16,15--24,16--22,17--22,17--23,18--26,19--20,19--21,20--27,24--25,25--28,26--27,26--28,28--29
0--11,0--21,0--24,1--9,1--10,1--26,2--4,2--8,2--26,3--13,3--16,3--22,4--23,4--29,5--9,5--22,5--26,6--11,6--15,6--25,7--11,7--15,7--20,8--9,8--19,10--19,10--27,12--13,12--18,12--23,13--22,14--17,14--21,14--27,15--24,16--20,16--21,17--28,17--29,18--23,18--27,19--24,20--28,25--28,25--29
0--1,0--16,0--22,1--9,1--12,2--4,2--6,2--16,3--12,3--15,3--28,4--19,4--25,5--10,5--14,5--23,6--21,6--28,7--14,7--19,7--22,8--9,8--11,8--28,9--26,10--19,10--20,11--13,11--18,12--24,13--25,13--27,14--23,15--16,15--27,17--21,17--22,17--24,18--26,18--29,20--23,20--25,21--29,24--29,26--27
0--12,0--16,0--25,1--19,1--20,1--27,2--6,2--22,2--29,3--9,3--24,3--27,4--11,4--17,4--24,5--6,5--10,5--23,6--19,7--8,7--13,7--21,8--9,8--14,9--18,10--14,10--25,11--22,11--28,12--15,12--26,13--17,13--28,14--29,15--24,15--29,16--22,16--23,17--21,18--19,18--20,20--23,21--26,25--26,27--28
0--18,0--24,0--28,1--18,1--20,1--26,2--13,2--20,2--23,3--5,3--19,3--21,4--10,4--11,4--14,5--12,5--28,6--14,6--27,6--29,7--10,7--16,7--22,8--9,8--15,8--21,9--14,9--16,10--26,11--12,11--29,12--20,13--15,13--25,15--16,17--19,17--22,17--25,18--23,19--22,21--24,23--29,24--27,25--26,27--28
0--10,0--17,0--27,1--9,1--17,1--27,2--3,2--7,2--13,3--15,3--26,4--8,4--24,4--26,5--9,5--18,5--28,6--7,6--15,6--29,7--21,8--18,8--23,9--13,10--19,10--23,11--14,11--24,11--25,12--14,12--21,12--23,13--18,14--24,15--16,16--17,16--29,19--21,19--22,20--22,20--25,20--28,22--26,25--29,27--28
0--2,0--23,0--25,1--5,1--6,1--11,2--8,2--11,3--8,3--13,3--19,4--12,4--16,4--24,5--6,5--27,6--9,7--9,7--15,7--27,8--29,9--24,10--13,10--14,10--22,11--17,12--13,12--16,14--15,14--26,15--25,16--29,17--20,17--26,18--21,18--23,18--28,19--21,19--22,20--26,20--28,21--23,22--24,25--29,27--28
0--15,0--25,0--29,1--16,1--17,1--22,2--10,2--14,2--19,3--5,3--8,3--11,4--21,4--23,4--26,5--14,5--25,6--15,6--19,6--20,7--18,7--23,7--27,8--22,8--25,9--19,9--20,9--26,10--16,10--27,11--13,11--17,12--18,12--21,12--23,13--17,13--20,14--24,15--16,18--28,21--28,22--29,24--26,24--29,27--28
0--16,0--19,0--23,1--17,1--18,1--21,2--10,2--18,2--29,3--9,3--13,3--29,4--7,4--13,4--28,5--11,5--23,5--26,6--8,6--10,6--21,7--17,7--24,8--15,8--22,9--21,9--28,10--14,11--24,11--25,12--18,12--20,12--27,13--15,14--24,14--29,15--27,16--19,16--27,17--25,19--23,20--22,20--25,22--26,26--28
0--9,0--12,0--20,1--4,1--10,1--29,2--18,2--27,2--28,3--18,3--23,3--25,4--16,4--24,5--9,5--14,5--28,6--7,6--10,6--28,7--8,7--13,8--17,8--21,9--19,10--22,11--19,11--24,11--26,12--25,12--29,13--16,13--17,14--23,14--29,15--20,15--26,15--27,16--19,17--26,18--24,20--22,21--23,21--25,22--27
0--7,0--14,0--22,1--11,1--19,1--24,2--6,2--25,2--27,3--15,3--16,3--29,4--7,4--12,4--14,5--20,5--24,5--28,6--9,6--21,7--20,8--13,8--17,8--26,9--14,9--26,10--16,10--23,10--26,11--23,11--27,12--15,12--16,13--21,13--23,15--21,17--22,17--29,18--24,18--27,18--28,19--25,19--29,20--25,22--28
0--1,0--12,0--25,1--2,1--9,2--4,2--11,3--9,3--13,3--29,4--7,4--27,5--14,5--17,5--28,6--18,6--22,6--26,7--10,7--12,8--18,8--23,8--26,9--11,10--13,10--15,11--23,12--16,13--29,14--24,14--25,15--16,15--17,16--25,17--28,18--20,19--20,19--21,19--29,20--24,21--27,21--28,22--23,22--26,24--27
0--1,0--10,0--12,1--8,1--29,2--13,2--18,2--27,3--14,3--19,3--23,4--6,4--15,4--16,5--10,5--12,5--26,6--10,6--19,7--8,7--20,7--24,8--16,9--11,9--26,9--28,11--21,11--28,12--18,13--23,13--27,14--16,14--25,15--17,15--22,17--21,17--24,18--25,19--24,20--27,20--29,21--23,22--26,22--29,25--28
0--19,0--22,0--29,1--18,1--20,1--23,2--3,2--5,2--7,3--12,3--28,4--9,4--13,4--23,5--14,5--28,6--8,6--12,6--13,7--20,7--27,8--14,8--28,9--26,9--27,10--15,10--16,10--25,11--18,11--22,11--29,12--27,13--24,14--15,15--24,16--19,16--26,17--20,17--21,17--26,18--25,19--24,21--25,21--29,22--23
0--4,0--19,0--26,1--14,1--23,1--26,2--13,2--18,2--26,3--16,3--22,3--24,4--24,4--28,5--9,5--16,5--19,6--12,6--25,6--28,7--10,7--12,7--27,8--20,8--23,8--27,9--10,9--25,10--27,11--16,11--17,11--20,12--23,13--21,13--22,14--15,14--20,15--19,15--21,17--18,17--29,18--25,21--24,22--29,28--29
0--12,0--23,0--24,1--2,1--26,1--29,2--3,2--22,3--5,3--29,4--16,4--17,4--28,5--20,5--27,6--12,6--21,6--25,7--14,7--16,7--20,8--9,8--14,8--23,9--16,9--28,10--24,10--27,10--29,11--18,11--20,11--23,12--21,13--21,13--25,13--27,14--22,15--17,15--18,15--26,17--19,18--28,19--22,19--25,24--26
0--1,0--9,0--27,1--10,1--16,2--12,2--18,2--19,3--5,3--6,3--17,4--14,4--16,4--20,5--15,5--29,6--12,6--26,7--11,7--23,7--29,8--14,8--24,8--28,9--18,9--25,10--14,10--22,11--22,11--29,12--23,13--15,13--17,13--28,15--24,16--20,17--25,18--22,19--20,19--26,21--25,21--26,21--27,23--27,24--28
0--8,0--19,0--23,1--11,1--19,1--20,2--13,2--22,2--29,3--14,3--21,3--23,4--12,4--21,4--23,5--6,5--10,5--29,6--16,6--26,7--17,7--18,7--26,8--9,8--15,9--11,9--19,10--13,10--24,11--21,12--20,12--24,13--22,14--20,14--25,15--18,15--28,16--27,16--28,17--18,17--27,22--24,25--28,25--29,26--27
0--14,0--19,0--20,1--12,1--24,1--27,2--7,2--18,2--28,3--4,3--6,3--16,4--22,4--28,5--6,5--14,5--21,6--26,7--10,7--11,8--19,8--20,8--22,9--13,9--15,9--23,10--17,10--28,11--23,11--27,12--15,12--21,13--19,13--25,14--25,15--29,16--18,16--27,17--18,17--25,20--29,21--24,22--29,23--26,24--26
0--3,0--15,0--23,1--9,1--10,1--11,2--4,2--5,2--14,3--16,3--23,4--6,4--13,5--26,5--28,6--12,6--18,7--19,7--25,7--29,8--17,8--19,8--24,9--21,9--23,10--12,10--13,11--15,11--18,12--28,13--20,14--16,14--28,15--27,16--29,17--24,17--27,18--21,19--22,20--22,20--25,21--25,22--26,24--26,27--29
0--12,0--15,0--21,1--19,1--27,1--29,2--5,2--18,2--29,3--7,3--11,3--29,4--13,4--16,4--22,5--10,5--18,6--14,6--15,6--16,7--17,7--27,8--14,8--15,8--23,9--12,9--20,9--23,10--20,10--21,11--24,11--28,12--23,13--19,13--24,14--17,16--25,17--26,18--27,19--28,20--25,21--24,22--25,22--26,26--28
0--2,0--21,0--29,1--20,1--24,1--28,2--10,2--21,3--5,3--7,3--28,4--7,4--13,4--27,5--7,5--13,6--10,6--14,6--25,8--11,8--14,8--18,9--10,9--22,9--23,11--15,11--17,12--16,12--27,12--29,13--17,14--19,15--19,15--20,16--17,16--26,18--22,18--26,19--22,20--24,21--25,23--24,23--26,25--29,27--28
0--9,0--14,0--22,1--18,1--25,1--26,2--3,2--18,2--29,3--9,3--16,4--11,4--13,4--14,5--7,5--16,5--25,6--7,6--8,6--15,7--21,8--9,8--19,10--13,10--22,10--28,11--24,11--27,12--19,12--20,12--24,13--27,14--23,15--25,15--28,16--17,17--22,17--23,18--24,19--21,20--27,20--29,21--23,26--28,26--29
0--14,0--23,0--26,1--7,1--13,1--29,2--9,2--17,2--28,3--15,3--21,3--23,4--6,4--21,4--28,5--8,5--10,5--13,6--19,6--24,7--9,7--27,8--9,8--12,10--19,10--20,11--12,11--14,11--15,12--18,13--25,14--22,15--29,16--20,16--25,16--28,17--19,17--20,18--24,18--27,21--29,22--24,22--27,23--26,25--26
0--11,0--12,0--21,1--17,1--24,1--28,2--3,2--4,2--19,3--5,3--22,4--7,4--9,5--19,5--27,6--13,6--16,6--23,7--13,7--15,8--15,8--18,8--22,9--16,9--18,10--19,10--25,10--26,11--26,11--29,12--17,12--29,13--14,14--23,14--27,15--16,17--28,18--24,20--25,20--26,20--29,21--23,21--24,22--25,27--28
0--5,0--18,0--25,1--6,1--18,1--22,2--15,2--16,2--19,3--5,3--6,3--17,4--8,4--19,4--25,5--14,6--13,7--14,7--18,7--24,8--11,8--29,9--21,9--23,9--25,10--15,10--27,10--28,11--12,11--23,12--17,12--26,13--16,13--21,14--28,15--22,16--26,17--23,19--20,20--24,20--26,21--22,24--29,27--28,27--29
0--9,0--12,0--18,1--10,1--12,1--17,2--18,2--22,2--29,3--13,3--20,3--22,4--6,4--10,4--16,5--12,5--17,5--20,6--21,6--24,7--13,7--14,7--19,8--14,8--15,8--18,9--27,9--28,10--26,11--16,11--24,11--29,13--15,14--19,15--20,16--26,17--19,21--24,21--29,22--23,23--25,23--28,25--26,25--27,27--28
0--21,0--22,0--29,1--9,1--14,1--16,2--4,2--7,2--8,3--6,3--10,3--22,4--15,4--29,5--11,5--12,5--17,6--19,6--24,7--20,7--24,8--21,8--27,9--19,9--25,10--17,10--24,11--14,11--18,12--19,12--28,13--15,13--18,13--25,14--28,15--25,16--20,16--23,17--26,18--22,20--23,21--27,23--26,26--29,27--28
0--8,0--12,0--28,1--2,1--13,1--27,2--18,2--25,3--5,3--16,3--23,4--12,4--20,4--25,5--10,5--20,6--9,6--21,6--27,7--8,7--21,7--22,8--13,9--21,9--24,10--16,10--25,11--15,11--22,11--23,12--14,13--22,14--19,14--29,15--26,15--28,16--17,17--26,17--28,18--19,18--24,19--29,20--29,23--26,24--27
0--9,0--12,0--26,1--3,1--10,1--21,2--8,2--11,2--29,3--4,3--13,4--16,4--17,5--10,5--19,5--24,6--14,6--19,6--22,7--9,7--17,7--21,8--16,8--27,9--24,10--28,11--14,11--25,12--15,12--27,13--20,13--26,14--28,15--17,15--22,16--20,18--20,18--25,18--26,19--28,21--23,22--25,23--27,23--29,24--29
0--7,0--8,0--29,1--5,1--13,1--29,2--17,2--20,2--28,3--15,3--18,3--25,4--18,4--25,4--26,5--9,5--23,6--15,6--21,6--23,7--16,7--19,8--16,8--22,9--13,9--21,10--20,10--26,10--27,11--15,11--16,11--21,12--18,12--19,12--27,13--14,14--26,14--29,17--20,17--28,19--22,22--24,23--24,24--28,25--27
0--14,0--20,0--29,1--3,1--22,1--25,2--4,2--15,2--28,3--14,3--23,4--17,4--29,5--13,5--16,5--25,6--10,6--25,6--29,7--11,7--20,7--21,8--9,8--18,8--27,9--10,9--24,10--23,11--18,11--22,12--13,12--14,12--23,13--16,15--19,15--24,16--20,17--27,17--28,18--27,19--21,19--26,21--24,22--26,26--28
0--12,0--13,0--17,1--6,1--8,1--27,2--3,2--7,2--14,3--22,3--23,4--8,4--11,4--13,5--7,5--21,5--26,6--12,6--14,7--16,8--18,9--11,9--16,9--24,10--15,10--19,10--28,11--21,12--19,13--28,14--27,15--26,15--29,16--25,17--20,17--24,18--22,18--26,19--24,20--27,20--29,21--23,22--23,25--28,25--29
0--4,0--5,0--10,1--9,1--10,1--19,2--9,2--22,2--28,3--6,3--15,3--22,4--7,4--28,5--13,5--29,6--16,6--29,7--14,7--23,8--18,8--20,8--24,9--20,10--17,11--13,11--20,11--27,12--13,12--19,12--24,14--21,14--23,15--26,15--29,16--17,16--18,17--24,18--26,19--25,21--22,21--27,23--25,25--28,26--27
0--22,0--24,0--25,1--5,1--8,1--26,2--4,2--9,2--18,3--15,3--18,3--21,4--17,4--25,5--13,5--28,6--7,6--23,6--29,7--10,7--24,8--13,8--16,9--14,9--25,10--17,10--28,11--15,11--17,11--18,12--13,12--21,12--27,14--19,14--26,15--16,16--21,19--23,19--24,20--22,20--26,20--27,22--28,23--29,27--29
0--9,0--15,0--19,1--5,1--6,1--14,2--12,2--23,2--24,3--25,3--26,3--29,4--5,4--14,4--17,5--7,6--21,6--29,7--11,7--15,8--10,8--12,8--21,9--23,9--24,10--20,10--28,11--16,11--27,12--17,13--14,13--17,13--29,15--25,16--18,16--27,18--19,18--23,19--21,20--22,20--25,22--27,22--28,24--26,26--28
0--4,0--12,0--19,1--2,1--14,1--22,2--14,2--16,3--7,3--8,3--15,4--15,4--17,5--8,5--12,5--20,6--7,6--21,6--29,7--13,8--20,9--17,9--22,9--25,10--16,10--20,10--24,11--17,11--26,11--28,12--15,13--22,13--28,14--26,16--27,18--19,18--23,18--24,19--23,21--24,21--26,23--25,25--29,27--28,27--29
0--8,0--13,0--15,1--3,1--9,1--12,2--15,2--28,2--29,3--12,3--23,4--7,4--16,4--27,5--11,5--25,5--27,6--8,6--22,6--26,7--17,7--25,8--24,9--22,9--28,10--13,10--19,10--26,11--18,11--23,12--18,13--14,14--25,14--27,15--21,16--17,16--24,17--22,18--20,19--20,19--21,20--29,21--28,23--24,26--29
0--7,0--12,0--20,1--11,1--16,1--24,2--9,2--11,2--24,3--4,3--6,3--17,4--22,4--28,5--6,5--17,5--29,6--10,7--18,7--29,8--10,8--11,8--27,9--14,9--16,10--20,12--21,12--26,13--15,13--18,13--21,14--22,14--26,15--21,15--25,16--28,17--19,18--23,19--23,19--24,20--28,22--27,23--25,25--29,26--27
0--11,0--15,0--25,1--13,1--17,1--22,2--3,2--5,2--12,3--13,3--29,4--20,4--24,4--26,5--12,5--28,6--15,6--17,6--23,7--20,7--25,7--27,8--9,8--17,8--18,9--11,9--26,10--12,10--23,10--27,11--29,13--24,14--19,14--21,14--22,15--23,16--19,16--22,16--29,18--21,18--26,19--24,20--25,21--28,27--28
0--13,0--15,0--26,1--10,1--20,1--21,2--4,2--13,2--21,3--5,3--22,3--28,4--12,4--24,5--19,5--26,6--14,6--19,6--27,7--23,7--25,7--28,8--10,8--17,8--20,9--11,9--18,9--23,10--14,11--23,11--29,12--18,12--28,13--27,14--15,15--20,16--17,16--21,16--24,17--18,19--25,22--24,22--26,25--29,27--29
0--19,0--22,0--29,1--3,1--8,1--10,2--9,2--16,2--17,3--12,3--16,4--25,4--26,4--27,5--17,5--19,5--24,6--7,6--11,6--14,7--21,7--27,8--11,8--13,9--13,9--29,10--15,10--25,11--20,12--20,12--24,13--23,14--18,14--26,15--25,15--28,16--28,17--19,18--23,18--27,20--21,21--28,22--23,22--26,24--29
