0--8,0--9,0--19,0--31,1--5,1--10,1--23,1--28,2--15,2--16,2--20,2--24,3--10,3--22,3--24,3--31,4--9,4--13,4--28,4--30,5--7,5--12,5--29,6--18,6--21,6--27,6--28,7--9,7--12,7--19,8--16,8--27,8--28,9--18,10--18,10--23,11--14,11--15,11--17,11--25,12--26,12--29,13--22,13--23,13--30,14--19,14--23,14--26,15--20,15--24,16--20,16--25,17--21,17--24,17--27,18--26,19--29,20--25,21--22,21--29,22--31,25--27,26--30,30--31
0--4,0--21,0--22,0--27,1--9,1--22,1--26,1--28,2--7,2--10,2--17,2--26,3--8,3--13,3--15,3--21,4--14,4--21,4--28,5--10,5--20,5--26,5--31,6--10,6--11,6--15,6--16,7--16,7--23,7--24,8--12,8--24,8--26,9--16,9--28,9--31,10--23,11--20,11--22,11--27,12--13,12--24,12--25,13--14,13--27,14--16,14--18,15--29,15--30,17--18,17--19,17--29,18--19,18--25,19--30,19--31,20--23,20--30,21--25,22--27,23--25,24--29,28--29,30--31
0--2,0--15,0--21,0--28,1--6,1--16,1--22,1--29,2--9,2--22,2--28,3--7,3--14,3--23,3--25,4--10,4--12,4--16,4--27,5--6,5--9,5--11,5--18,6--17,6--19,7--8,7--18,7--27,8--9,8--16,8--26,9--21,10--21,10--26,10--28,11--18,11--20,11--30,12--20,12--21,12--24,13--19,13--24,13--26,13--31,14--18,14--19,14--24,15--19,15--27,15--30,16--17,17--20,17--25,20--31,22--29,22--30,23--24,23--25,23--31,25--27,26--30,28--29,29--31
0--6,0--13,0--23,0--25,1--4,1--8,1--14,1--19,2--3,2--4,2--20,2--21,3--8,3--16,3--17,4--5,4--27,5--11,5--14,5--22,6--8,6--9,6--28,7--10,7--21,7--27,7--28,8--24,9--20,9--21,9--29,10--24,10--26,10--30,11--12,11--16,11--19,12--19,12--23,12--26,13--23,13--27,13--31,14--16,14--17,15--19,15--25,15--30,15--31,16--26,17--20,17--22,18--22,18--24,18--28,18--31,20--30,21--26,22--28,23--29,24--25,25--30,27--29,29--31
0--7,0--13,0--14,0--23,1--5,1--24,1--25,1--29,2--7,2--11,2--14,2--26,3--12,3--18,3--28,3--30,4--15,4--18,4--22,4--23,5--6,5--16,5--28,6--7,6--12,6--20,7--11,8--9,8--15,8--17,8--22,9--17,9--19,9--30,10--20,10--22,10--24,10--27,11--16,11--17,12--27,12--31,13--18,13--19,13--25,14--21,14--27,15--27,15--29,16--19,16--23,17--31,18--25,19--21,20--25,20--31,21--24,21--31,22--23,24--26,26--29,26--30,28--29,28--30
0--6,0--8,0--15,0--22,1--4,1--7,1--21,1--25,2--13,2--14,2--15,2--29,3--6,3--19,3--23,3--30,4--14,4--27,4--31,5--13,5--20,5--24,5--26,6--17,6--25,7--9,7--11,7--31,8--10,8--12,8--28,9--10,9--16,9--23,10--27,10--28,11--14,11--24,11--29,12--17,12--18,12--20,13--21,13--22,14--26,15--23,15--26,16--19,16--20,16--25,17--24,17--25,18--19,18--20,18--23,19--28,21--30,21--31,22--29,22--30,24--27,26--29,27--31,28--30
0--6,0--10,0--11,0--21,1--12,1--15,1--20,1--30,2--3,2--4,2--13,2--18,3--8,3--12,3--15,4--16,4--17,4--24,5--7,5--9,5--16,5--26,6--9,6--26,6--31,7--15,7--24,7--31,8--17,8--23,8--28,9--27,9--30,10--12,10--24,10--27,11--12,11--21,11--22,13--14,13--19,13--21,14--17,14--23,14--25,15--30,16--27,16--29,17--20,18--23,18--26,18--27,19--22,19--25,19--26,20--22,20--29,21--31,22--29,23--30,24--28,25--28,25--31,28--29
0--3,0--5,0--14,0--17,1--7,1--9,1--17,1--19,2--5,2--8,2--22,2--26,3--11,3--14,3--18,4--14,4--22,4--24,4--28,5--25,5--26,6--15,6--20,6--24,6--29,7--8,7--13,7--22,8--21,8--28,9--15,9--26,9--27,10--15,10--22,10--30,10--31,11--17,11--28,11--30,12--23,12--27,12--30,12--31,13--15,13--19,13--21,14--24,16--19,16--20,16--25,16--31,17--29,18--19,18--20,18--23,20--21,21--24,23--27,23--28,25--29,25--31,26--30,27--29
0--7,0--13,0--27,0--30,1--4,1--5,1--9,1--15,2--4,2--11,2--14,2--17,3--14,3--17,3--22,3--31,4--21,4--23,5--18,5--19,5--28,6--7,6--13,6--15,6--16,7--12,7--20,8--9,8--14,8--28,8--31,9--11,9--21,10--11,10--18,10--21,10--25,11--27,12--21,12--22,12--27,13--15,13--25,14--24,15--23,16--24,16--25,16--29,17--26,17--29,18--30,18--31,19--20,19--23,19--24,20--22,20--30,22--27,23--29,24--26,25--26,26--30,28--29,28--31
0--7,0--19,0--23,0--31,1--12,1--14,1--22,1--30,2--11,2--15,2--19,2--26,3--5,3--10,3--24,3--30,4--6,4--9,4--19,4--26,5--8,5--19,5--25,6--7,6--17,6--27,7--21,7--28,8--20,8--21,8--23,9--20,9--22,9--24,10--12,10--13,10--15,11--13,11--16,11--23,12--21,12--31,13--25,13--26,14--15,14--16,14--24,15--29,16--17,16--29,17--20,17--28,18--20,18--22,18--24,18--28,21--31,22--27,23--30,25--26,25--28,27--29,27--31,29--30
0--3,0--17,0--27,0--31,1--8,1--14,1--19,1--30,2--13,2--21,2--25,2--27,3--10,3--11,3--12,4--12,4--16,4--19,4--26,5--6,5--10,5--11,5--26,6--8,6--15,6--29,7--18,7--21,7--22,7--24,8--9,8--12,9--11,9--15,9--26,10--15,10--28,11--25,12--25,13--18,13--22,13--28,14--16,14--18,14--31,15--17,16--17,16--21,17--29,18--23,19--24,19--31,20--24,20--25,20--28,20--30,21--29,22--26,22--27,23--24,23--27,23--30,28--30,29--31
0--8,0--11,0--22,0--31,1--2,1--6,1--12,1--24,2--10,2--21,2--27,3--5,3--12,3--17,3--22,4--5,4--16,4--17,4--28,5--10,5--12,6--18,6--21,6--22,7--21,7--25,7--26,7--28,8--9,8--10,8--31,9--14,9--15,9--19,10--25,11--18,11--26,11--27,12--30,13--16,13--18,13--20,13--23,14--25,14--29,14--30,15--20,15--23,15--25,16--27,16--30,17--19,17--29,18--22,19--20,19--29,20--29,21--23,23--31,24--27,24--28,24--30,26--28,26--31
0--3,0--7,0--25,0--28,1--2,1--18,1--21,1--25,2--11,2--27,2--31,3--10,3--17,3--30,4--6,4--8,4--12,4--27,5--8,5--20,5--22,5--30,6--10,6--16,6--31,7--12,7--18,7--21,8--24,8--29,9--13,9--14,9--15,9--29,10--16,10--22,11--13,11--15,11--18,12--14,12--27,13--20,13--26,14--20,14--26,15--18,15--25,16--20,16--24,17--23,17--24,17--29,19--22,19--23,19--28,19--29,21--25,21--30,22--26,23--28,23--30,24--27,26--31,28--31
0--9,0--16,0--27,0--31,1--5,1--11,1--13,1--30,2--3,2--7,2--8,2--17,3--6,3--10,3--17,4--10,4--11,4--13,4--26,5--16,5--26,5--27,6--11,6--15,6--24,7--12,7--21,7--30,8--15,8--23,8--27,9--18,9--20,9--21,10--22,10--25,11--26,12--15,12--23,12--31,13--17,13--26,14--21,14--23,14--28,14--29,15--22,16--18,16--28,17--27,18--24,18--29,19--20,19--22,19--25,19--31,20--21,20--29,22--31,23--25,24--25,24--28,28--30,29--30
0--2,0--12,0--14,0--16,1--8,1--14,1--15,1--30,2--10,2--18,2--19,3--5,3--22,3--25,3--31,4--7,4--20,4--27,4--30,5--13,5--22,5--26,6--9,6--23,6--25,6--31,7--11,7--25,7--28,8--17,8--20,8--23,9--12,9--15,9--26,10--19,10--27,10--28,11--20,11--21,11--29,12--13,12--30,13--23,13--26,14--18,14--29,15--16,15--22,16--29,16--31,17--18,17--22,17--24,18--28,19--27,19--30,20--21,21--24,21--28,23--31,24--26,24--29,25--27
0--12,0--17,0--23,0--29,1--5,1--8,1--14,1--26,2--3,2--11,2--12,2--19,3--13,3--17,3--23,4--10,4--16,4--24,4--28,5--9,5--18,5--22,6--16,6--20,6--21,6--26,7--14,7--20,7--25,7--27,8--13,8--15,8--31,9--10,9--16,9--21,10--12,10--30,11--17,11--19,11--29,12--15,13--15,13--26,14--18,14--26,15--18,16--28,17--20,18--24,19--24,19--30,20--31,21--22,21--29,22--23,22--31,23--27,24--27,25--27,25--29,25--30,28--30,28--31
0--13,0--14,0--23,0--29,1--9,1--12,1--15,1--16,2--6,2--10,2--16,2--26,3--5,3--15,3--17,3--25,4--5,4--9,4--18,4--31,5--13,5--27,6--19,6--20,6--21,7--13,7--14,7--17,7--20,8--9,8--12,8--16,8--29,9--14,10--21,10--22,10--27,11--12,11--19,11--24,11--28,12--22,13--20,14--23,15--19,15--25,16--31,17--22,17--26,18--21,18--24,18--27,19--28,20--28,21--30,22--29,23--27,23--31,24--25,24--26,25--26,28--30,29--30,30--31
0--8,0--18,0--24,0--29,1--2,1--5,1--13,1--19,2--9,2--19,2--21,3--15,3--21,3--28,3--30,4--18,4--21,4--23,4--29,5--24,5--27,5--28,6--10,6--18,6--23,6--24,7--11,7--12,7--13,7--17,8--10,8--12,8--19,9--22,9--27,9--31,10--17,10--26,11--15,11--20,11--25,12--14,12--18,13--22,13--30,14--21,14--25,14--31,15--19,15--30,16--23,16--25,16--27,16--30,17--26,17--31,20--26,20--29,20--31,22--27,22--28,23--25,24--28,26--29
0--3,0--24,0--27,0--30,1--3,1--15,1--23,1--31,2--13,2--14,2--20,2--28,3--5,3--25,4--6,4--9,4--13,4--22,5--9,5--18,5--21,6--18,6--19,6--27,7--8,7--12,7--15,7--25,8--24,8--26,8--29,9--14,9--19,10--13,10--18,10--21,10--22,11--17,11--20,11--21,11--31,12--15,12--17,12--25,13--24,14--16,14--23,15--28,16--19,16--20,16--30,17--22,17--30,18--24,19--30,20--23,21--28,22--29,23--27,25--26,26--27,26--29,28--31,29--31
0--5,0--22,0--30,0--31,1--15,1--23,1--27,1--31,2--7,2--19,2--20,2--31,3--8,3--16,3--22,3--29,4--7,4--14,4--26,4--29,5--15,5--25,5--28,6--13,6--21,6--24,6--28,7--13,7--30,8--16,8--18,8--28,9--11,9--20,9--24,9--25,10--13,10--16,10--27,10--31,11--18,11--19,11--21,12--15,12--17,12--28,12--30,13--23,14--15,14--22,14--26,16--21,17--19,17--26,17--30,18--26,18--29,19--27,20--22,20--25,21--24,23--24,23--27,25--29
0--3,0--8,0--17,0--19,1--2,1--9,1--16,1--25,2--12,2--13,2--25,3--5,3--15,3--20,4--9,4--23,4--26,4--27,5--17,5--26,5--29,6--11,6--18,6--20,6--28,7--14,7--18,7--19,7--22,8--11,8--22,8--26,9--14,9--27,10--14,10--24,10--27,10--30,11--19,11--23,12--23,12--25,12--29,13--15,13--16,13--29,14--28,15--24,15--28,16--19,16--30,17--21,17--31,18--20,18--28,20--30,21--22,21--24,21--31,22--31,23--26,24--27,25--29,30--31
0--9,0--10,0--18,0--24,1--2,1--24,1--26,1--29,2--5,2--20,2--28,3--6,3--7,3--25,3--27,4--8,4--14,4--20,4--27,5--27,5--29,5--30,6--11,6--29,6--30,7--15,7--25,7--31,8--12,8--16,8--26,9--17,9--19,9--30,10--18,10--20,10--28,11--15,11--22,11--26,12--14,12--19,12--25,13--16,13--17,13--23,13--31,14--22,14--28,15--17,15--18,16--23,16--25,17--24,18--29,19--20,19--31,21--22,21--23,21--26,21--30,22--28,23--31,24--27
0--13,0--23,0--26,0--29,1--5,1--6,1--9,1--30,2--3,2--8,2--11,2--14,3--4,3--10,3--29,4--16,4--22,4--31,5--10,5--13,5--20,6--9,6--12,6--21,7--9,7--18,7--19,7--25,8--13,8--19,8--25,9--28,10--20,10--25,11--17,11--23,11--24,12--21,12--22,12--25,13--17,14--16,14--28,14--29,15--20,15--21,15--26,15--27,16--17,16--20,17--22,18--19,18--23,18--27,19--27,21--31,22--28,23--27,24--28,24--30,24--31,26--30,26--31,29--30
0--16,0--18,0--20,0--28,1--6,1--15,1--27,1--31,2--7,2--10,2--23,2--27,3--9,3--14,3--26,3--30,4--5,4--14,4--19,4--26,5--11,5--21,5--22,6--16,6--17,6--22,7--9,7--24,7--25,8--9,8--13,8--26,8--29,9--18,10--19,10--23,10--27,11--13,11--26,11--29,12--17,12--19,12--30,12--31,13--20,13--23,14--19,14--30,15--17,15--29,15--31,16--18,16--28,17--24,18--31,20--23,20--28,21--22,21--24,21--30,22--25,24--25,25--29,27--28
0--3,0--14,0--22,0--27,1--5,1--7,1--18,1--29,2--4,2--8,2--13,2--14,3--11,3--18,3--28,4--13,4--18,4--27,5--9,5--10,5--26,6--9,6--20,6--26,6--30,7--12,7--15,7--16,8--15,8--25,8--28,9--12,9--17,10--11,10--21,10--23,11--20,11--30,12--19,12--22,13--18,13--29,14--19,14--24,15--23,15--24,16--25,16--27,16--28,17--21,17--24,17--31,19--21,19--26,20--24,20--30,21--30,22--27,22--31,23--25,23--26,25--29,28--31,29--31
0--1,0--3,0--8,0--29,1--19,1--20,1--30,2--9,2--14,2--22,2--28,3--12,3--15,3--18,4--6,4--9,4--11,4--26,5--12,5--17,5--27,5--30,6--10,6--30,6--31,7--10,7--14,7--24,7--27,8--15,8--18,8--19,9--20,9--21,10--17,10--21,11--16,11--17,11--23,12--13,12--30,13--15,13--19,13--22,14--23,14--27,15--24,16--22,16--25,16--29,17--31,18--22,18--25,19--31,20--23,20--28,21--26,21--31,23--28,24--26,24--29,25--27,25--28,26--29
0--20,0--22,0--25,0--29,1--6,1--18,1--20,1--24,2--13,2--18,2--26,2--29,3--4,3--21,3--23,3--29,4--10,4--12,4--31,5--15,5--16,5--22,5--26,6--18,6--27,6--31,7--10,7--17,7--19,7--24,8--9,8--11,8--13,8--17,9--12,9--15,9--28,10--17,10--30,11--18,11--25,11--27,12--19,12--23,13--14,13--19,14--16,14--25,14--27,15--24,15--28,16--21,16--25,17--19,20--21,20--28,21--26,22--23,22--26,23--30,24--30,27--29,28--31,30--31
0--6,0--9,0--10,0--14,1--12,1--15,1--21,1--24,2--6,2--9,2--15,2--27,3--11,3--20,3--25,3--26,4--12,4--16,4--18,4--31,5--7,5--16,5--19,5--23,6--23,6--29,7--19,7--20,7--23,8--18,8--24,8--26,8--27,9--19,9--29,10--11,10--28,10--30,11--19,11--30,12--21,12--29,13--15,13--17,13--27,13--29,14--16,14--18,14--21,15--25,16--22,17--20,17--25,17--31,18--31,20--26,21--22,22--23,22--30,24--28,24--30,25--26,27--28,28--31
0--4,0--7,0--15,0--17,1--7,1--11,1--21,1--30,2--3,2--11,2--21,2--31,3--16,3--20,3--25,4--5,4--24,4--27,5--6,5--9,5--26,6--12,6--20,6--28,7--27,7--31,8--16,8--17,8--20,8--24,9--18,9--19,9--26,10--12,10--13,10--15,10--30,11--29,11--30,12--14,12--15,13--14,13--23,13--26,14--25,14--29,15--22,16--18,16--19,17--19,17--25,18--24,18--27,19--23,20--28,21--29,21--31,22--23,22--25,22--30,23--27,24--26,28--29,28--31
0--4,0--6,0--12,0--24,1--2,1--6,1--10,1--19,2--9,2--23,2--27,3--5,3--16,3--21,3--23,4--27,4--29,4--30,5--10,5--15,5--16,6--22,6--25,7--12,7--20,7--24,7--28,8--10,8--11,8--14,8--21,9--14,9--15,9--26,10--11,11--19,11--25,12--13,12--31,13--19,13--20,13--28,14--17,14--28,15--21,15--24,16--26,16--27,17--27,17--28,17--31,18--20,18--25,18--30,18--31,19--20,21--31,22--23,22--26,22--29,23--29,24--30,25--29,26--30
0--8,0--15,0--21,0--28,1--4,1--12,1--18,1--23,2--5,2--7,2--27,2--29,3--11,3--14,3--17,3--19,4--9,4--10,4--25,5--9,5--12,5--16,6--11,6--15,6--16,6--29,7--17,7--27,7--28,8--19,8--20,8--30,9--13,9--19,10--20,10--22,10--26,11--29,11--31,12--23,12--24,13--25,13--29,13--31,14--25,14--27,14--28,15--17,15--31,16--24,16--30,17--23,18--23,18--24,18--26,19--22,20--22,20--26,21--24,21--30,21--31,22--25,26--28,27--30
0--2,0--22,0--29,0--30,1--11,1--12,1--16,1--20,2--4,2--8,2--27,3--6,3--18,3--19,3--26,4--7,4--18,4--24,5--13,5--17,5--24,5--30,6--9,6--12,6--22,7--12,7--15,7--24,8--22,8--28,8--29,9--13,9--25,9--31,10--14,10--20,10--21,10--25,11--19,11--29,11--31,12--28,13--26,13--28,14--16,14--21,14--25,15--21,15--27,15--31,16--27,16--30,17--21,17--24,17--25,18--23,18--30,19--22,19--26,20--23,20--29,23--26,23--31,27--28
0--16,0--20,0--29,0--31,1--8,1--19,1--23,1--29,2--14,2--24,2--26,2--28,3--9,3--10,3--11,3--26,4--12,4--16,4--30,4--31,5--6,5--11,5--15,5--21,6--10,6--13,6--29,7--12,7--20,7--23,7--27,8--14,8--25,8--26,9--15,9--16,9--24,10--15,10--19,11--19,11--22,12--18,12--20,13--17,13--21,13--23,14--19,14--28,15--26,16--17,17--23,17--31,18--24,18--28,18--30,20--27,21--27,21--30,22--25,22--27,22--30,24--25,25--28,29--31
0--6,0--11,0--18,0--19,1--14,1--17,1--25,1--31,2--4,2--10,2--16,2--19,3--11,3--20,3--22,3--26,4--14,4--30,4--31,5--6,5--8,5--10,5--18,6--7,6--10,7--11,7--24,7--28,8--19,8--22,8--31,9--18,9--22,9--27,9--30,10--20,11--17,12--20,12--22,12--23,12--24,13--15,13--20,13--25,13--29,14--19,14--31,15--21,15--28,15--30,16--17,16--26,16--28,17--30,18--21,21--25,21--29,23--26,23--27,23--28,24--25,24--29,26--27,27--29
0--11,0--13,0--17,0--23,1--14,1--24,1--28,1--30,2--5,2--16,2--19,2--22,3--8,3--25,3--30,3--31,4--15,4--23,4--25,4--29,5--7,5--20,5--26,6--8,6--10,6--12,6--15,7--11,7--24,7--25,8--16,8--29,9--10,9--13,9--22,9--31,10--26,10--30,11--23,11--26,12--19,12--21,12--22,13--23,13--31,14--17,14--25,14--31,15--20,15--21,16--18,16--21,17--18,17--22,18--20,18--24,19--28,19--30,20--27,21--28,24--27,26--27,27--29,28--29
0--2,0--9,0--21,0--29,1--4,1--19,1--21,1--27,2--8,2--19,2--23,3--9,3--19,3--29,3--30,4--13,4--15,4--24,5--14,5--15,5--22,5--24,6--18,6--25,6--28,6--29,7--13,7--25,7--26,7--27,8--16,8--23,8--25,9--13,9--24,10--15,10--27,10--28,10--31,11--18,11--20,11--21,11--27,12--14,12--17,12--20,12--30,13--15,14--22,14--26,16--21,16--29,16--31,17--23,17--25,17--30,18--28,18--30,19--31,20--22,20--31,22--28,23--26,24--26
0--2,0--14,0--16,0--22,1--3,1--6,1--24,1--30,2--5,2--18,2--29,3--19,3--27,3--28,4--11,4--12,4--13,4--17,5--9,5--11,5--26,6--14,6--16,6--28,7--15,7--18,7--20,7--26,8--10,8--12,8--20,8--30,9--15,9--23,9--25,10--16,10--17,10--31,11--13,11--30,12--21,12--28,13--23,13--27,14--22,14--25,15--17,15--26,16--25,17--21,18--24,18--31,19--20,19--24,19--29,20--22,21--29,21--31,22--28,23--27,23--29,24--31,25--27,26--30
0--9,0--19,0--20,0--27,1--4,1--7,1--12,1--17,2--3,2--5,2--18,2--26,3--4,3--20,3--26,4--10,4--28,5--6,5--11,5--23,6--17,6--18,6--24,7--9,7--13,7--21,8--12,8--20,8--25,8--28,9--17,9--22,10--14,10--24,10--27,11--13,11--18,11--22,12--19,12--31,13--15,13--27,14--17,14--25,14--31,15--19,15--21,15--29,16--19,16--25,16--28,16--29,18--21,20--29,21--30,22--25,22--29,23--24,23--28,23--31,24--26,26--30,27--30,30--31
0--4,0--5,0--7,0--27,1--10,1--19,1--21,1--30,2--13,2--21,2--22,2--28,3--5,3--9,3--24,3--30,4--6,4--9,4--12,5--18,5--24,6--10,6--21,6--29,7--12,7--25,7--29,8--14,8--16,8--22,8--31,9--11,9--20,10--12,10--31,11--19,11--20,11--30,12--27,13--19,13--23,13--26,14--20,14--25,14--26,15--16,15--18,15--23,15--24,16--22,16--27,17--18,17--19,17--20,17--25,18--26,21--29,22--23,23--26,24--31,25--29,27--28,28--30,28--31
0--2,0--5,0--11,0--19,1--3,1--8,1--13,1--18,2--20,2--23,2--27,3--4,3--21,3--22,4--7,4--8,4--23,5--20,5--22,5--31,6--7,6--10,6--14,6--20,7--9,7--30,8--11,8--23,9--11,9--17,9--30,10--18,10--22,10--24,11--12,12--17,12--21,12--25,13--16,13--26,13--30,14--16,14--25,14--31,15--16,15--25,15--27,15--31,16--19,17--21,17--26,18--27,18--29,19--22,19--27,20--29,21--24,23--28,24--26,24--29,25--28,26--29,28--30,28--31
0--8,0--20,0--24,0--28,1--8,1--14,1--17,1--25,2--6,2--9,2--18,2--22,3--17,3--24,3--30,3--31,4--9,4--15,4--24,4--26,5--18,5--23,5--25,5--26,6--11,6--15,6--31,7--9,7--14,7--22,7--27,8--18,8--27,9--16,10--14,10--19,10--23,10--29,11--15,11--29,11--31,12--19,12--25,12--26,12--27,13--20,13--22,13--26,13--29,14--30,15--30,16--18,16--20,16--28,17--20,17--21,19--21,19--28,21--23,21--27,22--28,23--24,25--31,29--30
0--3,0--7,0--15,0--19,1--6,1--10,1--14,1--23,2--9,2--16,2--20,2--29,3--5,3--17,3--25,4--19,4--21,4--23,4--27,5--18,5--20,5--25,6--12,6--18,6--20,7--11,7--13,7--21,8--9,8--16,8--24,8--28,9--10,9--30,10--16,10--19,11--13,11--22,11--29,12--17,12--21,12--24,13--26,13--28,14--23,14--28,14--30,15--23,15--30,15--31,16--30,17--22,17--31,18--19,18--25,20--22,21--31,22--31,24--26,24--27,25--28,26--27,26--29,27--29
0--8,0--9,0--23,0--25,1--4,1--9,1--11,1--23,2--5,2--17,2--19,2--20,3--7,3--17,3--19,3--22,4--13,4--17,4--30,5--7,5--10,5--25,6--13,6--15,6--21,6--30,7--9,7--18,8--11,8--24,8--30,9--14,10--11,10--14,10--20,11--27,12--13,12--15,12--17,12--18,13--26,14--25,14--27,15--22,15--26,16--20,16--24,16--26,16--29,18--21,18--29,19--20,19--30,21--23,21--28,22--23,22--28,24--28,24--31,25--31,26--31,27--28,27--29,29--31
