0--10,0--11,0--14,0--23,1--3,1--5,1--10,1--13,2--6,2--9,2--19,2--22,3--12,3--17,3--24,4--5,4--6,4--16,4--18,5--14,5--17,6--15,6--16,7--8,7--11,7--17,7--21,8--20,8--21,8--24,9--11,9--18,9--20,10--12,10--19,11--12,12--23,13--14,13--17,13--20,14--15,15--22,15--23,16--22,16--23,18--21,18--24,19--21,19--24,20--22
0--2,0--21,0--22,0--24,1--5,1--6,1--15,1--20,2--6,2--8,2--15,3--6,3--11,3--13,3--16,4--11,4--12,4--18,4--24,5--14,5--16,5--18,6--14,7--12,7--17,7--18,7--24,8--11,8--22,8--23,9--11,9--15,9--18,9--22,10--13,10--14,10--16,10--24,12--17,12--21,13--17,13--19,14--23,15--21,16--20,17--22,19--20,19--21,19--23,20--23
0--12,0--14,0--20,0--24,1--2,1--9,1--11,1--13,2--4,2--10,2--24,3--11,3--12,3--14,3--16,4--7,4--10,4--15,5--6,5--19,5--22,5--23,6--8,6--12,6--17,7--8,7--18,7--24,8--16,8--20,9--10,9--15,9--21,10--16,11--17,11--18,12--24,13--15,13--18,13--21,14--19,14--20,15--17,16--21,17--22,18--23,19--20,19--23,21--22,22--23
0--11,0--16,0--20,0--23,1--11,1--15,1--17,1--20,2--12,2--16,2--18,2--21,3--5,3--6,3--14,3--18,4--5,4--8,4--13,4--15,5--20,5--24,6--21,6--22,6--24,7--13,7--14,7--19,7--24,8--9,8--10,8--20,9--11,9--16,9--19,10--17,10--22,10--23,11--13,12--15,12--17,12--24,13--22,14--16,14--23,15--18,17--21,18--23,19--21,19--22
0--3,0--7,0--12,0--20,1--10,1--13,1--14,1--16,2--4,2--5,2--6,2--8,3--12,3--18,3--23,4--6,4--13,4--20,5--9,5--10,5--20,6--10,6--17,7--11,7--15,7--22,8--10,8--19,8--21,9--17,9--21,9--24,11--16,11--19,11--23,12--14,12--20,13--18,13--22,14--18,14--24,15--19,15--22,15--23,16--19,16--21,17--23,17--24,18--24,21--22
0--10,0--13,0--18,0--23,1--4,1--16,1--21,1--22,2--4,2--7,2--11,2--23,3--12,3--16,3--19,3--24,4--11,4--16,5--10,5--18,5--21,5--23,6--7,6--8,6--14,6--20,7--17,7--24,8--15,8--21,8--22,9--12,9--17,9--20,9--22,10--14,10--15,11--13,11--23,12--18,12--22,13--19,13--24,14--17,14--19,15--18,15--21,16--20,17--19,20--24
0--10,0--12,0--16,0--19,1--13,1--15,1--16,1--22,2--3,2--13,2--17,2--23,3--6,3--17,3--20,4--12,4--14,4--18,4--19,5--11,5--18,5--19,5--22,6--8,6--17,6--24,7--9,7--15,7--21,7--22,8--10,8--21,8--23,9--12,9--13,9--14,10--17,10--24,11--13,11--16,11--23,12--19,14--18,14--21,15--20,15--24,16--24,18--22,20--21,20--23
0--3,0--4,0--14,0--16,1--5,1--7,1--14,1--23,2--9,2--16,2--19,2--22,3--9,3--15,3--20,4--10,4--17,4--18,5--12,5--19,5--24,6--9,6--15,6--17,6--23,7--8,7--15,7--24,8--13,8--16,8--20,9--22,10--11,10--13,10--16,11--13,11--21,11--24,12--19,12--21,12--23,13--24,14--17,14--22,15--20,17--18,18--20,18--22,19--21,21--23
0--4,0--5,0--7,0--21,1--2,1--7,1--10,1--12,2--9,2--15,2--24,3--7,3--8,3--20,3--23,4--13,4--21,4--22,5--13,5--14,5--17,6--10,6--12,6--18,6--24,7--11,8--12,8--15,8--19,9--16,9--18,9--23,10--14,10--18,11--15,11--16,11--20,12--13,13--20,14--17,14--19,15--21,16--17,16--19,17--22,18--19,20--22,21--23,22--24,23--24
0--9,0--10,0--18,0--19,1--6,1--7,1--17,1--22,2--3,2--5,2--17,2--23,3--11,3--18,3--19,4--8,4--9,4--20,4--23,5--7,5--8,5--15,6--11,6--15,6--21,7--12,7--14,8--17,8--20,9--18,9--20,10--11,10--16,10--21,11--21,12--13,12--16,12--24,13--14,13--15,13--22,14--17,14--24,15--19,16--22,16--24,18--19,20--23,21--22,23--24
0--2,0--14,0--15,0--20,1--3,1--17,1--18,1--19,2--14,2--21,2--22,3--6,3--7,3--9,4--5,4--8,4--10,4--20,5--17,5--19,5--24,6--11,6--15,6--24,7--8,7--9,7--21,8--13,8--16,9--12,9--14,10--12,10--18,10--19,11--17,11--23,11--24,12--14,12--22,13--15,13--17,13--23,15--18,16--20,16--21,16--22,18--23,19--22,20--23,21--24
0--3,0--6,0--14,0--17,1--2,1--8,1--15,1--21,2--13,2--14,2--16,3--14,3--20,3--22,4--7,4--10,4--19,4--23,5--6,5--8,5--21,5--22,6--11,6--17,7--15,7--21,7--24,8--9,8--18,9--10,9--12,9--15,10--11,10--22,11--12,11--16,12--16,12--20,13--16,13--20,13--22,14--20,15--19,17--19,17--24,18--21,18--23,18--24,19--23,23--24
0--4,0--8,0--11,0--18,1--4,1--7,1--15,1--22,2--6,2--17,2--19,2--20,3--10,3--15,3--23,3--24,4--11,4--12,5--9,5--14,5--16,5--22,6--12,6--14,6--18,7--17,7--19,7--21,8--20,8--23,8--24,9--11,9--12,9--17,10--13,10--14,10--21,11--19,12--16,13--16,13--21,13--22,14--18,15--16,15--24,17--22,18--24,19--20,20--23,21--23
0--7,0--9,0--11,0--15,1--8,1--15,1--17,1--20,2--6,2--10,2--18,2--19,3--5,3--12,3--15,3--24,4--7,4--8,4--16,4--24,5--12,5--13,5--22,6--7,6--15,6--22,7--12,8--10,8--17,9--11,9--12,9--21,10--14,10--18,11--23,11--24,13--17,13--21,13--23,14--16,14--17,14--19,16--18,16--23,18--21,19--20,19--23,20--22,20--24,21--22
0--1,0--2,0--21,0--22,1--2,1--3,1--16,2--7,2--12,3--5,3--8,3--9,4--6,4--11,4--13,4--24,5--6,5--9,5--18,6--15,6--21,7--9,7--10,7--23,8--10,8--12,8--18,9--14,10--18,10--19,11--13,11--15,11--19,12--17,12--23,13--14,13--17,14--20,14--24,15--22,15--24,16--17,16--19,16--21,17--20,18--20,19--22,20--22,21--23,23--24
