0--1,0--2,0--13,0--20,1--8,1--12,1--18,2--4,2--8,2--22,3--5,3--15,3--18,3--19,4--8,4--14,4--19,5--6,5--7,5--18,6--8,6--9,6--20,7--11,7--15,7--21,9--14,9--16,9--18,10--11,10--12,10--14,10--15,11--13,11--16,12--19,12--22,13--16,13--22,14--21,15--16,17--19,17--20,17--21,17--22,20--21
0--2,0--6,0--15,0--18,1--8,1--9,1--14,1--21,2--6,2--11,2--19,3--7,3--13,3--15,3--16,4--13,4--14,4--20,4--22,5--15,5--16,5--17,5--18,6--14,6--20,7--8,7--11,7--19,8--17,8--21,9--10,9--12,9--21,10--11,10--14,10--22,11--12,12--20,12--21,13--16,13--20,15--22,16--22,17--18,17--19,18--19
0--10,0--18,0--20,0--22,1--6,1--7,1--13,1--16,2--3,2--8,2--12,2--17,3--6,3--17,3--18,4--5,4--7,4--8,4--16,5--9,5--10,5--15,6--11,6--13,7--10,7--12,8--15,8--21,9--17,9--20,9--21,10--19,11--12,11--14,11--16,12--13,13--14,14--20,14--21,15--16,15--19,17--22,18--21,18--22,19--20,19--22
0--7,0--9,0--14,0--21,1--4,1--16,1--21,1--22,2--3,2--5,2--8,2--17,3--8,3--11,3--12,4--7,4--9,4--20,5--6,5--18,5--20,6--11,6--13,6--19,7--10,7--16,8--11,8--16,9--18,9--20,10--13,10--17,10--19,11--16,12--15,12--21,12--22,13--17,13--19,14--15,14--18,14--21,15--20,15--22,17--22,18--19
0--3,0--12,0--17,0--22,1--4,1--6,1--8,1--12,2--3,2--5,2--11,2--19,3--14,3--19,4--13,4--16,4--22,5--11,5--15,5--17,6--9,6--11,6--13,7--9,7--10,7--21,7--22,8--13,8--18,8--20,9--10,9--18,10--15,10--19,11--14,12--16,12--18,13--15,14--17,14--21,15--20,16--20,16--21,17--22,18--19,20--21
0--5,0--9,0--13,0--22,1--6,1--11,1--13,1--17,2--5,2--7,2--9,2--16,3--6,3--15,3--19,3--20,4--9,4--14,4--20,4--21,5--15,5--17,6--10,6--18,7--8,7--11,7--12,8--16,8--20,8--22,9--14,10--16,10--18,10--19,11--15,11--21,12--16,12--18,12--21,13--14,13--15,14--17,17--22,18--20,19--21,19--22
0--1,0--5,0--8,0--22,1--6,1--8,1--21,2--6,2--9,2--18,2--21,3--10,3--14,3--17,3--18,4--8,4--11,4--13,4--21,5--11,5--16,5--20,6--13,6--19,7--12,7--16,7--21,7--22,8--19,9--15,9--16,9--20,10--13,10--14,10--17,11--15,11--17,12--14,12--20,12--22,13--19,14--22,15--16,15--19,17--18,18--20
0--3,0--8,0--10,0--14,1--4,1--6,1--7,1--19,2--8,2--10,2--19,2--22,3--9,3--13,3--19,4--6,4--18,4--21,5--10,5--11,5--12,5--21,6--7,6--17,7--11,7--16,8--12,8--19,9--15,9--16,9--22,10--17,11--14,11--17,12--13,12--22,13--20,13--21,14--15,14--18,15--17,15--21,16--18,16--20,18--20,20--22
0--11,0--13,0--19,0--22,1--5,1--7,1--8,1--15,2--13,2--18,2--19,2--21,3--10,3--13,3--15,3--17,4--8,4--12,4--20,4--22,5--7,5--14,5--18,6--12,6--14,6--16,6--20,7--10,7--12,8--9,8--21,9--10,9--18,9--19,10--21,11--12,11--14,11--20,13--17,14--16,15--20,15--22,16--17,16--18,17--19,21--22
0--1,0--9,0--18,0--21,1--3,1--7,1--13,2--6,2--7,2--21,2--22,3--5,3--9,3--20,4--6,4--15,4--19,4--21,5--11,5--12,5--17,6--13,6--18,7--9,7--12,8--10,8--15,8--17,8--22,9--22,10--16,10--19,10--22,11--14,11--17,11--20,12--15,12--20,13--16,13--18,14--15,14--18,14--19,16--17,16--20,19--21
0--3,0--8,0--17,0--20,1--2,1--10,1--16,1--19,2--6,2--7,2--20,3--9,3--14,3--21,4--6,4--11,4--18,4--21,5--12,5--15,5--19,5--22,6--15,6--19,7--10,7--11,7--15,8--11,8--18,8--21,9--13,9--14,9--18,10--15,10--22,11--17,12--13,12--14,12--19,13--14,13--16,16--20,16--22,17--20,17--21,18--22
0--5,0--13,0--16,0--22,1--3,1--6,1--11,1--18,2--3,2--6,2--19,2--22,3--11,3--13,4--15,4--17,4--19,4--20,5--14,5--15,5--20,6--11,6--12,7--14,7--16,7--19,7--21,8--10,8--17,8--20,8--21,9--10,9--14,9--17,9--21,10--12,10--17,11--18,12--15,12--18,13--16,13--22,14--20,15--16,18--22,19--21
0--2,0--12,0--19,0--22,1--2,1--4,1--17,1--21,2--9,2--13,3--4,3--11,3--12,3--14,4--11,4--22,5--7,5--8,5--9,5--15,6--14,6--16,6--17,6--20,7--13,7--15,7--18,8--13,8--16,8--18,9--17,9--18,10--18,10--19,10--20,10--21,11--14,11--17,12--14,12--15,13--16,15--20,16--22,19--21,19--22,20--21
0--11,0--14,0--17,0--20,1--4,1--9,1--14,1--22,2--11,2--13,2--16,2--21,3--6,3--7,3--12,3--18,4--6,4--10,4--21,5--7,5--11,5--18,5--21,6--7,6--9,7--18,8--12,8--13,8--17,8--20,9--13,9--19,10--14,10--16,10--21,11--16,12--15,12--17,13--15,14--22,15--17,15--19,16--19,18--22,19--20,20--22
0--1,0--6,0--13,0--21,1--2,1--6,1--10,2--7,2--9,2--16,3--8,3--10,3--11,3--12,4--5,4--12,4--16,4--19,5--7,5--17,5--20,6--13,6--19,7--11,7--17,8--15,8--18,8--22,9--13,9--18,9--22,10--14,10--15,11--19,11--20,12--16,12--19,13--22,14--17,14--21,14--22,15--18,15--20,16--18,17--21,20--21
